conversation_id,created_at,author_id,referenced_tweets
1556254591980916736,2022-08-07 12:37:12+00:00,798324717170081792,[<ReferencedTweet id=1556254591980916736 type=replied_to]
1556267557023371264,2022-08-07 19:40:12+00:00,1549074636763238402,[<ReferencedTweet id=1556267557023371264 type=replied_to]
1556268067373682690,2022-08-07 13:16:35+00:00,45870897,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556268134146969601,2022-08-07 13:16:51+00:00,1037291917799768064,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556268220348354562,2022-08-07 13:17:12+00:00,253134452,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556269206202728449,2022-08-07 19:15:16+00:00,798324717170081792,[<ReferencedTweet id=1556333262947160066 type=replied_to]
1556269210929713154,2022-08-07 13:21:08+00:00,1432442117541056513,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556269381549793281,2022-08-07 13:21:49+00:00,767522539782467584,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556270719780241408,2022-08-07 13:27:08+00:00,1207454937501839363,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556270768572583937,2022-08-07 13:27:19+00:00,1149103456139075585,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556271875688468485,2022-08-07 13:31:43+00:00,3080939714,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556273659089752064,2022-08-07 13:38:49+00:00,66408125,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556274201035767811,2022-08-07 13:40:58+00:00,1545051704973934593,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556275264442830849,2022-08-07 13:45:11+00:00,75425282,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556275862424911873,2022-08-07 13:47:34+00:00,1518641443203698690,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556276377162289153,2022-08-07 13:49:37+00:00,962150213208170496,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556277113820516354,2022-08-07 13:52:32+00:00,2574428938,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556279261060907009,2022-08-07 14:01:04+00:00,1148750380999815168,[<ReferencedTweet id=1556267557023371264 type=retweeted]
1556280247066284033,2022-08-07 14:04:59+00:00,45870897,
1556280311344173059,2022-08-07 14:05:15+00:00,728407505345368068,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556280615351320578,2022-08-07 14:06:27+00:00,63351063,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556280695135391744,2022-08-07 14:06:46+00:00,2377833672,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556280778195353600,2022-08-07 14:07:06+00:00,813467580690264069,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556280854204354560,2022-08-07 14:07:24+00:00,1397925040830631947,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556280867697442816,2022-08-07 14:07:27+00:00,2171173819,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556280888832442368,2022-08-07 14:07:32+00:00,925383854805913601,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556280937603907584,2022-08-07 14:07:44+00:00,1097262365471588352,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556281009733357570,2022-08-07 14:08:01+00:00,1382968105,[<ReferencedTweet id=1556280247066284033 type=quoted]
1556281053979070464,2022-08-07 14:08:12+00:00,1514763406687014916,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556281059024814081,2022-08-07 14:08:13+00:00,45870897,
1556281117174644736,2022-08-07 14:08:27+00:00,728407505345368068,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556281128654458881,2022-08-07 14:08:30+00:00,28704644,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556281234242043906,2022-08-07 14:08:55+00:00,1253739602785062913,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556281244006113281,2022-08-07 14:08:57+00:00,1291852949900189698,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556281315162755072,2022-08-07 14:09:14+00:00,1374352635311050756,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556281323152707584,2022-08-07 14:09:16+00:00,1291852949900189698,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556281388785180678,2022-08-07 14:09:32+00:00,1037291917799768064,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556281461581484032,2022-08-07 14:09:49+00:00,334266937,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556281555420856320,2022-08-07 14:10:11+00:00,2543472187,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556281608470253569,2022-08-07 14:10:24+00:00,545643493,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556281709544472576,2022-08-07 14:10:48+00:00,2543472187,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556281786400878592,2022-08-07 14:11:06+00:00,1358556552446287876,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556281864356110336,2022-08-07 14:11:25+00:00,136402637,[<ReferencedTweet id=1556281059024814081 type=quoted]
1556281928185028608,2022-08-07 14:11:40+00:00,1251978225900818438,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556281949198729217,2022-08-07 14:11:45+00:00,1296421810783899653,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556282017440202753,2022-08-07 14:12:01+00:00,924686403858063361,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556282168271421441,2022-08-07 14:12:37+00:00,106839312,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556282233719328769,2022-08-07 14:12:53+00:00,56452419,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556282364531204097,2022-08-07 14:13:24+00:00,4827439681,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556282434982973440,2022-08-07 14:13:41+00:00,1148750380999815168,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556282713681936386,2022-08-07 14:14:47+00:00,818629102659899392,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556282776269234176,2022-08-07 14:15:02+00:00,1214627379823415296,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556283053424758785,2022-08-07 14:16:08+00:00,1350922376603725829,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556283118474125313,2022-08-07 14:16:24+00:00,1036686913,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556283260036071425,2022-08-07 14:16:58+00:00,1410219646360424448,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556283293750132737,2022-08-07 14:17:06+00:00,211852314,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556283581001093120,2022-08-07 14:18:14+00:00,2770651629,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556283603964895232,2022-08-07 14:18:20+00:00,218657900,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556283717726904320,2022-08-07 14:18:47+00:00,152997608,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556284281282240514,2022-08-07 14:21:01+00:00,1137848000137613312,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556284362190118912,2022-08-07 14:21:20+00:00,2744553825,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556284489738887169,2022-08-07 14:21:51+00:00,720721348864159744,[<ReferencedTweet id=1556280247066284033 type=retweeted]
1556284770299940865,2022-08-07 14:22:58+00:00,1361055906256027649,[<ReferencedTweet id=1556281059024814081 type=retweeted]
1556284918417719298,2022-08-07 14:23:33+00:00,1548031353903411204,[<ReferencedTweet id=1556281864356110336 type=retweeted]
1556284980027858944,2022-08-07 14:23:48+00:00,720721348864159744,[<ReferencedTweet id=1556281059024814081 type=retweeted]
