conversation_id,created_at,author_id,referenced_tweets
1534174682622185474,2022-08-08 01:35:02+00:00,183482869,[<ReferencedTweet id=1556453204573003776 type=replied_to]
1545907719676338177,2022-08-08 01:21:53+00:00,1435337273386676235,[<ReferencedTweet id=1545907719676338177 type=replied_to]
1547648371091034112,2022-08-08 01:19:22+00:00,1435337273386676235,[<ReferencedTweet id=1547648371091034112 type=replied_to]
1552278073063534593,2022-08-08 01:20:03+00:00,1435337273386676235,[<ReferencedTweet id=1552278073063534593 type=replied_to]
1552292781020028928,2022-08-08 01:06:53+00:00,1435337273386676235,[<ReferencedTweet id=1552292781020028928 type=replied_to]
1554366586340839424,2022-08-08 01:07:50+00:00,1435337273386676235,[<ReferencedTweet id=1554366586340839424 type=replied_to]
1555184528787853313,2022-08-08 01:20:31+00:00,1435337273386676235,[<ReferencedTweet id=1555184528787853313 type=replied_to]
1555584942616240130,2022-08-08 02:13:40+00:00,799512161177452544,[<ReferencedTweet id=1555584942616240130 type=replied_to]
1555638516293533697,2022-08-08 01:04:56+00:00,1435337273386676235,[<ReferencedTweet id=1555638516293533697 type=replied_to]
1555669433493889029,2022-08-08 01:21:36+00:00,1435337273386676235,[<ReferencedTweet id=1555669433493889029 type=replied_to]
1555943717692796930,2022-08-08 01:08:02+00:00,1435337273386676235,[<ReferencedTweet id=1555943717692796930 type=replied_to]
1556081947037818881,2022-08-07 00:57:01+00:00,2730331730,[<ReferencedTweet id=1555992929193398274 type=retweeted]
1556081963429203968,2022-08-07 00:57:05+00:00,2730331730,[<ReferencedTweet id=1555993208982835201 type=retweeted]
1556082304686194691,2022-08-07 00:58:26+00:00,87273175,[<ReferencedTweet id=1555992929193398274 type=retweeted]
1556082420901969920,2022-08-07 00:58:54+00:00,87273175,[<ReferencedTweet id=1555993208982835201 type=retweeted]
1556083456479838208,2022-08-07 01:03:01+00:00,755926817266106368,[<ReferencedTweet id=1555992929193398274 type=retweeted]
1556120799886573569,2022-08-07 03:31:24+00:00,56470032,[<ReferencedTweet id=1555992929193398274 type=retweeted]
1556145545122643971,2022-08-08 00:58:14+00:00,81158098,[<ReferencedTweet id=1556434725295775745 type=replied_to]
1556156914861588481,2022-08-08 01:53:37+00:00,1443338851217547266,[<ReferencedTweet id=1556156914861588481 type=replied_to]
1556230545486528512,2022-08-07 10:47:30+00:00,798324717170081792,[<ReferencedTweet id=1555992929193398274 type=retweeted]
1556231150573654016,2022-08-07 10:49:54+00:00,798324717170081792,[<ReferencedTweet id=1556009577006727170 type=quoted]
1556254591980916736,2022-08-07 12:37:12+00:00,798324717170081792,[<ReferencedTweet id=1556254591980916736 type=replied_to]
1556257622348668929,2022-08-07 12:35:05+00:00,116776718,
1556268775984488449,2022-08-07 13:19:24+00:00,28095729,[<ReferencedTweet id=1556044170497753089 type=retweeted]
