conversation_id,created_at,author_id,referenced_tweets
1228307917721546753,2022-08-29 21:32:21+00:00,1113962617482227712,[<ReferencedTweet id=1228307917721546753 type=replied_to]
1533966416289873921,2022-08-30 12:15:59+00:00,1432789382558269444,[<ReferencedTweet id=1533966416289873921 type=replied_to]
1559890043505868801,2022-08-30 14:24:00+00:00,1449798888425144324,[<ReferencedTweet id=1563253870096068611 type=replied_to]
1560642187158642690,2022-08-30 04:57:40+00:00,1519377619040579585,[<ReferencedTweet id=1560642187158642690 type=replied_to]
1562957024853254144,2022-08-30 04:47:32+00:00,1525677349,[<ReferencedTweet id=1562957024853254144 type=replied_to]
1563573994900828161,2022-08-29 04:01:24+00:00,1383441277446852616,[<ReferencedTweet id=1563573994900828161 type=replied_to]
1563593194033426434,2022-08-30 14:11:20+00:00,1449798888425144324,[<ReferencedTweet id=1563593194033426434 type=replied_to]
1563672580296409089,2022-08-29 02:39:36+00:00,1075426240251789312,[<ReferencedTweet id=1563672580296409089 type=replied_to]
1563845714278580224,2022-08-30 09:12:17+00:00,67901936,[<ReferencedTweet id=1563845714278580224 type=replied_to]
1563858818936852480,2022-08-29 15:25:52+00:00,1057289492372054016,[<ReferencedTweet id=1563858818936852480 type=replied_to]
1563869295783854080,2022-08-30 12:38:06+00:00,2498147860,[<ReferencedTweet id=1563950871200894979 type=replied_to]
1563891287954161666,2022-08-30 12:42:36+00:00,3940638081,[<ReferencedTweet id=1563891287954161666 type=replied_to]
1563891851668627458,2022-08-29 10:32:38+00:00,1475241541824303111,[<ReferencedTweet id=1563891851668627458 type=replied_to]
1563910319335948288,2022-08-29 03:08:25+00:00,1402286985553879042,[<ReferencedTweet id=1563910319335948288 type=replied_to]
1563940605180403713,2022-08-30 14:14:12+00:00,1449798888425144324,[<ReferencedTweet id=1563940605180403713 type=replied_to]
1564002381993594880,2022-08-29 23:16:05+00:00,4877655520,[<ReferencedTweet id=1564002381993594880 type=replied_to]
1564007280089120774,2022-08-29 20:21:12+00:00,749465952,[<ReferencedTweet id=1564063898222956544 type=replied_to]
1564019720382255104,2022-08-29 20:52:14+00:00,749465952,[<ReferencedTweet id=1564100830197948416 type=replied_to]
1564027774813278210,2022-08-30 00:12:08+00:00,4877655520,[<ReferencedTweet id=1564027774813278210 type=replied_to]
1564035359755096070,2022-08-29 09:46:47+00:00,1508393733049438212,[<ReferencedTweet id=1564059505075314691 type=replied_to]
1564038124489039872,2022-08-29 20:21:30+00:00,749465952,[<ReferencedTweet id=1564074799864897536 type=replied_to]
1564040169199747073,2022-08-30 14:28:58+00:00,1478175827514863618,[<ReferencedTweet id=1564059622142517250 type=replied_to]
1564040228037328897,2022-08-29 10:21:23+00:00,1518723213538299907,[<ReferencedTweet id=1564059044524003338 type=replied_to]
1564042834461614080,2022-08-29 22:59:24+00:00,1502960698325884930,[<ReferencedTweet id=1564042834461614080 type=replied_to]
1564043934157967361,2022-08-29 01:33:22+00:00,1446488897492557860,[<ReferencedTweet id=1564061308349284355 type=replied_to]
1564044930384859136,2022-08-29 20:55:34+00:00,1498466646058582022,[<ReferencedTweet id=1564044930384859136 type=replied_to]
1564045325131829251,2022-08-29 22:48:17+00:00,1404508875194241035,[<ReferencedTweet id=1564045325131829251 type=replied_to]
1564046069889404929,2022-08-29 14:33:53+00:00,56399838,[<ReferencedTweet id=1564046069889404929 type=replied_to]
1564046421581504519,2022-08-30 12:36:46+00:00,2498147860,[<ReferencedTweet id=1564046421581504519 type=replied_to]
1564046888931917825,2022-08-29 14:38:19+00:00,56399838,[<ReferencedTweet id=1564046888931917825 type=replied_to]
1564047186048032769,2022-08-29 11:50:06+00:00,305104654,[<ReferencedTweet id=1564047186048032769 type=replied_to]
1564047210085498880,2022-08-29 22:33:50+00:00,908509048554840064,[<ReferencedTweet id=1564047210085498880 type=replied_to]
1564048671150411779,2022-08-29 11:04:52+00:00,1516387235830054912,[<ReferencedTweet id=1564048671150411779 type=replied_to]
1564050079769575428,2022-08-29 18:44:25+00:00,1436148846049046530,[<ReferencedTweet id=1564050079769575428 type=replied_to]
1564050163378929664,2022-08-30 10:36:52+00:00,1909390338,[<ReferencedTweet id=1564050163378929664 type=replied_to]
1564050927891488768,2022-08-29 14:30:17+00:00,56399838,[<ReferencedTweet id=1564050927891488768 type=replied_to]
1564052354554544131,2022-08-30 01:01:58+00:00,370740679,[<ReferencedTweet id=1564052354554544131 type=replied_to]
1564054240380829697,2022-08-30 00:25:43+00:00,713517890478161920,[<ReferencedTweet id=1564054240380829697 type=replied_to]
1564056687304122370,2022-08-29 02:11:32+00:00,1075426240251789312,[<ReferencedTweet id=1564056687304122370 type=replied_to]
1564056725807931393,2022-08-29 23:15:48+00:00,1437419049898717191,[<ReferencedTweet id=1564056725807931393 type=replied_to]
1564057001268740096,2022-08-30 10:39:20+00:00,1909390338,[<ReferencedTweet id=1564057001268740096 type=replied_to]
1564057149755506693,2022-08-29 06:48:48+00:00,1461714017089736706,[<ReferencedTweet id=1564057149755506693 type=replied_to]
1564057505487093762,2022-08-29 01:11:59+00:00,95226135,[<ReferencedTweet id=1564057505487093762 type=replied_to]
1564057525011496961,2022-08-29 02:33:53+00:00,1075426240251789312,[<ReferencedTweet id=1564057525011496961 type=replied_to]
1564057675054436359,2022-08-30 09:18:23+00:00,1346145145931096066,[<ReferencedTweet id=1564057675054436359 type=replied_to]
1564058004307206144,2022-08-29 01:12:53+00:00,1086395415786860546,[<ReferencedTweet id=1564058004307206144 type=replied_to]
1564058047592423424,2022-08-29 16:44:15+00:00,1541522363157811201,[<ReferencedTweet id=1564058047592423424 type=replied_to]
1564058120229355520,2022-08-29 15:43:52+00:00,239483077,[<ReferencedTweet id=1564058120229355520 type=replied_to]
1564058143042244614,2022-08-29 01:15:10+00:00,1103404262472761345,[<ReferencedTweet id=1564058143042244614 type=replied_to]
1564058161815887872,2022-08-29 22:30:08+00:00,2407755913,[<ReferencedTweet id=1564058161815887872 type=replied_to]
1564058215519854592,2022-08-29 16:10:19+00:00,108297453,[<ReferencedTweet id=1564058215519854592 type=replied_to]
1564058228161380353,2022-08-30 09:30:30+00:00,1562557912303947780,[<ReferencedTweet id=1564058228161380353 type=replied_to]
1564058238030577666,2022-08-29 23:58:41+00:00,1555220009596686336,[<ReferencedTweet id=1564058238030577666 type=replied_to]
1564058248025620481,2022-08-29 21:43:08+00:00,1306707521441333251,[<ReferencedTweet id=1564058248025620481 type=replied_to]
1564058260453441538,2022-08-30 10:41:18+00:00,1909390338,[<ReferencedTweet id=1564058260453441538 type=replied_to]
1564058294842425347,2022-08-29 21:48:40+00:00,1306707521441333251,[<ReferencedTweet id=1564058294842425347 type=replied_to]
1564058305932181505,2022-08-29 12:00:51+00:00,33795738,[<ReferencedTweet id=1564058305932181505 type=replied_to]
1564058316715745293,2022-08-30 13:09:57+00:00,1540685790111358977,[<ReferencedTweet id=1564058316715745293 type=replied_to]
1564058324622082049,2022-08-30 14:29:35+00:00,1478175827514863618,[<ReferencedTweet id=1564058324622082049 type=replied_to]
1564058331903303681,2022-08-29 14:45:28+00:00,56399838,[<ReferencedTweet id=1564058331903303681 type=replied_to]
1564058345849470977,2022-08-30 00:47:20+00:00,1308195479818309634,[<ReferencedTweet id=1564058345849470977 type=replied_to]
1564058346264592385,2022-08-30 00:31:38+00:00,1538993883186708481,[<ReferencedTweet id=1564058346264592385 type=replied_to]
1564058351176220674,2022-08-30 11:04:42+00:00,1465394568636084234,[<ReferencedTweet id=1564058351176220674 type=replied_to]
1564058434718388224,2022-08-29 02:53:32+00:00,1533556128315056131,[<ReferencedTweet id=1564058434718388224 type=replied_to]
1564058464816619521,2022-08-29 15:14:39+00:00,1223583258367209474,[<ReferencedTweet id=1564058464816619521 type=replied_to]
1564058472215449600,2022-08-29 14:48:09+00:00,1370723194903089152,[<ReferencedTweet id=1564058472215449600 type=replied_to]
1564058497825865730,2022-08-30 10:11:01+00:00,1533614707,[<ReferencedTweet id=1564058497825865730 type=replied_to]
1564058590142500865,2022-08-29 21:03:47+00:00,1553444737549537287,[<ReferencedTweet id=1564058590142500865 type=replied_to]
1564058623264886785,2022-08-30 00:47:41+00:00,1355205452892614657,[<ReferencedTweet id=1564058623264886785 type=replied_to]
1564058636883730437,2022-08-30 09:51:24+00:00,1518985165065924608,[<ReferencedTweet id=1564058636883730437 type=replied_to]
1564058667963584513,2022-08-29 02:45:43+00:00,1536423110710263808,[<ReferencedTweet id=1564058667963584513 type=replied_to]
1564058679204274177,2022-08-29 01:13:42+00:00,1365836458888724481,
1564058742668333056,2022-08-29 01:13:57+00:00,959602102103396354,
1564058774708551683,2022-08-29 13:21:28+00:00,1520093861045014530,[<ReferencedTweet id=1564058774708551683 type=replied_to]
1564058781855670273,2022-08-29 01:14:07+00:00,1519421796394668032,
1564058797294878720,2022-08-29 11:48:44+00:00,305104654,[<ReferencedTweet id=1564058797294878720 type=replied_to]
1564058821953216515,2022-08-30 04:38:30+00:00,1525677349,[<ReferencedTweet id=1564058821953216515 type=replied_to]
1564058824465694720,2022-08-30 11:42:52+00:00,1384855405268975617,[<ReferencedTweet id=1564058824465694720 type=replied_to]
1564058874113654785,2022-08-29 10:18:20+00:00,1508393733049438212,[<ReferencedTweet id=1564093315712225282 type=replied_to]
1564058898977497091,2022-08-29 16:48:04+00:00,1461686722455117824,[<ReferencedTweet id=1564058898977497091 type=replied_to]
1564058902035136512,2022-08-30 04:30:57+00:00,1920395328,[<ReferencedTweet id=1564059707307950082 type=replied_to]
1564058915708477440,2022-08-29 01:14:38+00:00,1303712697599565830,
1564058953155334151,2022-08-29 01:14:47+00:00,1252963658516348928,[<ReferencedTweet id=1564058475310858241 type=retweeted]
1564058979218735105,2022-08-29 14:39:58+00:00,56399838,[<ReferencedTweet id=1564058979218735105 type=replied_to]
1564058982217547778,2022-08-29 01:14:54+00:00,266236332,[<ReferencedTweet id=1564058915708477440 type=retweeted]
1564059073070485504,2022-08-29 01:15:16+00:00,1435179680580227080,
1564059149347987457,2022-08-29 02:07:41+00:00,554870857,[<ReferencedTweet id=1564070772297109509 type=replied_to]
1564059151222951937,2022-08-30 10:43:29+00:00,1909390338,[<ReferencedTweet id=1564059151222951937 type=replied_to]
1564059155304005633,2022-08-29 01:15:36+00:00,1310662903222218753,[<ReferencedTweet id=1564058316715745293 type=quoted]
1564059224153493504,2022-08-29 01:15:52+00:00,834815667224326150,
1564059268411785219,2022-08-29 01:16:03+00:00,379335583,[<ReferencedTweet id=1564058316715745293 type=quoted]
