conversation_id,created_at,author_id,referenced_tweets
1498861210757967872,2022-07-14 16:02:57+00:00,981840539048972288,[<ReferencedTweet id=1498861210757967872 type=replied_to]
1501513135123013634,2022-07-14 00:19:14+00:00,1073362723696709632,[<ReferencedTweet id=1501513135123013634 type=replied_to]
1527318175838220288,2022-07-14 00:15:10+00:00,1086436125328183296,[<ReferencedTweet id=1527318175838220288 type=replied_to]
1542570358359920641,2022-07-15 15:54:19+00:00,1519133258319020032,[<ReferencedTweet id=1542570358359920641 type=replied_to]
1545775020114313216,2022-07-14 15:10:58+00:00,1336328574354112520,[<ReferencedTweet id=1545775020114313216 type=replied_to]
1546219464676577281,2022-07-15 17:52:36+00:00,1274843856744448000,[<ReferencedTweet id=1546219464676577281 type=replied_to]
1546221600328110084,2022-07-15 14:47:01+00:00,1497010483148296193,[<ReferencedTweet id=1546221600328110084 type=replied_to]
1546576319298904065,2022-07-14 22:40:04+00:00,1433809626911358979,[<ReferencedTweet id=1546576319298904065 type=replied_to]
1546917330160074752,2022-07-14 19:12:09+00:00,1458623057443098624,[<ReferencedTweet id=1547518292017004544 type=replied_to]
1546952360471236608,2022-07-14 17:13:27+00:00,2446916886,[<ReferencedTweet id=1546952360471236608 type=replied_to]
1546952866417491968,2022-07-14 01:39:53+00:00,1174385915495636999,[<ReferencedTweet id=1546974895757737985 type=replied_to]
1546994495325196288,2022-07-14 21:08:09+00:00,1309944732446011396,[<ReferencedTweet id=1547687138841399304 type=replied_to]
1547007397411131398,2022-07-15 19:57:44+00:00,54605110,[<ReferencedTweet id=1547007397411131398 type=replied_to]
1547032417730437120,2022-07-14 01:54:48+00:00,1401327207545552900,[<ReferencedTweet id=1547032417730437120 type=replied_to]
1547053223621566464,2022-07-15 03:43:04+00:00,1474491778044735491,[<ReferencedTweet id=1547053223621566464 type=replied_to]
1547204206536310788,2022-07-14 11:15:25+00:00,1426915532570247173,[<ReferencedTweet id=1547204206536310788 type=replied_to]
1547208853577678848,2022-07-14 17:48:48+00:00,2645389037,[<ReferencedTweet id=1547208853577678848 type=replied_to]
1547219874174443520,2022-07-14 11:58:17+00:00,42233777,[<ReferencedTweet id=1547434201342943237 type=replied_to]
1547222006420176897,2022-07-14 09:40:08+00:00,1448083319644729344,[<ReferencedTweet id=1547222006420176897 type=replied_to]
1547222730419978242,2022-07-15 01:36:14+00:00,903972837127532544,[<ReferencedTweet id=1547342972794052620 type=replied_to]
1547228222366048262,2022-07-15 01:53:36+00:00,1546981639582007296,[<ReferencedTweet id=1547228222366048262 type=replied_to]
1547238355380871169,2022-07-14 21:02:55+00:00,1488318635970121731,[<ReferencedTweet id=1547238355380871169 type=replied_to]
1547240177604739077,2022-07-15 17:43:14+00:00,190840767,[<ReferencedTweet id=1547240177604739077 type=replied_to]
1547244154614435843,2022-07-14 10:07:43+00:00,1495414811781443585,[<ReferencedTweet id=1547244154614435843 type=replied_to]
1547249229063757824,2022-07-14 02:42:27+00:00,1529069537273995270,[<ReferencedTweet id=1547249229063757824 type=replied_to]
1547255144588484611,2022-07-14 15:11:47+00:00,862978822433628160,[<ReferencedTweet id=1547255144588484611 type=replied_to]
1547256313100615680,2022-07-14 18:35:19+00:00,1110667276481630211,[<ReferencedTweet id=1547256313100615680 type=replied_to]
1547258817053851648,2022-07-14 13:10:01+00:00,1493371794312638465,[<ReferencedTweet id=1547566122097971201 type=replied_to]
1547285383502860295,2022-07-15 11:05:31+00:00,76718754,[<ReferencedTweet id=1547285383502860295 type=replied_to]
1547308632471224322,2022-07-14 01:10:24+00:00,1270886225784778753,[<ReferencedTweet id=1547308632471224322 type=replied_to]
1547313720707145732,2022-07-15 00:51:53+00:00,1495414811781443585,[<ReferencedTweet id=1547313720707145732 type=replied_to]
1547313969207058432,2022-07-15 00:51:44+00:00,1495414811781443585,[<ReferencedTweet id=1547313969207058432 type=replied_to]
1547314397189705729,2022-07-15 10:13:01+00:00,558898989,[<ReferencedTweet id=1547314397189705729 type=replied_to]
1547323726164901893,2022-07-14 07:02:42+00:00,1507792817959190532,[<ReferencedTweet id=1547323726164901893 type=replied_to]
1547329260469342211,2022-07-14 11:24:45+00:00,1519706179160715265,[<ReferencedTweet id=1547329260469342211 type=replied_to]
1547336377842520064,2022-07-14 13:56:51+00:00,933677121335111680,[<ReferencedTweet id=1547336377842520064 type=replied_to]
1547336901232836610,2022-07-14 18:47:00+00:00,894731278725066752,[<ReferencedTweet id=1547336901232836610 type=replied_to]
1547341637562556416,2022-07-14 21:12:14+00:00,1440892907637051402,[<ReferencedTweet id=1547341637562556416 type=replied_to]
1547342171598209025,2022-07-14 14:30:21+00:00,1519432846548652032,[<ReferencedTweet id=1547342171598209025 type=replied_to]
1547344071076614144,2022-07-14 23:58:33+00:00,1130200086565269505,[<ReferencedTweet id=1547344071076614144 type=replied_to]
1547346345547235329,2022-07-14 06:11:27+00:00,987775424624300037,[<ReferencedTweet id=1547346345547235329 type=replied_to]
1547349593326817280,2022-07-14 10:59:10+00:00,1519425418784292867,[<ReferencedTweet id=1547349595700830210 type=replied_to]
1547350760580694016,2022-07-14 16:19:30+00:00,767484390343577600,[<ReferencedTweet id=1547356287381405696 type=replied_to]
1547351329173110784,2022-07-14 00:35:52+00:00,1026811308,[<ReferencedTweet id=1547351329173110784 type=replied_to]
1547353361598611458,2022-07-14 22:52:01+00:00,135243539,[<ReferencedTweet id=1547353361598611458 type=replied_to]
1547354247238393858,2022-07-14 03:22:05+00:00,1512791727341461507,[<ReferencedTweet id=1547354247238393858 type=replied_to]
1547358326194946055,2022-07-14 00:01:29+00:00,1508454335713361926,[<ReferencedTweet id=1547358326194946055 type=replied_to]
1547359461009924096,2022-07-14 01:29:00+00:00,2736481332,[<ReferencedTweet id=1547359461009924096 type=replied_to]
1547361253789732864,2022-07-15 14:30:41+00:00,1521584571028066305,[<ReferencedTweet id=1547898227965366277 type=replied_to]
1547362452894953473,2022-07-14 00:22:47+00:00,1321642952163233795,[<ReferencedTweet id=1547362452894953473 type=replied_to]
1547362791895490570,2022-07-14 00:04:30+00:00,1500039122341216257,[<ReferencedTweet id=1547362791895490570 type=replied_to]
1547367006198022145,2022-07-14 00:12:04+00:00,1435375849440784385,[<ReferencedTweet id=1547367006198022145 type=replied_to]
1547370303994601474,2022-07-14 00:00:03+00:00,1254898658027454464,[<ReferencedTweet id=1547240177604739077 type=retweeted]
1547370348429058050,2022-07-14 00:00:14+00:00,1247896999984128000,[<ReferencedTweet id=1547285213541285889 type=retweeted]
1547370352266944513,2022-07-14 00:00:15+00:00,1349175188,[<ReferencedTweet id=1546981579150475265 type=retweeted]
1547370423121330177,2022-07-14 00:00:32+00:00,878162993288273920,[<ReferencedTweet id=1547286075923726337 type=retweeted]
1547370434814951424,2022-07-14 00:00:35+00:00,70128489,[<ReferencedTweet id=1547369918194229253 type=retweeted]
1547370436811522048,2022-07-14 00:00:35+00:00,1510770738344697862,[<ReferencedTweet id=1547336227254329345 type=retweeted]
1547370446378733570,2022-07-14 00:00:37+00:00,1100744851572879360,[<ReferencedTweet id=1547369942709899265 type=retweeted]
1547370454209421312,2022-07-14 00:00:39+00:00,1519275657607495680,[<ReferencedTweet id=1547327907672068104 type=retweeted]
1547370464196149248,2022-07-14 00:00:42+00:00,1247896999984128000,[<ReferencedTweet id=1547362336863920130 type=retweeted]
1547370469673795589,2022-07-14 00:00:43+00:00,342681000,[<ReferencedTweet id=1547240177604739077 type=retweeted]
1547370530658983936,2022-07-14 00:00:57+00:00,69368223,[<ReferencedTweet id=1547240177604739077 type=retweeted]
1547370587357691904,2022-07-14 00:01:11+00:00,1369254880645439488,[<ReferencedTweet id=1547356169903243265 type=retweeted]
1547370615241334785,2022-07-14 00:01:18+00:00,1136075230420619264,[<ReferencedTweet id=1547240177604739077 type=retweeted]
1547370616663285760,2022-07-14 00:01:18+00:00,66462048,[<ReferencedTweet id=1547240177604739077 type=retweeted]
1547370636653240321,2022-07-14 00:01:23+00:00,61024949,[<ReferencedTweet id=1547369942709899265 type=retweeted]
1547370646535110660,2022-07-14 00:01:25+00:00,1716797382,[<ReferencedTweet id=1546896919909236737 type=retweeted]
1547370658476314624,2022-07-14 00:01:28+00:00,1519483294211055618,[<ReferencedTweet id=1547285213541285889 type=retweeted]
1547370765829513218,2022-07-14 00:01:53+00:00,66463266,[<ReferencedTweet id=1547367066210107392 type=retweeted]
1547370809383075840,2022-07-14 00:02:04+00:00,1518998562469781507,[<ReferencedTweet id=1547336227254329345 type=retweeted]
