conversation_id,created_at,author_id,referenced_tweets
1548646968276258818,2022-07-25 11:43:50+00:00,316109908,[<ReferencedTweet id=1548646968276258818 type=replied_to]
1549507129840738307,2022-07-26 13:39:03+00:00,1550660164482736129,[<ReferencedTweet id=1549507129840738307 type=replied_to]
1549821466312675329,2022-07-25 13:59:59+00:00,1081855214695706625,[<ReferencedTweet id=1551564657856593928 type=replied_to]
1550296639449059329,2022-07-26 05:51:31+00:00,832027537249284096,[<ReferencedTweet id=1551803643409698816 type=replied_to]
1550788645292068866,2022-07-25 02:45:17+00:00,1441444089140953098,[<ReferencedTweet id=1550827619356114944 type=replied_to]
1551180630179856389,2022-07-25 14:16:51+00:00,1505749739555463168,[<ReferencedTweet id=1551181105197469697 type=replied_to]
1551198012621303809,2022-07-25 00:38:24+00:00,1465120187875737600,[<ReferencedTweet id=1551198012621303809 type=replied_to]
1551223813072986112,2022-07-25 13:03:21+00:00,1850198222,[<ReferencedTweet id=1551223813072986112 type=replied_to]
1551247251183476738,2022-07-25 11:48:24+00:00,39355511,[<ReferencedTweet id=1551247251183476738 type=replied_to]
1551258739868590081,2022-07-25 02:40:32+00:00,1056190785962557441,[<ReferencedTweet id=1551300542395305984 type=replied_to]
1551262210663538689,2022-07-25 12:05:44+00:00,1319995713737064450,[<ReferencedTweet id=1551262210663538689 type=replied_to]
1551263454295621633,2022-07-25 01:53:27+00:00,1369341501734608909,[<ReferencedTweet id=1551384473035579393 type=replied_to]
1551289994999992321,2022-07-25 14:57:58+00:00,31696778,[<ReferencedTweet id=1551289994999992321 type=replied_to]
1551301055748739072,2022-07-25 06:20:37+00:00,867678881016418304,[<ReferencedTweet id=1551301055748739072 type=replied_to]
1551322393251020800,2022-07-25 14:44:05+00:00,1541153836190007297,[<ReferencedTweet id=1551337488563806210 type=replied_to]
1551328481304264704,2022-07-25 12:35:52+00:00,1286398787230011394,[<ReferencedTweet id=1551328481304264704 type=replied_to]
1551340059281989633,2022-07-25 13:02:25+00:00,713534097109434368,[<ReferencedTweet id=1551340059281989633 type=replied_to]
1551342240659800065,2022-07-25 15:05:48+00:00,1285661369245851648,[<ReferencedTweet id=1551342240659800065 type=replied_to]
