conversation_id,created_at,author_id,referenced_tweets
1542560805119557632,2022-07-25 14:47:14+00:00,1448672074176868358,[<ReferencedTweet id=1542560805119557632 type=replied_to]
1546943196462186498,2022-07-25 14:43:44+00:00,800687505292963840,[<ReferencedTweet id=1546943196462186498 type=replied_to]
1549200387986661377,2022-07-25 10:25:59+00:00,1230194511466332161,[<ReferencedTweet id=1549200387986661377 type=replied_to]
1550098635957968898,2022-07-25 15:09:48+00:00,1178263855430078467,[<ReferencedTweet id=1551520819620315136 type=replied_to]
1550112440762785794,2022-07-24 20:19:28+00:00,91818503,[<ReferencedTweet id=1551262975851372546 type=replied_to]
1550249043992920066,2022-07-25 12:37:46+00:00,1531075531,[<ReferencedTweet id=1550249043992920066 type=replied_to]
1550456813795115008,2022-07-25 15:13:39+00:00,1446539096873185285,[<ReferencedTweet id=1551242699029766145 type=replied_to]
1550471759354290183,2022-07-25 14:03:34+00:00,1473264608,[<ReferencedTweet id=1550471759354290183 type=replied_to]
1550521363118661634,2022-07-25 14:29:59+00:00,800687505292963840,[<ReferencedTweet id=1550521363118661634 type=replied_to]
1550589365268668420,2022-07-25 14:47:29+00:00,931663696908218368,[<ReferencedTweet id=1551579284480860160 type=replied_to]
1550720170980773888,2022-07-25 11:21:03+00:00,1206883431021531138,[<ReferencedTweet id=1550720170980773888 type=replied_to]
1550788645292068866,2022-07-25 14:26:46+00:00,800687505292963840,[<ReferencedTweet id=1550788648102133760 type=replied_to]
1550815052537761799,2022-07-25 12:17:57+00:00,1519431109083283462,[<ReferencedTweet id=1551428703330131968 type=replied_to]
1550870078274605057,2022-07-25 13:07:52+00:00,1522049950229884929,[<ReferencedTweet id=1550870078274605057 type=replied_to]
1550880340130029570,2022-07-25 14:25:05+00:00,113204132,[<ReferencedTweet id=1550976289565278210 type=replied_to]
1550898537193431041,2022-07-25 14:29:08+00:00,800687505292963840,[<ReferencedTweet id=1550898537193431041 type=replied_to]
1550911023514886144,2022-07-25 12:00:40+00:00,1228055061244370969,[<ReferencedTweet id=1550911023514886144 type=replied_to]
1550929974613495810,2022-07-25 12:36:31+00:00,1531075531,[<ReferencedTweet id=1550929974613495810 type=replied_to]
1550931683351961601,2022-07-25 14:28:50+00:00,800687505292963840,[<ReferencedTweet id=1550931683351961601 type=replied_to]
1550986945492287490,2022-07-25 14:25:50+00:00,800687505292963840,[<ReferencedTweet id=1550986945492287490 type=replied_to]
1551022611173367808,2022-07-25 16:48:34+00:00,324971205,[<ReferencedTweet id=1551022611173367808 type=replied_to]
