conversation_id,created_at,author_id,referenced_tweets
1177842078895759360,2022-07-21 08:44:37+00:00,1530296648173334528,[<ReferencedTweet id=1550033191066632194 type=replied_to]
1534174682622185474,2022-07-21 20:17:21+00:00,1549013914830127114,[<ReferencedTweet id=1550212749443141633 type=replied_to]
1538497797833490434,2022-07-22 02:43:18+00:00,1357810817736077313,[<ReferencedTweet id=1538497797833490434 type=replied_to]
1538858133321404418,2022-07-22 09:56:38+00:00,732378238408888320,[<ReferencedTweet id=1539273265964883973 type=replied_to]
1546869458261741569,2022-07-21 09:47:54+00:00,1453820223337926662,[<ReferencedTweet id=1550037587007619073 type=replied_to]
1547910716895555586,2022-07-22 14:13:52+00:00,1458764269089136642,[<ReferencedTweet id=1550482673298284552 type=replied_to]
1547958837491015681,2022-07-21 08:27:34+00:00,1546445892177256454,[<ReferencedTweet id=1548973105057603585 type=replied_to]
1547970820621815812,2022-07-21 16:44:43+00:00,1482037887021592582,[<ReferencedTweet id=1550035164541198337 type=replied_to]
1548220432532221953,2022-07-21 07:40:45+00:00,1546445892177256454,[<ReferencedTweet id=1548832643034349569 type=replied_to]
1548264299641987073,2022-07-22 19:53:45+00:00,1366843333386113029,[<ReferencedTweet id=1549508207902867457 type=replied_to]
1548647373634674688,2022-07-21 21:32:06+00:00,2725889931,[<ReferencedTweet id=1550230887878594561 type=replied_to]
1548667325372571656,2022-07-22 19:54:55+00:00,1366843333386113029,[<ReferencedTweet id=1549427057154826243 type=replied_to]
1548799703764144133,2022-07-21 03:05:25+00:00,204149947,[<ReferencedTweet id=1549933547506614274 type=replied_to]
1549192225912827904,2022-07-22 05:56:12+00:00,1177142357092970497,[<ReferencedTweet id=1550355428017639424 type=replied_to]
1549339208438915073,2022-07-21 16:51:16+00:00,1547328943186972675,[<ReferencedTweet id=1550157605036867587 type=replied_to]
1549424819816599552,2022-07-21 05:10:05+00:00,1275238863573786626,[<ReferencedTweet id=1549424819816599552 type=replied_to]
