conversation_id,created_at,author_id,referenced_tweets
1536824754010734594,2022-07-12 13:55:26+00:00,41419308,[<ReferencedTweet id=1536824754010734594 type=replied_to]
1546569612376117248,2022-07-12 18:04:27+00:00,105299209,[<ReferencedTweet id=1546569612376117248 type=replied_to]
1546596232402968578,2022-07-12 10:11:07+00:00,1529231040346202119,[<ReferencedTweet id=1546596232402968578 type=replied_to]
1546596871086526464,2022-07-12 14:32:41+00:00,1537838309224992770,[<ReferencedTweet id=1546596871086526464 type=replied_to]
1546596984722702336,2022-07-12 10:51:00+00:00,159499415,[<ReferencedTweet id=1546596984722702336 type=replied_to]
1546605353881767936,2022-07-12 11:41:13+00:00,184959102,[<ReferencedTweet id=1546605353881767936 type=replied_to]
1546610146415083533,2022-07-12 00:00:59+00:00,1308542804524707849,[<ReferencedTweet id=1546610146415083533 type=replied_to]
1546611687679197185,2022-07-12 11:33:27+00:00,1132674995078029313,[<ReferencedTweet id=1546611687679197185 type=replied_to]
1546617877368799242,2022-07-12 04:13:26+00:00,175027097,[<ReferencedTweet id=1546617877368799242 type=replied_to]
1546646463115034631,2022-07-12 00:03:46+00:00,1267889180820025348,[<ReferencedTweet id=1546184460911214592 type=retweeted]
1546651338431467520,2022-07-12 00:23:09+00:00,1106430035655831554,[<ReferencedTweet id=1546646532417536000 type=quoted]
1546658794977067008,2022-07-12 00:52:46+00:00,888915252993249281,[<ReferencedTweet id=1546601058994192385 type=retweeted]
1546659733955682304,2022-07-12 00:56:30+00:00,84911482,[<ReferencedTweet id=1546572633113862147 type=quoted]
1546661216466227200,2022-07-12 14:11:57+00:00,1545390720042913796,[<ReferencedTweet id=1546661216466227200 type=replied_to]
1546661432292524032,2022-07-12 01:14:02+00:00,926150709900402688,[<ReferencedTweet id=1546661432292524032 type=replied_to]
1546663590316457986,2022-07-12 13:49:48+00:00,941790277,[<ReferencedTweet id=1546663590316457986 type=replied_to]
1546663928956129292,2022-07-12 01:13:10+00:00,896740510911651841,[<ReferencedTweet id=1546660252065509376 type=quoted]
1546668403137593344,2022-07-12 20:22:04+00:00,1475813816860659712,[<ReferencedTweet id=1546668403137593344 type=replied_to]
1546673785331486721,2022-07-12 14:29:50+00:00,905042789133684736,[<ReferencedTweet id=1546673785331486721 type=replied_to]
1546700088369635328,2022-07-12 03:36:52+00:00,1452038739463708679,[<ReferencedTweet id=1546595330581569536 type=retweeted]
1546700620349972481,2022-07-12 03:38:58+00:00,264226329,[<ReferencedTweet id=1546595330581569536 type=retweeted]
1546700728567271424,2022-07-12 03:39:24+00:00,36285222,[<ReferencedTweet id=1546661216466227200 type=quoted]
1546701909766987777,2022-07-12 03:44:06+00:00,1075777177784741894,[<ReferencedTweet id=1546700728567271424 type=retweeted]
1546703623157055488,2022-07-12 03:50:54+00:00,1224725501203353600,[<ReferencedTweet id=1545735970363940864 type=retweeted]
1546715187708846082,2022-07-13 17:54:35+00:00,1408621787072675840,[<ReferencedTweet id=1546715187708846082 type=replied_to]
1546752700859252738,2022-07-12 07:05:55+00:00,716398433620398080,[<ReferencedTweet id=1545583079565234177 type=retweeted]
1546774478105022464,2022-07-12 08:32:27+00:00,1152785688061972481,[<ReferencedTweet id=1546490055824445440 type=retweeted]
1546775206416588807,2022-07-12 08:35:21+00:00,406766589,[<ReferencedTweet id=1546490055824445440 type=retweeted]
1546793272877760515,2022-07-12 09:47:08+00:00,123710016,[<ReferencedTweet id=1546222102797246466 type=retweeted]
1546796464696950787,2022-07-12 09:59:49+00:00,1506052446799466496,[<ReferencedTweet id=1545729520489086976 type=retweeted]
1546800467149312000,2022-07-12 20:55:30+00:00,50151026,[<ReferencedTweet id=1546800467149312000 type=replied_to]
1546801564903522307,2022-07-12 10:20:05+00:00,1173536563491483648,[<ReferencedTweet id=1546596871086526464 type=quoted]
1546803011124600833,2022-07-12 15:21:25+00:00,3656369295,[<ReferencedTweet id=1546803998929436672 type=replied_to]
1546806845515366401,2022-07-12 10:41:04+00:00,478738694,[<ReferencedTweet id=1546646214451544064 type=quoted]
1546816954962526208,2022-07-12 11:21:19+00:00,1266165207128301568,[<ReferencedTweet id=1546816963552346113 type=replied_to]
1546819087644377091,2022-07-12 11:29:43+00:00,16461476,[<ReferencedTweet id=1546595330581569536 type=retweeted]
1546819376128688128,2022-07-12 11:30:52+00:00,1141899914085109760,[<ReferencedTweet id=1546595330581569536 type=retweeted]
1546825321688735745,2022-07-12 11:54:29+00:00,889458088507584513,[<ReferencedTweet id=1546595330581569536 type=retweeted]
1546825339355205632,2022-07-12 12:47:16+00:00,1525709217528791040,[<ReferencedTweet id=1546825339355205632 type=replied_to]
1546827050065043457,2022-07-12 12:01:22+00:00,500131184,[<ReferencedTweet id=1546595330581569536 type=retweeted]
1546829074835857411,2022-07-12 12:09:24+00:00,1062746890750619648,[<ReferencedTweet id=1546825339355205632 type=quoted]
1546829476826386433,2022-07-13 11:16:57+00:00,899799119161643008,[<ReferencedTweet id=1546829476826386433 type=replied_to]
1546833343832100867,2022-07-12 12:26:22+00:00,1221153179452297218,[<ReferencedTweet id=1546595330581569536 type=retweeted]
1546833754513182723,2022-07-12 12:28:00+00:00,28198550,
1546834076992167937,2022-07-12 12:29:17+00:00,1532364375599742977,[<ReferencedTweet id=1546595330581569536 type=retweeted]
1546836001179459585,2022-07-12 14:32:29+00:00,121128119,[<ReferencedTweet id=1546843738982465537 type=replied_to]
1546838274114785280,2022-07-12 12:45:58+00:00,1525709217528791040,[<ReferencedTweet id=1546826232196726788 type=quoted]
1546838290678140928,2022-07-12 12:48:24+00:00,917362182601535489,[<ReferencedTweet id=1546838290678140928 type=replied_to]
1546839819094990848,2022-07-12 12:52:06+00:00,139498420,[<ReferencedTweet id=1546839819094990848 type=replied_to]
1546841939194310656,2022-07-12 13:00:31+00:00,1519788185626324997,[<ReferencedTweet id=1546838889444397057 type=retweeted]
1546853117282615297,2022-07-12 13:44:56+00:00,1531697495700606978,[<ReferencedTweet id=1545735970363940864 type=retweeted]
1546857584975560704,2022-07-13 00:10:44+00:00,1539750316358438912,[<ReferencedTweet id=1546857584975560704 type=replied_to]
1546860662571286528,2022-07-12 14:14:55+00:00,1297221395655602176,[<ReferencedTweet id=1546595330581569536 type=retweeted]
1546863383030398976,2022-07-12 14:25:44+00:00,4462856243,
1546863485275045889,2022-07-12 14:26:08+00:00,4462856243,[<ReferencedTweet id=1546863383030398976 type=retweeted]
1546870527620415489,2022-07-12 14:54:07+00:00,1163607048946356225,[<ReferencedTweet id=1546597790222008322 type=retweeted]
1546872331083071491,2022-07-12 15:01:17+00:00,1536809722824822789,
1546872393804779520,2022-07-12 15:01:32+00:00,1042813599339700224,[<ReferencedTweet id=1546815475992100864 type=quoted]
1546873110623830017,2022-07-12 15:04:23+00:00,1545812327903248387,[<ReferencedTweet id=1546661216466227200 type=quoted]
1546874340200914944,2022-07-12 15:09:16+00:00,1527795263242481664,[<ReferencedTweet id=1546595330581569536 type=retweeted]
1546874888148877316,2022-07-12 15:11:27+00:00,1545812327903248387,[<ReferencedTweet id=1545735970363940864 type=retweeted]
1546875078289367041,2022-07-12 15:12:12+00:00,1533865859286016000,[<ReferencedTweet id=1546616252709339138 type=quoted]
1546878328883347457,2022-07-12 20:04:50+00:00,1480363131130060807,[<ReferencedTweet id=1546878328883347457 type=replied_to]
1546878614175682561,2022-07-12 15:26:15+00:00,177000971,[<ReferencedTweet id=1546878328883347457 type=retweeted]
