conversation_id,created_at,author_id,referenced_tweets
1530572165011079169,2022-07-01 15:22:30+00:00,1228055061244370969,[<ReferencedTweet id=1530572165011079169 type=replied_to]
1534174682622185474,2022-07-01 11:13:20+00:00,1377331503655440399,[<ReferencedTweet id=1542828566404030465 type=replied_to]
1538612413532094466,2022-07-01 16:36:23+00:00,1537573184844734464,[<ReferencedTweet id=1538612413532094466 type=replied_to]
1538927565418729473,2022-07-01 16:37:33+00:00,1537573184844734464,[<ReferencedTweet id=1538927565418729473 type=replied_to]
1541224745189924864,2022-06-30 20:15:49+00:00,27683123,[<ReferencedTweet id=1541224745189924864 type=replied_to]
1541365724526120962,2022-06-30 20:26:24+00:00,4896510833,[<ReferencedTweet id=1542205785161302019 type=replied_to]
1541410931938365440,2022-07-01 15:31:29+00:00,1228055061244370969,[<ReferencedTweet id=1541410931938365440 type=replied_to]
1541577714985041920,2022-06-30 23:01:42+00:00,155383683,[<ReferencedTweet id=1542196835481227264 type=replied_to]
1541587005565444097,2022-07-01 01:47:25+00:00,4573236382,[<ReferencedTweet id=1541587005565444097 type=replied_to]
1541619321776050178,2022-07-01 04:17:31+00:00,1191087648246505473,[<ReferencedTweet id=1541619321776050178 type=replied_to]
1541773485592264704,2022-06-29 21:08:36+00:00,1510601460194721804,[<ReferencedTweet id=1541773485592264704 type=replied_to]
1541834614255325187,2022-06-29 11:30:48+00:00,58242056,[<ReferencedTweet id=1542095096321130501 type=replied_to]
1541886751215607809,2022-06-29 11:01:39+00:00,1507423272438317065,[<ReferencedTweet id=1541886751215607809 type=replied_to]
1541914053374787587,2022-06-29 12:48:25+00:00,1506991096194338823,[<ReferencedTweet id=1541914053374787587 type=replied_to]
1541925688672161793,2022-06-30 10:49:50+00:00,1379086170009788417,[<ReferencedTweet id=1541925688672161793 type=replied_to]
1541940454924615686,2022-06-29 11:05:01+00:00,1507423272438317065,[<ReferencedTweet id=1541940454924615686 type=replied_to]
1541944689217216513,2022-06-29 11:37:41+00:00,1507423272438317065,[<ReferencedTweet id=1541944689217216513 type=replied_to]
1541947777378402304,2022-06-29 00:52:52+00:00,56131587,[<ReferencedTweet id=1540399648938106882 type=retweeted]
1542021990944497666,2022-06-29 05:47:46+00:00,1538250019802955778,[<ReferencedTweet id=1530201842235363329 type=retweeted]
