conversation_id,created_at,author_id,referenced_tweets
1480707441700573191,2022-07-24 03:52:11+00:00,777652476183011328,[<ReferencedTweet id=1550345602709463040 type=replied_to]
1489756930272813065,2022-07-24 01:15:07+00:00,1898908712,[<ReferencedTweet id=1489756930272813065 type=replied_to]
1525853741580165122,2022-07-26 00:55:54+00:00,1056190785962557441,[<ReferencedTweet id=1526324437854916622 type=replied_to]
1527391999350931457,2022-07-24 18:06:17+00:00,1519449758280171520,[<ReferencedTweet id=1546962773120270341 type=replied_to]
1544229596731621381,2022-07-25 21:40:34+00:00,1400136758843658241,[<ReferencedTweet id=1544229596731621381 type=replied_to]
1548706845770014724,2022-07-24 05:19:28+00:00,1379400532427743233,[<ReferencedTweet id=1551073785972916224 type=replied_to]
1549053199885053952,2022-07-24 17:37:56+00:00,1405665986364252162,[<ReferencedTweet id=1549078887094697985 type=replied_to]
1549460625356636164,2022-07-25 20:47:08+00:00,1467168802928533510,[<ReferencedTweet id=1549460625356636164 type=replied_to]
1549518428112932865,2022-07-25 23:37:51+00:00,160080109,[<ReferencedTweet id=1549518428112932865 type=replied_to]
1549582408172838914,2022-07-24 21:50:14+00:00,1053325586205159424,[<ReferencedTweet id=1551314905374007296 type=replied_to]
1549714308640243714,2022-07-25 19:57:29+00:00,1539641889011519488,[<ReferencedTweet id=1549714308640243714 type=replied_to]
1549770740114800642,2022-07-25 15:48:51+00:00,63500218,[<ReferencedTweet id=1551594514082680834 type=replied_to]
1549809268928483328,2022-07-24 11:48:56+00:00,1461999984878960640,[<ReferencedTweet id=1549809268928483328 type=replied_to]
1549862755791953921,2022-07-24 10:58:44+00:00,741822430155526144,[<ReferencedTweet id=1549862755791953921 type=replied_to]
1550109559590490113,2022-07-24 11:48:17+00:00,1461999984878960640,[<ReferencedTweet id=1550109559590490113 type=replied_to]
1550120588009541633,2022-07-24 12:18:22+00:00,1542872412223676416,[<ReferencedTweet id=1550120588009541633 type=replied_to]
1550160084415782913,2022-07-24 11:46:10+00:00,1461999984878960640,[<ReferencedTweet id=1550160084415782913 type=replied_to]
1550161916798058504,2022-07-24 14:37:49+00:00,1037908507335565317,[<ReferencedTweet id=1550161916798058504 type=replied_to]
1550449831767851011,2022-07-24 11:44:25+00:00,1461999984878960640,[<ReferencedTweet id=1550449831767851011 type=replied_to]
1550468076889690112,2022-07-26 00:38:00+00:00,415015364,[<ReferencedTweet id=1550468076889690112 type=replied_to]
1550474510192738304,2022-07-24 00:42:20+00:00,1422615336076070913,[<ReferencedTweet id=1550474510192738304 type=replied_to]
1550496274427912193,2022-07-24 01:32:56+00:00,1080817712279052289,[<ReferencedTweet id=1550496274427912193 type=replied_to]
1550496718436925452,2022-07-24 04:30:39+00:00,39760328,[<ReferencedTweet id=1550496718436925452 type=replied_to]
1550496810862608386,2022-07-24 11:42:26+00:00,1461999984878960640,[<ReferencedTweet id=1550496810862608386 type=replied_to]
1550506673390895105,2022-07-24 11:52:41+00:00,2352524214,[<ReferencedTweet id=1550506673390895105 type=replied_to]
1550510247776763906,2022-07-24 04:01:00+00:00,1518974829893984257,[<ReferencedTweet id=1550510247776763906 type=replied_to]
1550527965968334849,2022-07-24 11:42:52+00:00,1461999984878960640,[<ReferencedTweet id=1550527965968334849 type=replied_to]
1550532935530708993,2022-07-24 16:20:58+00:00,722459628,[<ReferencedTweet id=1550532935530708993 type=replied_to]
1550545505427435520,2022-07-24 02:22:54+00:00,1540487275246657536,[<ReferencedTweet id=1550545505427435520 type=replied_to]
1550566974706663426,2022-07-24 11:59:54+00:00,1545243990462795776,[<ReferencedTweet id=1550566974706663426 type=replied_to]
1550567378332811270,2022-07-24 10:12:53+00:00,1260281601172410369,[<ReferencedTweet id=1550738779236868096 type=replied_to]
1550573248710164483,2022-07-24 12:15:09+00:00,100380868,[<ReferencedTweet id=1550573248710164483 type=replied_to]
1550575169009291271,2022-07-24 14:18:09+00:00,245687293,[<ReferencedTweet id=1550575169009291271 type=replied_to]
1550585755084414976,2022-07-24 19:23:49+00:00,1408168489618219014,[<ReferencedTweet id=1550617290206580736 type=replied_to]
1550624889450766336,2022-07-24 02:08:19+00:00,1400989691491536896,[<ReferencedTweet id=1551018174266621953 type=replied_to]
1550650519953219586,2022-07-24 11:41:58+00:00,1461999984878960640,[<ReferencedTweet id=1550650519953219586 type=replied_to]
1550780651921620994,2022-07-24 13:14:44+00:00,1419297055890190340,[<ReferencedTweet id=1550780651921620994 type=replied_to]
1550786179024535552,2022-07-24 18:39:35+00:00,564611648,[<ReferencedTweet id=1550786179024535552 type=replied_to]
