conversation_id,created_at,author_id,referenced_tweets
1258477434397220867,2022-07-05 18:57:09+00:00,1319986637527502848,[<ReferencedTweet id=1258477434397220867 type=replied_to]
1368184470659080192,2022-07-05 17:09:07+00:00,1422999328491196416,[<ReferencedTweet id=1368257728062369792 type=replied_to]
1368549753219334147,2022-07-04 20:59:25+00:00,1369103131502579713,[<ReferencedTweet id=1368549753219334147 type=replied_to]
1518683968538914816,2022-07-04 21:14:39+00:00,1369103131502579713,[<ReferencedTweet id=1540890330983194624 type=replied_to]
1524837468620607490,2022-07-05 20:32:07+00:00,1119768406968930304,[<ReferencedTweet id=1543273366139854848 type=replied_to]
1534899510475898881,2022-07-05 08:22:58+00:00,2211514820,[<ReferencedTweet id=1534899510475898881 type=replied_to]
1541832834914160640,2022-07-04 21:11:29+00:00,1369103131502579713,[<ReferencedTweet id=1543377046499377154 type=replied_to]
1542191338866839552,2022-07-05 12:13:04+00:00,1341205894030352387,[<ReferencedTweet id=1542191338866839552 type=replied_to]
1542196857526435846,2022-07-05 12:17:14+00:00,1341205894030352387,[<ReferencedTweet id=1542196857526435846 type=replied_to]
1542207304212291584,2022-07-05 12:15:44+00:00,1341205894030352387,[<ReferencedTweet id=1542207304212291584 type=replied_to]
1542207802042720256,2022-07-05 12:12:18+00:00,1341205894030352387,[<ReferencedTweet id=1542207802042720256 type=replied_to]
1542224799916871680,2022-07-05 12:14:20+00:00,1341205894030352387,[<ReferencedTweet id=1542224799916871680 type=replied_to]
1542230707501780993,2022-07-05 12:14:58+00:00,1341205894030352387,[<ReferencedTweet id=1542230707501780993 type=replied_to]
1542278070672949250,2022-07-05 16:27:54+00:00,1386860714313277443,[<ReferencedTweet id=1544357242962575367 type=replied_to]
1542326857382641666,2022-07-05 12:12:07+00:00,1341205894030352387,[<ReferencedTweet id=1542326857382641666 type=replied_to]
1542341571076673537,2022-07-05 14:07:12+00:00,1541130133150613505,[<ReferencedTweet id=1542341571076673537 type=replied_to]
1542435115762057217,2022-07-04 21:12:51+00:00,1369103131502579713,[<ReferencedTweet id=1542902800430104576 type=replied_to]
1542542474035470336,2022-07-05 12:18:11+00:00,1341205894030352387,[<ReferencedTweet id=1542542474035470336 type=replied_to]
1542605528462917639,2022-07-05 13:15:44+00:00,1002301429476941824,[<ReferencedTweet id=1542605528462917639 type=replied_to]
1542611881860501504,2022-07-05 18:47:41+00:00,1530238052160897027,[<ReferencedTweet id=1542611881860501504 type=replied_to]
1542871682108444672,2022-07-04 21:13:13+00:00,1369103131502579713,[<ReferencedTweet id=1542890508216930304 type=replied_to]
1542873805332283396,2022-07-05 03:05:58+00:00,1392611737258631176,[<ReferencedTweet id=1542873805332283396 type=replied_to]
1542890563334246400,2022-07-04 20:57:42+00:00,1369103131502579713,[<ReferencedTweet id=1543907066401660929 type=replied_to]
1542966014861840386,2022-07-04 21:00:39+00:00,1369103131502579713,[<ReferencedTweet id=1542966014861840386 type=replied_to]
1543014474029928452,2022-07-04 21:09:57+00:00,1369103131502579713,[<ReferencedTweet id=1543428925698838528 type=replied_to]
1543084682920747008,2022-07-04 01:25:52+00:00,1510722830895357953,[<ReferencedTweet id=1543084682920747008 type=replied_to]
1543227516877430788,2022-07-05 00:07:09+00:00,1519596081843261440,[<ReferencedTweet id=1543227516877430788 type=replied_to]
1543265035761360898,2022-07-04 00:24:20+00:00,236551856,[<ReferencedTweet id=1543265035761360898 type=replied_to]
1543276690608111616,2022-07-04 00:49:17+00:00,2457684338,[<ReferencedTweet id=1543700132541173761 type=replied_to]
1543286045739040769,2022-07-04 12:01:38+00:00,1509131154263314442,[<ReferencedTweet id=1543286045739040769 type=replied_to]
1543344322787041281,2022-07-05 18:53:19+00:00,186992320,[<ReferencedTweet id=1543344322787041281 type=replied_to]
1543365730627981442,2022-07-04 03:56:33+00:00,1296985786131394560,[<ReferencedTweet id=1543365730627981442 type=replied_to]
1543384927986716672,2022-07-04 13:17:37+00:00,1480673866410299400,[<ReferencedTweet id=1543802774319661063 type=replied_to]
1543391572061855744,2022-07-04 12:57:33+00:00,1217269398366511105,[<ReferencedTweet id=1543927113354551297 type=replied_to]
