conversation_id,created_at,author_id,referenced_tweets
703840175923695616,2022-06-25 02:45:41+00:00,1521949890888482816,[<ReferencedTweet id=703840175923695616 type=replied_to]
1212167077613707264,2022-06-25 02:29:17+00:00,33391925,[<ReferencedTweet id=1540522470029103104 type=replied_to]
1514116331901231112,2022-06-25 01:45:30+00:00,33391925,[<ReferencedTweet id=1540509306403053568 type=replied_to]
1525837987078148103,2022-06-24 22:12:40+00:00,595416676,[<ReferencedTweet id=1525837987078148103 type=replied_to]
1533166374826254336,2022-06-23 08:33:18+00:00,63843033,[<ReferencedTweet id=1533166374826254336 type=replied_to]
1534174682622185474,2022-06-24 19:02:06+00:00,1517647532398153731,[<ReferencedTweet id=1540409579594555392 type=replied_to]
1537838164852752384,2022-06-25 02:31:21+00:00,1521949890888482816,[<ReferencedTweet id=1537838164852752384 type=replied_to]
1538898962991685633,2022-06-23 14:39:34+00:00,1270458043755528194,[<ReferencedTweet id=1538901046671687681 type=replied_to]
1538992308313546753,2022-06-24 16:04:04+00:00,1346957038052663297,[<ReferencedTweet id=1540033155197018116 type=replied_to]
1539023329667031043,2022-06-24 14:23:18+00:00,1292805645566119941,[<ReferencedTweet id=1539023329667031043 type=replied_to]
1539244242832351235,2022-06-24 15:59:21+00:00,1388117639063560192,[<ReferencedTweet id=1539244242832351235 type=replied_to]
1539250932801740803,2022-06-23 19:42:04+00:00,1103793996298637314,[<ReferencedTweet id=1539250932801740803 type=replied_to]
1539302678693662720,2022-06-24 02:42:42+00:00,1532882382201802754,[<ReferencedTweet id=1539354640164298759 type=replied_to]
1539304202312241153,2022-06-25 02:32:26+00:00,1521949890888482816,[<ReferencedTweet id=1539304202312241153 type=replied_to]
1539306336432885766,2022-06-24 11:00:48+00:00,1302366010025152515,[<ReferencedTweet id=1539306336432885766 type=replied_to]
1539349502578016261,2022-06-24 18:45:15+00:00,4911506908,[<ReferencedTweet id=1539349502578016261 type=replied_to]
1539361893315387395,2022-06-25 01:26:32+00:00,1254181726722625537,[<ReferencedTweet id=1539361893315387395 type=replied_to]
1539364686499561474,2022-06-23 08:45:06+00:00,63843033,[<ReferencedTweet id=1539364686499561474 type=replied_to]
1539393724022669312,2022-06-23 08:36:52+00:00,63843033,[<ReferencedTweet id=1539393724022669312 type=replied_to]
1539419384673931265,2022-06-23 12:37:23+00:00,992766230460354560,[<ReferencedTweet id=1539600058357792770 type=replied_to]
1539641985631264771,2022-06-23 20:07:25+00:00,1009184992872816640,[<ReferencedTweet id=1539641985631264771 type=replied_to]
1539642257732734977,2022-06-24 01:28:17+00:00,1087395141814550529,[<ReferencedTweet id=1539855517627056128 type=replied_to]
1539645064045002752,2022-06-24 21:48:38+00:00,398812952,[<ReferencedTweet id=1539645364432764928 type=replied_to]
1539660588552294400,2022-06-23 08:35:40+00:00,63843033,[<ReferencedTweet id=1539660588552294400 type=replied_to]
