conversation_id,created_at,author_id,referenced_tweets
1146040827153698816,2022-06-05 21:22:27+00:00,1527491454825799698,[<ReferencedTweet id=1533526782527389698 type=replied_to]
1419577807739424768,2022-06-07 22:20:22+00:00,1436160077677932549,[<ReferencedTweet id=1534207369604911105 type=replied_to]
1445689484893306896,2022-06-07 22:21:42+00:00,1436160077677932549,[<ReferencedTweet id=1534295626715959298 type=replied_to]
1507049111484305408,2022-06-08 16:22:47+00:00,1434958240580784130,[<ReferencedTweet id=1507049111484305408 type=replied_to]
1507526393315446791,2022-06-08 16:37:23+00:00,164572459,[<ReferencedTweet id=1507526393315446791 type=replied_to]
1510634088021045258,2022-06-08 13:42:12+00:00,1446947592475234307,[<ReferencedTweet id=1510703708706938886 type=replied_to]
1512455137616404486,2022-06-08 10:20:38+00:00,1502111822081671184,[<ReferencedTweet id=1512455137616404486 type=replied_to]
1523363407511969793,2022-06-05 20:19:15+00:00,850046580363276288,[<ReferencedTweet id=1523363407511969793 type=replied_to]
1527816823760162816,2022-06-08 10:18:41+00:00,2624515978,[<ReferencedTweet id=1527816825903390721 type=replied_to]
1530161536353853440,2022-06-04 03:11:13+00:00,1427403570509459460,[<ReferencedTweet id=1530161536353853440 type=replied_to]
1530167516743467008,2022-06-06 20:50:08+00:00,280113395,[<ReferencedTweet id=1533622224934117376 type=replied_to]
1530684735260958720,2022-06-04 04:01:20+00:00,1313586415754764289,[<ReferencedTweet id=1530684735260958720 type=replied_to]
1530744783941025795,2022-06-07 21:11:48+00:00,2724172187,[<ReferencedTweet id=1534280745841311754 type=replied_to]
1530930598361055234,2022-06-07 12:29:18+00:00,1516533714943156230,[<ReferencedTweet id=1530930598361055234 type=replied_to]
1531670676213481472,2022-06-04 12:37:56+00:00,1101921192322183168,[<ReferencedTweet id=1532824533027147776 type=replied_to]
1531922132464173057,2022-06-08 15:33:15+00:00,464204620,[<ReferencedTweet id=1531922132464173057 type=replied_to]
1532362000252157955,2022-06-04 11:45:13+00:00,1521786996926070787,[<ReferencedTweet id=1532601237928980480 type=replied_to]
1532443244570857473,2022-06-04 12:20:37+00:00,1437733200260964354,[<ReferencedTweet id=1532781066402111489 type=replied_to]
1532457560225333257,2022-06-04 00:12:01+00:00,58707974,[<ReferencedTweet id=1532457560225333257 type=replied_to]
1532551564627517448,2022-06-04 00:44:41+00:00,1241370883366760449,[<ReferencedTweet id=1532551564627517448 type=replied_to]
1532589265179316226,2022-06-04 16:54:12+00:00,1052749047944097798,[<ReferencedTweet id=1532589265179316226 type=replied_to]
1532671434488545280,2022-06-04 19:23:40+00:00,3084099072,[<ReferencedTweet id=1533167046795698177 type=replied_to]
1532686294299590659,2022-06-04 01:09:20+00:00,1449004706290937857,[<ReferencedTweet id=1532686294299590659 type=replied_to]
1532691065278455808,2022-06-04 11:31:37+00:00,1505592240214876160,[<ReferencedTweet id=1532691065278455808 type=replied_to]
1532692358722101248,2022-06-04 00:10:20+00:00,1095311237628510209,[<ReferencedTweet id=1532692358722101248 type=replied_to]
1532717191749042177,2022-06-04 11:32:30+00:00,383012827,[<ReferencedTweet id=1532717191749042177 type=replied_to]
