conversation_id,created_at,author_id,referenced_tweets
157246993389985792,2022-06-15 12:21:07+00:00,1504482315170299914,[<ReferencedTweet id=157246993389985792 type=replied_to]
1339370500796129280,2022-06-14 20:06:53+00:00,948676057661693952,[<ReferencedTweet id=1433831550915842048 type=replied_to]
1494647709705424904,2022-06-15 06:03:26+00:00,1457216769479876614,[<ReferencedTweet id=1494647709705424904 type=replied_to]
1524575639088635905,2022-06-16 11:30:59+00:00,1522288690961305600,[<ReferencedTweet id=1524575639088635905 type=replied_to]
1524882727291564032,2022-06-16 11:37:55+00:00,1522288690961305600,[<ReferencedTweet id=1524882727291564032 type=replied_to]
1528204632748699648,2022-06-16 11:32:38+00:00,1522288690961305600,[<ReferencedTweet id=1528204632748699648 type=replied_to]
1531335864982315008,2022-06-16 11:53:55+00:00,1522288690961305600,[<ReferencedTweet id=1531335864982315008 type=replied_to]
1533763103372062723,2022-06-16 11:32:19+00:00,1522288690961305600,[<ReferencedTweet id=1533763103372062723 type=replied_to]
1533847431250583552,2022-06-16 11:49:46+00:00,1263443579814453249,[<ReferencedTweet id=1533847431250583552 type=replied_to]
1534997975306493963,2022-06-14 05:55:49+00:00,421063481,[<ReferencedTweet id=1536290767869714432 type=replied_to]
1535285494912892928,2022-06-16 18:25:36+00:00,1463335207,[<ReferencedTweet id=1535285494912892928 type=replied_to]
1535317326710640644,2022-06-14 16:25:54+00:00,978787937147129858,[<ReferencedTweet id=1535317326710640644 type=replied_to]
1535795576914452480,2022-06-14 17:35:52+00:00,1522258784294510592,[<ReferencedTweet id=1535795576914452480 type=replied_to]
1536010593727021059,2022-06-14 14:00:14+00:00,2702507592,[<ReferencedTweet id=1536010593727021059 type=replied_to]
1536057314851028993,2022-06-15 13:37:49+00:00,245687169,[<ReferencedTweet id=1536057314851028993 type=replied_to]
1536060911097630720,2022-06-16 11:44:01+00:00,1522288690961305600,[<ReferencedTweet id=1536060911097630720 type=replied_to]
1536084167607439362,2022-06-14 00:57:23+00:00,1388541115305975812,[<ReferencedTweet id=1536094890433585152 type=replied_to]
1536092199200374788,2022-06-14 00:05:58+00:00,2713186570,[<ReferencedTweet id=1536100769455284226 type=replied_to]
1536147485600661507,2022-06-14 01:57:21+00:00,1330609914146934793,[<ReferencedTweet id=1536162642443780099 type=replied_to]
1536302914347667457,2022-06-16 01:41:36+00:00,1915849795,[<ReferencedTweet id=1536302914347667457 type=replied_to]
1536346313494695937,2022-06-16 19:31:21+00:00,305249899,[<ReferencedTweet id=1536346313494695937 type=replied_to]
1536348723269206016,2022-06-14 13:10:51+00:00,1479241695036325891,[<ReferencedTweet id=1536348723269206016 type=replied_to]
1536350223680753664,2022-06-14 07:09:19+00:00,1021075056187887622,[<ReferencedTweet id=1536533195096743936 type=replied_to]
1536355593895690242,2022-06-14 00:23:54+00:00,70944194,[<ReferencedTweet id=1536355593895690242 type=replied_to]
1536355859248336897,2022-06-16 05:05:13+00:00,1525644783393423361,[<ReferencedTweet id=1536355859248336897 type=replied_to]
1536356675002720262,2022-06-14 16:05:44+00:00,862672233801670658,[<ReferencedTweet id=1536519023533379592 type=replied_to]
1536361521772523520,2022-06-14 00:25:20+00:00,1501510918563569665,[<ReferencedTweet id=1536361521772523520 type=replied_to]
1536362827274936322,2022-06-14 02:33:44+00:00,3491761162,[<ReferencedTweet id=1536362827274936322 type=replied_to]
1536363069559001089,2022-06-14 00:22:25+00:00,1532198143953186818,[<ReferencedTweet id=1536363069559001089 type=replied_to]
1536370372417028096,2022-06-16 18:52:33+00:00,1519431109083283462,[<ReferencedTweet id=1536370372417028096 type=replied_to]
1536374218975170560,2022-06-14 16:25:44+00:00,1518933096355315712,[<ReferencedTweet id=1536374218975170560 type=replied_to]
1536377336681025536,2022-06-16 11:14:34+00:00,1233873194626506753,[<ReferencedTweet id=1536377336681025536 type=replied_to]
1536388669073940481,2022-06-14 19:22:02+00:00,1508279651717853192,[<ReferencedTweet id=1536388669073940481 type=replied_to]
1536391374999887875,2022-06-14 15:34:18+00:00,1470583267812327426,[<ReferencedTweet id=1536391374999887875 type=replied_to]
1536394028412968962,2022-06-14 23:13:13+00:00,936005813612707840,[<ReferencedTweet id=1536474030479482881 type=replied_to]
1536400128134762496,2022-06-16 14:14:43+00:00,1492501758467260423,[<ReferencedTweet id=1536400128134762496 type=replied_to]
1536405538443087872,2022-06-14 13:21:19+00:00,2702507592,[<ReferencedTweet id=1536405538443087872 type=replied_to]
1536417387393830912,2022-06-14 12:45:06+00:00,2418360959,[<ReferencedTweet id=1536417387393830912 type=replied_to]
1536423163462041603,2022-06-14 01:31:01+00:00,1310923432331280384,[<ReferencedTweet id=1536423163462041603 type=replied_to]
1536423522490261505,2022-06-14 20:24:23+00:00,335451937,[<ReferencedTweet id=1536423522490261505 type=replied_to]
1536425403514068992,2022-06-14 00:02:23+00:00,1535047455397511184,[<ReferencedTweet id=1536425403514068992 type=replied_to]
1536430337420558337,2022-06-14 01:32:31+00:00,1015060065081061377,[<ReferencedTweet id=1536512373292408832 type=replied_to]
1536437108876926978,2022-06-14 00:53:43+00:00,1381567008773398530,[<ReferencedTweet id=1536437108876926978 type=replied_to]
1536439463953453057,2022-06-15 01:31:12+00:00,66774757,[<ReferencedTweet id=1536439463953453057 type=replied_to]
1536448151422394369,2022-06-14 19:00:48+00:00,1219640352690376706,[<ReferencedTweet id=1536785177728385024 type=replied_to]
1536448775031595012,2022-06-14 15:16:21+00:00,981298358416543747,[<ReferencedTweet id=1536695685369798664 type=replied_to]
1536455930405171202,2022-06-14 00:36:07+00:00,1389310430435287040,[<ReferencedTweet id=1536455930405171202 type=replied_to]
1536459854449192964,2022-06-14 18:59:42+00:00,1475447337619275780,[<ReferencedTweet id=1536784257825259520 type=replied_to]
1536460378825281549,2022-06-14 00:25:04+00:00,1430279707870863368,[<ReferencedTweet id=1536460378825281549 type=replied_to]
1536468034726027264,2022-06-14 02:16:13+00:00,1475837237355028481,[<ReferencedTweet id=1536468034726027264 type=replied_to]
1536468395331399682,2022-06-14 20:14:20+00:00,1530718786265001984,[<ReferencedTweet id=1536468395331399682 type=replied_to]
1536469728033644544,2022-06-14 18:50:32+00:00,57980332,[<ReferencedTweet id=1536469728033644544 type=replied_to]
1536480673636225024,2022-06-14 13:40:26+00:00,88936590,[<ReferencedTweet id=1536480673636225024 type=replied_to]
1536482508799414273,2022-06-15 19:24:55+00:00,44064159,[<ReferencedTweet id=1536482508799414273 type=replied_to]
1536486018865668097,2022-06-14 01:42:15+00:00,24630203,[<ReferencedTweet id=1536524008677679105 type=replied_to]
1536487850560061441,2022-06-14 03:05:03+00:00,1463651424579960835,[<ReferencedTweet id=1536545213262331904 type=replied_to]
1536488275560517632,2022-06-15 07:36:55+00:00,1467049328955260929,[<ReferencedTweet id=1536488275560517632 type=replied_to]
1536492773251207169,2022-06-15 00:42:36+00:00,1199848532527718401,[<ReferencedTweet id=1536492773251207169 type=replied_to]
1536493877628133376,2022-06-14 00:08:06+00:00,165639182,[<ReferencedTweet id=1536494373017378816 type=replied_to]
1536494869887299584,2022-06-14 13:41:19+00:00,88936590,[<ReferencedTweet id=1536494869887299584 type=replied_to]
1536497392685555714,2022-06-14 00:29:42+00:00,1475447337619275780,[<ReferencedTweet id=1536505858342981633 type=replied_to]
1536498664709009408,2022-06-14 00:00:03+00:00,1142210225879113728,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536498704227655685,2022-06-14 00:00:12+00:00,1219449498675687424,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536498706635169793,2022-06-14 00:00:13+00:00,1375838528110792710,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536498718450630656,2022-06-14 00:00:15+00:00,891045104500322306,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536498729024471040,2022-06-14 00:00:18+00:00,1471527418997399552,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536498747890360320,2022-06-14 00:00:22+00:00,1033535558029639680,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536498881185333249,2022-06-14 00:00:54+00:00,1033535558029639680,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536498905747230721,2022-06-14 00:01:00+00:00,1510814546730135558,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536498936566915075,2022-06-14 00:01:07+00:00,801632958998315008,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536498954019426306,2022-06-14 00:01:12+00:00,970406169163583490,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536498970721230848,2022-06-14 00:01:16+00:00,1510814546730135558,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499000320434178,2022-06-14 00:01:23+00:00,970406169163583490,[<ReferencedTweet id=1536498310403465216 type=retweeted]
1536499017726803969,2022-06-14 00:01:27+00:00,309683006,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499069836722177,2022-06-14 00:01:39+00:00,2350674193,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499124698234880,2022-06-14 00:01:52+00:00,1208143037286768641,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499171624206337,2022-06-14 00:02:03+00:00,1471527418997399552,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499171779350529,2022-06-14 00:02:03+00:00,1855211918,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499184127418369,2022-06-14 00:02:06+00:00,1504814982554394664,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499207711903744,2022-06-14 00:02:12+00:00,809503954405040128,[<ReferencedTweet id=1536498310403465216 type=retweeted]
1536499220663914498,2022-06-14 00:02:15+00:00,1202642263664480256,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499242352750592,2022-06-14 00:02:20+00:00,789936498497978369,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499246538670086,2022-06-14 00:02:21+00:00,1318364500660281345,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499362527956992,2022-06-14 00:02:49+00:00,959935463418204160,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499382203387904,2022-06-14 00:02:54+00:00,1309807820498513920,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499444123852800,2022-06-14 00:03:08+00:00,1242513220159635457,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499446678159365,2022-06-14 00:04:40+00:00,1379233967703011334,[<ReferencedTweet id=1536499446678159365 type=replied_to]
1536499494304595976,2022-06-14 00:03:20+00:00,1488705993722761219,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499524562198528,2022-06-14 00:03:28+00:00,4364154916,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499571983011842,2022-06-14 00:03:39+00:00,1489057504814325766,[<ReferencedTweet id=1536497222954655749 type=retweeted]
1536499646209708032,2022-06-14 00:03:57+00:00,948367630867496960,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499657123188736,2022-06-14 00:03:59+00:00,1266924254500737024,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499694381289475,2022-06-14 00:04:08+00:00,758391108615319552,[<ReferencedTweet id=1536495277569368064 type=retweeted]
1536499703910653952,2022-06-14 00:04:10+00:00,948367630867496960,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499727864324097,2022-06-14 00:04:16+00:00,944316610092904448,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499773980782594,2022-06-14 00:04:27+00:00,1152445965451890690,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499796437045249,2022-06-14 00:04:32+00:00,1188199645140393984,[<ReferencedTweet id=1536356131270012928 type=retweeted]
1536499815193919489,2022-06-14 00:04:37+00:00,2396045685,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499872798580736,2022-06-14 00:04:51+00:00,1108767226637795328,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499906143297536,2022-06-14 00:04:59+00:00,789242153323098112,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499914309611520,2022-06-14 00:05:01+00:00,1407073391857786888,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499918143164416,2022-06-14 00:05:01+00:00,1184278692069068800,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536499932500312065,2022-06-14 00:05:05+00:00,1188199645140393984,[<ReferencedTweet id=1536355882539397120 type=retweeted]
1536499980973887488,2022-06-14 00:05:16+00:00,783880631918989312,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499982026649601,2022-06-14 00:05:17+00:00,799614233193435136,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536499989429604354,2022-06-14 00:05:18+00:00,1153845827556827136,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500035080409088,2022-06-14 00:05:29+00:00,775115513865306112,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500059939938308,2022-06-14 00:05:35+00:00,2871445636,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536500109977993216,2022-06-14 00:05:47+00:00,1218172119533617153,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500138486775811,2022-06-14 00:05:54+00:00,916708277236457472,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500160758534144,2022-06-14 00:05:59+00:00,1400260087093006337,[<ReferencedTweet id=1536482508799414273 type=retweeted]
1536500182396948480,2022-06-14 00:06:04+00:00,916708277236457472,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536500211081744385,2022-06-14 00:06:11+00:00,4102140315,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500305692606465,2022-06-14 00:06:34+00:00,859195983850336257,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500324143403009,2022-06-14 00:06:38+00:00,305321396,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536500357811130368,2022-06-14 00:06:46+00:00,916708277236457472,[<ReferencedTweet id=1536498310403465216 type=retweeted]
1536500428283981824,2022-06-14 00:09:05+00:00,1351693693162545154,[<ReferencedTweet id=1536500428283981824 type=replied_to]
1536500431693684736,2022-06-14 00:07:04+00:00,338724149,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500434608717826,2022-06-14 00:07:05+00:00,1407073391857786888,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536500503261106180,2022-06-14 00:07:21+00:00,3506389456,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500505215737856,2022-06-14 00:07:21+00:00,989290459607523328,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500555513741316,2022-06-14 00:07:33+00:00,2557553197,[<ReferencedTweet id=1536498310403465216 type=retweeted]
1536500616385679361,2022-06-14 00:07:48+00:00,419129325,[<ReferencedTweet id=1536370372417028096 type=retweeted]
1536500651139768322,2022-06-14 00:07:56+00:00,1070725938193817600,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500652779655169,2022-06-14 00:07:57+00:00,1475823529694220296,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536500686988492801,2022-06-14 00:08:05+00:00,533604777,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536500729321496576,2022-06-14 00:08:15+00:00,2873166144,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536500745738063872,2022-06-14 00:08:19+00:00,1489957997258412041,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500761202417665,2022-06-14 00:08:22+00:00,533604777,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500780416569346,2022-06-14 00:08:27+00:00,1510814546730135558,[<ReferencedTweet id=1536498310403465216 type=retweeted]
1536500797210611717,2022-06-14 00:08:31+00:00,1093635830940352513,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536500828235767810,2022-06-14 00:08:38+00:00,468616301,
1536500847563112452,2022-06-14 00:08:43+00:00,937162291786678272,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536500849144381446,2022-06-14 00:08:43+00:00,949092513725468672,[<ReferencedTweet id=1536498310403465216 type=retweeted]
1536500869734313989,2022-06-14 00:08:48+00:00,1400648336168951808,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536500888231100421,2022-06-14 00:08:53+00:00,750412174888144897,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536500895181115392,2022-06-14 00:08:54+00:00,1510814546730135558,[<ReferencedTweet id=1536497222954655749 type=retweeted]
1536500963376349186,2022-06-14 00:09:11+00:00,1535085962912571395,[<ReferencedTweet id=1536461545143779335 type=retweeted]
1536501032041299969,2022-06-14 00:09:27+00:00,816788646993031168,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501032057987072,2022-06-14 00:09:27+00:00,1018644321090854912,[<ReferencedTweet id=1536498310403465216 type=retweeted]
1536501061275602950,2022-06-14 00:09:34+00:00,816788646993031168,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501097442967555,2022-06-14 00:09:43+00:00,1511470340517605383,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501118024527874,2022-06-14 00:09:48+00:00,1421599073606545419,[<ReferencedTweet id=1536498310403465216 type=retweeted]
1536501163218059264,2022-06-14 00:09:58+00:00,1428476185764409350,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501172957216770,2022-06-14 00:10:01+00:00,1330952611411988485,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501191798030341,2022-06-14 00:10:05+00:00,3320107961,[<ReferencedTweet id=1536461545143779335 type=retweeted]
1536501202996842497,2022-06-14 00:10:08+00:00,1263601976442589187,[<ReferencedTweet id=1536500828235767810 type=retweeted]
1536501221216997376,2022-06-14 00:10:12+00:00,1059220939542532096,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501222894706688,2022-06-14 00:10:13+00:00,1330952611411988485,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501273532538882,2022-06-14 00:10:25+00:00,865319887559962629,[<ReferencedTweet id=1536500828235767810 type=retweeted]
1536501277001191424,2022-06-14 00:10:25+00:00,1059220939542532096,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501280503476227,2022-06-14 00:10:26+00:00,2949928061,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501282365751296,2022-06-14 00:10:27+00:00,1396883647337320450,[<ReferencedTweet id=1536500828235767810 type=retweeted]
1536501283040927744,2022-06-14 00:10:27+00:00,3421398941,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501330235346944,2022-06-14 00:10:38+00:00,1205268290643382275,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501335134195713,2022-06-14 00:10:39+00:00,1511470340517605383,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501405778845697,2022-06-14 00:10:56+00:00,1510814546730135558,[<ReferencedTweet id=1536495277569368064 type=retweeted]
1536501462448185344,2022-06-14 00:11:10+00:00,1453721400884154382,[<ReferencedTweet id=1536500828235767810 type=retweeted]
1536501505846648834,2022-06-14 00:11:20+00:00,3506389456,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501550536871936,2022-06-14 00:11:31+00:00,1416447141422280709,[<ReferencedTweet id=1536500828235767810 type=retweeted]
1536501551245807624,2022-06-14 00:11:31+00:00,278702848,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501598649823232,2022-06-14 00:11:42+00:00,952688365,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501604819542017,2022-06-14 00:11:44+00:00,1228998528304898049,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501615611596800,2022-06-14 00:11:46+00:00,1421599073606545419,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501650550054912,2022-06-14 00:11:54+00:00,56782561,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501666530435072,2022-06-14 00:11:58+00:00,3506389456,[<ReferencedTweet id=1536500828235767810 type=retweeted]
1536501687476707329,2022-06-14 00:12:03+00:00,959935463418204160,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501715142418432,2022-06-14 00:12:10+00:00,1390332672937975816,
1536501740731867136,2022-06-14 00:12:16+00:00,916447905573163013,[<ReferencedTweet id=1536500828235767810 type=retweeted]
1536501762873602050,2022-06-14 00:12:21+00:00,3377957452,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501789012512770,2022-06-14 00:12:27+00:00,3377957452,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501815000322048,2022-06-14 00:12:34+00:00,1081922192319877122,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501836118642689,2022-06-14 00:12:39+00:00,1510814546730135558,[<ReferencedTweet id=1536500828235767810 type=retweeted]
1536501840786993153,2022-06-14 00:12:40+00:00,1486018214014423054,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536501863230722049,2022-06-14 00:12:45+00:00,1486018214014423054,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501870964916225,2022-06-14 00:12:47+00:00,1198722600840712193,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501928636694528,2022-06-14 00:13:01+00:00,419683134,[<ReferencedTweet id=1536500828235767810 type=retweeted]
1536501938413527041,2022-06-14 00:13:03+00:00,1082837227552624641,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536501938564517888,2022-06-14 00:13:03+00:00,916708277236457472,[<ReferencedTweet id=1536495277569368064 type=retweeted]
1536501953152393216,2022-06-14 00:13:07+00:00,2941839711,[<ReferencedTweet id=1536496909354926084 type=retweeted]
1536502035704696834,2022-06-14 00:13:26+00:00,1188199645140393984,[<ReferencedTweet id=1536355767338532865 type=retweeted]
1536502035872374784,2022-06-14 00:13:26+00:00,2941839711,[<ReferencedTweet id=1536495741073489921 type=retweeted]
1536502081196105731,2022-06-14 00:13:37+00:00,4846249769,[<ReferencedTweet id=1536496909354926084 type=retweeted]
