conversation_id,Created_at_convert,author_id,referenced_tweets
1536824754010734594,2022-06-23 13:26:48-03:00,1263906422108151814,[<ReferencedTweet id=1536824754010734594 type=replied_to]
1539194174427176961,2022-06-21 21:24:38-03:00,326956870,[<ReferencedTweet id=1539194174427176961 type=replied_to]
1539222647556513792,2022-06-21 21:55:05-03:00,1539290911175323652,[<ReferencedTweet id=1539222647556513792 type=replied_to]
1539232527407366145,2022-06-22 14:40:43-03:00,192422427,[<ReferencedTweet id=1539232527407366145 type=replied_to]
1539244242853298179,2022-06-22 13:21:01-03:00,1380751170,[<ReferencedTweet id=1539244242853298179 type=replied_to]
1539247456956952578,2022-06-22 10:48:58-03:00,312681939,[<ReferencedTweet id=1539247456956952578 type=replied_to]
1539264827897565188,2022-06-21 23:40:44-03:00,386888426,[<ReferencedTweet id=1539355913471115265 type=replied_to]
1539298921553469442,2022-06-22 11:56:00-03:00,1519654056842649600,[<ReferencedTweet id=1539298921553469442 type=replied_to]
1539319883799748609,2022-06-22 12:08:01-03:00,1520745291938516992,[<ReferencedTweet id=1539319883799748609 type=replied_to]
1539324359663407105,2022-06-21 22:02:00-03:00,1245339815043792897,[<ReferencedTweet id=1539324359663407105 type=replied_to]
1539365749898321920,2022-06-21 23:47:32-03:00,64881139,[<ReferencedTweet id=1539365749898321920 type=replied_to]
1539381009795391488,2022-06-22 19:23:08-03:00,1254492183727607808,[<ReferencedTweet id=1539482091062276097 type=replied_to]
1539397786705313792,2022-06-21 21:00:07-03:00,53782239,[<ReferencedTweet id=1539255708675457024 type=retweeted]
1539397975746781184,2022-06-21 21:00:52-03:00,1177254141460176901,[<ReferencedTweet id=1539306541513318400 type=retweeted]
1539398204327960577,2022-06-21 21:01:47-03:00,1131305781670961154,
1539398229929996288,2022-06-21 21:01:53-03:00,247798493,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539398710785892354,2022-06-21 21:03:47-03:00,1011683701892222977,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539399145819086850,2022-06-21 21:05:31-03:00,1083391237850361856,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539399190564032513,2022-06-21 21:05:42-03:00,18020877,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539399378309419010,2022-06-21 21:20:49-03:00,814703206366400512,[<ReferencedTweet id=1539399378309419010 type=replied_to]
1539399450245857283,2022-06-21 21:06:44-03:00,2445977294,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539399930887938050,2022-06-21 21:08:38-03:00,1430503204459094021,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539400196773367809,2022-06-21 21:09:42-03:00,1131305781670961154,
1539400386297090048,2022-06-21 21:10:27-03:00,17021512,[<ReferencedTweet id=1539368510190764033 type=retweeted]
1539400853500600321,2022-06-21 21:12:18-03:00,61332283,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539400922874679297,2022-06-21 21:12:35-03:00,1476984137265336320,[<ReferencedTweet id=1539255708675457024 type=retweeted]
1539401141636812800,2022-06-21 21:13:27-03:00,403709147,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539401314593120258,2022-06-21 21:14:08-03:00,2351562463,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539401430779428867,2022-06-21 21:14:36-03:00,66983183,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539401443832217603,2022-06-21 21:14:39-03:00,1428377648267501578,[<ReferencedTweet id=1539255708675457024 type=retweeted]
1539401489906540544,2022-06-21 21:14:50-03:00,1551051134,[<ReferencedTweet id=1539245341463175170 type=retweeted]
1539401803107803136,2022-06-21 21:16:05-03:00,1358349685338079232,[<ReferencedTweet id=1539368510190764033 type=retweeted]
1539402137876283397,2022-06-21 21:17:25-03:00,818356860,[<ReferencedTweet id=1539255708675457024 type=retweeted]
1539402288938336256,2022-06-21 21:18:01-03:00,1353727138701172737,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539402718787289088,2022-06-21 21:19:43-03:00,1444883449,[<ReferencedTweet id=1539368510190764033 type=retweeted]
1539402726626435072,2022-06-21 21:19:45-03:00,1267525209004871685,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539403034094092290,2022-06-21 21:20:58-03:00,1476984137265336320,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539403668805517318,2022-06-21 21:23:30-03:00,1077563094656839680,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539404232217985029,2022-06-21 21:25:44-03:00,2565966451,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539404783097942017,2022-06-21 21:27:55-03:00,1467647936230211590,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539404794846224384,2022-06-21 21:27:58-03:00,1479248137965420550,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539404946902331392,2022-06-21 21:28:34-03:00,1077015936543150080,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539405088329957377,2022-06-21 21:29:08-03:00,1491850674820239362,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539405841933156354,2022-06-21 21:32:08-03:00,1518944323609534468,[<ReferencedTweet id=1538932590270455810 type=quoted]
1539406238680858627,2022-06-21 21:33:42-03:00,1265982796843167748,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539406586397052929,2022-06-21 21:35:05-03:00,1106595531059539970,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539406610749083651,2022-06-21 21:35:11-03:00,722379735364448257,[<ReferencedTweet id=1539368510190764033 type=retweeted]
1539407279996698624,2022-06-21 21:37:51-03:00,3990138682,[<ReferencedTweet id=1539245341463175170 type=retweeted]
1539407326242820096,2022-06-21 21:38:02-03:00,1056284289648730118,[<ReferencedTweet id=1539255708675457024 type=retweeted]
1539407398263214080,2022-06-21 21:38:19-03:00,2696090817,
1539407429888364550,2022-06-21 21:38:26-03:00,1254412430114983936,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539408351066472448,2022-06-21 21:42:06-03:00,1112896906169024512,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539408569375801344,2022-06-21 21:42:58-03:00,152473645,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539409051083329537,2022-06-21 21:44:53-03:00,1249179142748282881,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539410565180923905,2022-06-21 21:50:54-03:00,1395494479969366032,[<ReferencedTweet id=1539368510190764033 type=retweeted]
1539410728314093569,2022-06-21 21:51:33-03:00,1119343892946669568,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539411184956456961,2022-06-21 21:53:22-03:00,1251240487094272000,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539412004670160896,2022-06-21 21:56:37-03:00,1298684422083031047,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539412217661165568,2022-06-22 08:35:21-03:00,1519654056842649600,[<ReferencedTweet id=1539412217661165568 type=replied_to]
1539412235398823936,2022-06-21 21:57:32-03:00,1432198833421918209,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539412250452164609,2022-06-21 21:57:36-03:00,1537746012319752195,[<ReferencedTweet id=1539255708675457024 type=retweeted]
1539412984149196802,2022-06-21 22:00:30-03:00,1177254141460176901,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539413700716666880,2022-06-21 22:03:21-03:00,1427741905,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539413823374901249,2022-06-21 22:03:51-03:00,1519106438882369537,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539413971551363074,2022-06-21 22:04:26-03:00,57321127,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539414050785968129,2022-06-21 22:04:45-03:00,63268590,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539414726685429761,2022-06-21 22:07:26-03:00,791597576403451904,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539414918369271808,2022-06-21 22:08:12-03:00,2455765067,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539414983175557122,2022-06-21 22:08:27-03:00,1519322318585094145,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539415384545165313,2022-06-21 22:10:03-03:00,1519820137980907523,
1539415727815512065,2022-06-21 22:11:25-03:00,1528568251520794624,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539415797717684224,2022-06-21 22:11:41-03:00,50073439,[<ReferencedTweet id=1539235924881682433 type=retweeted]
1539415844329082881,2022-06-21 22:11:52-03:00,1143514237588901888,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539416069936492544,2022-06-21 22:12:46-03:00,1508089191598641168,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539416492923576322,2022-06-21 22:14:27-03:00,982616748062109696,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539416959141429250,2022-06-21 22:16:18-03:00,3044165194,[<ReferencedTweet id=1539222647556513792 type=retweeted]
1539417093032054784,2022-06-21 22:16:50-03:00,1253705929192869888,[<ReferencedTweet id=1539255708675457024 type=retweeted]
