conversation_id,Created_at_convert,author_id,referenced_tweets
1152568133024198656,2022-06-14 16:50:16-03:00,1304551495396884484,[<ReferencedTweet id=1152568133024198656 type=replied_to]
1248085586516328448,2022-06-14 19:18:36-03:00,1103505765854269440,[<ReferencedTweet id=1248085586516328448 type=replied_to]
1491155725175115776,2022-06-12 20:40:17-03:00,1533194698055159808,[<ReferencedTweet id=1491155725175115776 type=replied_to]
1512455137616404486,2022-06-14 19:42:18-03:00,118107217,[<ReferencedTweet id=1512455137616404486 type=replied_to]
1518422501440770052,2022-06-13 14:00:55-03:00,266570754,[<ReferencedTweet id=1518585037679210496 type=replied_to]
1522416690537054209,2022-06-12 23:42:34-03:00,1452708085156487173,[<ReferencedTweet id=1522416690537054209 type=replied_to]
1525186968077877249,2022-06-12 19:39:20-03:00,1321632991618191360,[<ReferencedTweet id=1525186968077877249 type=replied_to]
1529171048360452096,2022-06-14 16:31:32-03:00,861494460,[<ReferencedTweet id=1529171048360452096 type=replied_to]
1531632805154893824,2022-06-13 11:59:25-03:00,1261476721611673602,[<ReferencedTweet id=1531632805154893824 type=replied_to]
1533389567402946561,2022-06-14 14:46:38-03:00,940965559511941122,[<ReferencedTweet id=1533389567402946561 type=replied_to]
1533886426126897156,2022-06-12 22:45:51-03:00,36816764,[<ReferencedTweet id=1533886426126897156 type=replied_to]
1533941358171410433,2022-06-13 07:17:18-03:00,1664108414,[<ReferencedTweet id=1533941358171410433 type=replied_to]
1534020303071891457,2022-06-14 13:08:37-03:00,55897549,[<ReferencedTweet id=1534020303071891457 type=replied_to]
1534580163446382593,2022-06-12 20:37:29-03:00,1442463031905030146,[<ReferencedTweet id=1534580163446382593 type=replied_to]
1534778079217868800,2022-06-12 19:20:35-03:00,174365894,[<ReferencedTweet id=1534800850039840768 type=replied_to]
1534821845349842944,2022-06-12 19:18:46-03:00,174365894,[<ReferencedTweet id=1534970801614639115 type=replied_to]
1534837995714510850,2022-06-12 19:19:26-03:00,174365894,[<ReferencedTweet id=1534855829756723200 type=replied_to]
1534838499060359169,2022-06-12 19:19:17-03:00,174365894,[<ReferencedTweet id=1534908631551975433 type=replied_to]
1534932813602074624,2022-06-12 19:18:56-03:00,174365894,[<ReferencedTweet id=1534932813602074624 type=replied_to]
1534994981785681941,2022-06-12 19:17:56-03:00,174365894,[<ReferencedTweet id=1535403659827240961 type=replied_to]
1535048487393452032,2022-06-12 19:08:44-03:00,3174246520,[<ReferencedTweet id=1535048487393452032 type=replied_to]
