conversation_id,Created_at_convert,author_id,referenced_tweets
860674506163191809,2022-06-10 01:08:10-03:00,1520129329652449283,[<ReferencedTweet id=860674506163191809 type=replied_to]
1504447376974663687,2022-06-10 12:41:30-03:00,69327465,[<ReferencedTweet id=1504447376974663687 type=replied_to]
1531343722977411076,2022-06-10 12:14:49-03:00,1240637993590951936,[<ReferencedTweet id=1531343722977411076 type=replied_to]
1533862598550114305,2022-06-09 00:05:14-03:00,1291112771208323074,[<ReferencedTweet id=1533862598550114305 type=replied_to]
1534610871145594883,2022-06-10 01:32:52-03:00,1437525679994769416,[<ReferencedTweet id=1534611061063700480 type=replied_to]
1534653184391712768,2022-06-10 05:57:51-03:00,1164249864936534018,[<ReferencedTweet id=1534653184391712768 type=replied_to]
1534654504993402880,2022-06-10 06:22:27-03:00,1426616421434413063,[<ReferencedTweet id=1534654504993402880 type=replied_to]
1534870877216690176,2022-06-10 07:36:40-03:00,768904664855162884,[<ReferencedTweet id=1534870877216690176 type=replied_to]
1534881851101388800,2022-06-10 06:29:29-03:00,3659951842,[<ReferencedTweet id=1534881851101388800 type=replied_to]
1534895530295296001,2022-06-10 13:55:21-03:00,1464610138032164874,[<ReferencedTweet id=1534895530295296001 type=replied_to]
1534896734236819456,2022-06-10 10:22:18-03:00,61521847,[<ReferencedTweet id=1534896734236819456 type=replied_to]
1534960619035807745,2022-06-10 06:16:45-03:00,1426616421434413063,[<ReferencedTweet id=1534960619035807745 type=replied_to]
1534970276668133389,2022-06-10 08:32:52-03:00,308483841,[<ReferencedTweet id=1535057293485940737 type=replied_to]
1534977508176797696,2022-06-10 09:12:26-03:00,66858920,[<ReferencedTweet id=1534977508176797696 type=replied_to]
1534988089793429534,2022-06-10 13:44:42-03:00,373121194,[<ReferencedTweet id=1534988089793429534 type=replied_to]
1534992475097645083,2022-06-09 22:30:11-03:00,1189993645484707840,[<ReferencedTweet id=1534993494544203785 type=replied_to]
1534993831581696003,2022-06-10 10:21:38-03:00,61521847,[<ReferencedTweet id=1534993831581696003 type=replied_to]
1534996459908653085,2022-06-09 22:16:48-03:00,1053095642334195712,[<ReferencedTweet id=1534996459908653085 type=replied_to]
1535003454665547778,2022-06-10 15:04:59-03:00,1518921269936275457,[<ReferencedTweet id=1535003454665547778 type=replied_to]
1535008026595319832,2022-06-10 11:47:05-03:00,94713285,[<ReferencedTweet id=1535008864151691266 type=replied_to]
1535010458939318277,2022-06-10 09:26:35-03:00,48130772,[<ReferencedTweet id=1535010458939318277 type=replied_to]
1535018327017508870,2022-06-10 10:46:46-03:00,23972193,[<ReferencedTweet id=1535018327017508870 type=replied_to]
1535021786093572096,2022-06-10 09:11:57-03:00,48130772,[<ReferencedTweet id=1535021786093572096 type=replied_to]
1535023680069066752,2022-06-10 11:42:53-03:00,43216277,[<ReferencedTweet id=1535023680069066752 type=replied_to]
1535027558533763073,2022-06-10 14:58:07-03:00,251863355,[<ReferencedTweet id=1535027558533763073 type=replied_to]
1535038884517642251,2022-06-09 22:43:26-03:00,2951947727,[<ReferencedTweet id=1535038884517642251 type=replied_to]
