conversation_id,Created_at_convert,author_id,referenced_tweets
1353422375220629506,2022-06-22 09:05:56-03:00,970094747212709888,[<ReferencedTweet id=1353422375220629506 type=replied_to]
1419577807739424768,2022-06-22 09:34:42-03:00,1410484326341427201,[<ReferencedTweet id=1539586293730000896 type=replied_to]
1481402907195023362,2022-06-22 09:39:38-03:00,1120336025002360832,[<ReferencedTweet id=1481402907195023362 type=replied_to]
1506437089637937152,2022-06-22 10:25:20-03:00,1502359043758821376,[<ReferencedTweet id=1506440718289715208 type=replied_to]
1506651398154461192,2022-06-22 10:20:48-03:00,14594813,"[<ReferencedTweet id=1539569776598687744 type=quoted, <ReferencedTweet id=1506657482688679942 type=replied_to]"
1508604229518528512,2022-06-22 09:37:56-03:00,1413312600981610496,[<ReferencedTweet id=1508604229518528512 type=replied_to]
1517105422943113216,2022-06-22 10:12:45-03:00,1265300453237100544,[<ReferencedTweet id=1517105422943113216 type=replied_to]
1525235437488553986,2022-06-22 09:48:12-03:00,24369190,[<ReferencedTweet id=1525542637905891332 type=replied_to]
1531107040470376450,2022-06-22 09:34:55-03:00,1471212777666662413,[<ReferencedTweet id=1531107040470376450 type=replied_to]
1535110586169757706,2022-06-22 09:16:30-03:00,33935864,[<ReferencedTweet id=1535110586169757706 type=replied_to]
1536378051377844224,2022-06-22 09:22:18-03:00,1518181915131625472,[<ReferencedTweet id=1536378051377844224 type=replied_to]
1536879468844830723,2022-06-22 09:39:24-03:00,1346990927592763392,[<ReferencedTweet id=1539586816197771266 type=replied_to]
1537426489397989376,2022-06-22 09:30:43-03:00,331339945,[<ReferencedTweet id=1539553253867798535 type=replied_to]
1537872708234399744,2022-06-22 09:41:00-03:00,448337190,[<ReferencedTweet id=1537872708234399744 type=replied_to]
1537879879709995010,2022-06-22 09:08:58-03:00,714300353777369088,[<ReferencedTweet id=1537879879709995010 type=replied_to]
1537881852542734336,2022-06-22 10:20:39-03:00,1147307814597083136,[<ReferencedTweet id=1538930122580975618 type=replied_to]
1537942940009476097,2022-06-22 08:34:38-03:00,855763155007528961,[<ReferencedTweet id=1539536575427747840 type=replied_to]
1538182777618812928,2022-06-22 09:52:10-03:00,79028409,[<ReferencedTweet id=1538182777618812928 type=replied_to]
1538197993823805443,2022-06-22 10:00:11-03:00,134618093,[<ReferencedTweet id=1538197993823805443 type=replied_to]
1538204441698086916,2022-06-22 10:08:46-03:00,878992362760003584,[<ReferencedTweet id=1538204441698086916 type=replied_to]
1538242649303486470,2022-06-22 09:12:43-03:00,59134163,[<ReferencedTweet id=1538242649303486470 type=replied_to]
1538311973695365125,2022-06-22 07:05:08-03:00,1396114723209457664,[<ReferencedTweet id=1538311973695365125 type=replied_to]
1538314949788844033,2022-06-22 10:19:34-03:00,1252062653532590081,[<ReferencedTweet id=1538314949788844033 type=replied_to]
1538570666663886852,2022-06-22 09:24:58-03:00,832528014588203008,[<ReferencedTweet id=1538570666663886852 type=replied_to]
1538589412577124357,2022-06-22 09:27:33-03:00,1270298251,[<ReferencedTweet id=1538842126628298752 type=replied_to]
1538660630676361218,2022-06-22 09:47:03-03:00,1102684404,[<ReferencedTweet id=1538660630676361218 type=replied_to]
1538673224568930304,2022-06-22 09:40:08-03:00,448337190,[<ReferencedTweet id=1538673224568930304 type=replied_to]
1538675833052725249,2022-06-22 09:39:18-03:00,45449537,[<ReferencedTweet id=1539421269099167744 type=replied_to]
1538680189336621059,2022-06-22 10:22:51-03:00,1013828065582112768,[<ReferencedTweet id=1538680189336621059 type=replied_to]
1538685371969683457,2022-06-22 09:56:36-03:00,1264658249338564609,[<ReferencedTweet id=1538685371969683457 type=replied_to]
1538700000615612417,2022-06-22 10:07:43-03:00,1194362286749683712,[<ReferencedTweet id=1539595621962858497 type=replied_to]
1538816967993397249,2022-06-22 09:24:27-03:00,832528014588203008,[<ReferencedTweet id=1538816967993397249 type=replied_to]
1538834196604534787,2022-06-22 09:00:11-03:00,163655648,[<ReferencedTweet id=1539322573212864512 type=replied_to]
1538839077692264449,2022-06-22 10:26:23-03:00,1536838437499768832,[<ReferencedTweet id=1539264208004587520 type=replied_to]
1538839109061513219,2022-06-22 10:24:16-03:00,925140426725756928,[<ReferencedTweet id=1539246622839869441 type=replied_to]
1538897438710415362,2022-06-22 10:18:03-03:00,1363563348818862083,[<ReferencedTweet id=1538897438710415362 type=replied_to]
