conversation_id,Created_at_convert,author_id,referenced_tweets
1151772775482318848,2022-06-21 07:41:49-03:00,1128186330616401922,[<ReferencedTweet id=1151772775482318848 type=replied_to]
1477752042537971717,2022-06-20 21:22:27-03:00,2577823776,[<ReferencedTweet id=1536147060470075392 type=replied_to]
1518629414409539584,2022-06-20 21:58:07-03:00,1445160084502425600,[<ReferencedTweet id=1518939479876280320 type=replied_to]
1530697284412907522,2022-06-21 00:16:16-03:00,1519372974524182529,[<ReferencedTweet id=1530697284412907522 type=replied_to]
1533946584018345986,2022-06-21 09:04:36-03:00,1527760778761216001,[<ReferencedTweet id=1538697867816316929 type=replied_to]
1535014970672439296,2022-06-20 23:49:47-03:00,3424548969,[<ReferencedTweet id=1537477633486770179 type=replied_to]
1535773202902810629,2022-06-21 05:29:58-03:00,91467639,[<ReferencedTweet id=1535773202902810629 type=replied_to]
1535789402714251265,2022-06-21 08:57:18-03:00,1445729487497441280,[<ReferencedTweet id=1539146611535781890 type=replied_to]
1535810543424004096,2022-06-21 08:57:24-03:00,1445729487497441280,[<ReferencedTweet id=1539146145124995073 type=replied_to]
1536119935545614339,2022-06-21 08:35:29-03:00,1519993454016741376,[<ReferencedTweet id=1536121396148981761 type=replied_to]
1536132542776344576,2022-06-21 09:13:07-03:00,788400306400927744,[<ReferencedTweet id=1536132542776344576 type=replied_to]
1536422000759021573,2022-06-21 08:53:53-03:00,1535391281970651136,[<ReferencedTweet id=1536422000759021573 type=replied_to]
1536475563417915399,2022-06-21 04:36:43-03:00,69293487,[<ReferencedTweet id=1536577306512306176 type=replied_to]
1536619456700596224,2022-06-21 06:45:26-03:00,1453169405198848000,[<ReferencedTweet id=1536619456700596224 type=replied_to]
1536733345387782145,2022-06-21 08:52:15-03:00,1512215880842760198,[<ReferencedTweet id=1536740884284325888 type=replied_to]
1537090109203529728,2022-06-21 07:56:47-03:00,1188841673608122368,[<ReferencedTweet id=1537099310189490176 type=replied_to]
1537102296282288130,2022-06-21 06:41:43-03:00,441793796,[<ReferencedTweet id=1537103552098746368 type=replied_to]
1537117677797396480,2022-06-21 09:07:21-03:00,188447747,[<ReferencedTweet id=1537117677797396480 type=replied_to]
1537473266356559875,2022-06-21 08:14:14-03:00,1251120792026349568,[<ReferencedTweet id=1537473266356559875 type=replied_to]
1537937864192708615,2022-06-21 08:56:22-03:00,1428124302457573384,[<ReferencedTweet id=1537937864192708615 type=replied_to]
1538249967629910017,2022-06-21 06:41:33-03:00,1453169405198848000,[<ReferencedTweet id=1538249967629910017 type=replied_to]
1538266318000082944,2022-06-21 08:08:03-03:00,94091182,[<ReferencedTweet id=1538980875123163136 type=replied_to]
1538281485299507201,2022-06-21 08:18:35-03:00,62160789,[<ReferencedTweet id=1538675133686095873 type=replied_to]
1538545270878744576,2022-06-20 23:29:36-03:00,1453169405198848000,[<ReferencedTweet id=1538545270878744576 type=replied_to]
1538566298686443521,2022-06-21 06:57:58-03:00,1457415610778927110,[<ReferencedTweet id=1538566298686443521 type=replied_to]
1538641747135414272,2022-06-20 23:41:01-03:00,18156354,[<ReferencedTweet id=1539047838256189445 type=replied_to]
1538643927582007297,2022-06-20 21:37:06-03:00,38864946,[<ReferencedTweet id=1538995332616421387 type=replied_to]
1538646537785548810,2022-06-20 23:11:03-03:00,1226930791894130689,[<ReferencedTweet id=1538646537785548810 type=replied_to]
1538673987122778112,2022-06-21 00:50:38-03:00,2916875686,[<ReferencedTweet id=1538673987122778112 type=replied_to]
1538700277255131137,2022-06-21 07:06:13-03:00,1463335207,[<ReferencedTweet id=1538700277255131137 type=replied_to]
1538724139908968456,2022-06-21 01:59:53-03:00,1214356346059055104,[<ReferencedTweet id=1538724139908968456 type=replied_to]
1538740349279080448,2022-06-21 04:43:43-03:00,1247231596433997824,[<ReferencedTweet id=1538740349279080448 type=replied_to]
1538819685705195521,2022-06-21 07:43:42-03:00,1534702608505573378,[<ReferencedTweet id=1539128770187210753 type=replied_to]
1538846327391518722,2022-06-21 06:49:31-03:00,768715194,[<ReferencedTweet id=1538846327391518722 type=replied_to]
1538879114513350656,2022-06-21 03:45:49-03:00,1460061044219461633,[<ReferencedTweet id=1538879114513350656 type=replied_to]
1538883029870985216,2022-06-21 07:03:07-03:00,790368188,[<ReferencedTweet id=1539183790832205824 type=replied_to]
1538886816174063618,2022-06-21 01:05:29-03:00,1489508890609864704,[<ReferencedTweet id=1538886816174063618 type=replied_to]
1538899605072617475,2022-06-21 06:46:15-03:00,1453169405198848000,[<ReferencedTweet id=1538899605072617475 type=replied_to]
