conversation_id,Created_at_convert,author_id,referenced_tweets
1126514751561854981,2022-06-06 23:07:25,2186853143,[<ReferencedTweet id=1126531819841699841 type=replied_to]
1445735883513106446,2022-06-04 22:04:03,108799027,[<ReferencedTweet id=1456245527322955779 type=replied_to]
1477235143110803461,2022-06-06 23:21:28,1118629993070891008,"[<ReferencedTweet id=1533946584018345986 type=quoted, <ReferencedTweet id=1533903031443636225 type=replied_to]"
1486110840424120326,2022-06-06 21:05:40,1069481906,[<ReferencedTweet id=1506832007300808711 type=replied_to]
1491083716508418048,2022-06-06 16:50:23,1083390315195756544,[<ReferencedTweet id=1491110337021550592 type=replied_to]
1493565108571807744,2022-06-06 10:01:23,1458491955827118093,[<ReferencedTweet id=1533688470723604480 type=replied_to]
1494626453048205314,2022-06-04 14:42:35,1267668803560800257,[<ReferencedTweet id=1494626453048205314 type=replied_to]
1494646396863057940,2022-06-06 10:17:22,1458491955827118093,[<ReferencedTweet id=1533593158864539648 type=replied_to]
1494830349834145795,2022-06-03 22:58:29,767433075273920516,[<ReferencedTweet id=1494830349834145795 type=replied_to]
1508594675841744905,2022-06-03 14:53:28,4809166107,[<ReferencedTweet id=1508594675841744905 type=replied_to]
1509888851640303625,2022-06-06 22:51:41,1661648348,"[<ReferencedTweet id=1533905833272266754 type=quoted, <ReferencedTweet id=1509888851640303625 type=replied_to]"
1517282978912690177,2022-06-05 12:41:52,55443027,[<ReferencedTweet id=1517282978912690177 type=replied_to]
1517552272389115904,2022-06-06 00:39:53,1257516254623137792,[<ReferencedTweet id=1517552272389115904 type=replied_to]
1518718756729540610,2022-06-03 04:35:39,1347924791974653958,[<ReferencedTweet id=1519053207468744704 type=replied_to]
1519507996103131143,2022-06-04 15:15:11,1466624747396030468,[<ReferencedTweet id=1529454391115268096 type=replied_to]
1520613988169486339,2022-06-05 03:34:55,1387740836784394241,[<ReferencedTweet id=1520616849683226624 type=replied_to]
1521854511844896768,2022-06-04 03:24:50,1482488312241827842,[<ReferencedTweet id=1521975630337822722 type=replied_to]
1521878112551813120,2022-06-03 16:26:35,1517300885386416128,[<ReferencedTweet id=1532760376852590592 type=replied_to]
1522170164262932481,2022-06-03 08:16:32,951526834600075265,"[<ReferencedTweet id=1532255733387083782 type=quoted, <ReferencedTweet id=1522170637036539909 type=replied_to]"
1522353985746878464,2022-06-06 00:46:45,752343364104818689,[<ReferencedTweet id=1522353985746878464 type=replied_to]
1522946148688076801,2022-06-03 15:54:46,1096198689306169344,[<ReferencedTweet id=1522946148688076801 type=replied_to]
1523354199555076096,2022-06-03 05:12:12,227111287,[<ReferencedTweet id=1523354199555076096 type=replied_to]
1526567896482304000,2022-06-06 19:25:41,1310370437726117889,[<ReferencedTweet id=1526567896482304000 type=replied_to]
1527159902170451968,2022-06-04 22:45:07,1113843364380782593,[<ReferencedTweet id=1527159902170451968 type=replied_to]
1527641971120037888,2022-06-04 17:09:13,1054197338993033217,[<ReferencedTweet id=1532034060767338497 type=replied_to]
1529534767317786625,2022-06-04 19:48:36,1455635755,[<ReferencedTweet id=1529539302769795076 type=replied_to]
1529904447173840917,2022-06-05 01:34:27,1470337517341880324,[<ReferencedTweet id=1529904447173840917 type=replied_to]
1530284697762381830,2022-06-03 04:28:39,1485634520896446469,[<ReferencedTweet id=1530285801489170432 type=replied_to]
1530308260229746693,2022-06-06 23:18:22,1360641952790765572,[<ReferencedTweet id=1530308260229746693 type=replied_to]
1530309123698577411,2022-06-06 22:35:48,1518248971776532480,[<ReferencedTweet id=1530309123698577411 type=replied_to]
1530697284412907522,2022-06-05 14:19:48,832594925946535938,[<ReferencedTweet id=1530697284412907522 type=replied_to]
1530840163080884224,2022-06-04 04:38:45,1026842755321024513,[<ReferencedTweet id=1530840163080884224 type=replied_to]
1531015544203317254,2022-06-05 20:06:50,323607844,[<ReferencedTweet id=1531015544203317254 type=replied_to]
1531015764211286017,2022-06-06 19:37:21,1213528096852209664,[<ReferencedTweet id=1531015764211286017 type=replied_to]
1531026973707087873,2022-06-03 11:47:41,1329581419,[<ReferencedTweet id=1531032760328011780 type=replied_to]
1531078415838765056,2022-06-06 20:39:09,1498806019517997063,[<ReferencedTweet id=1533897295950925824 type=replied_to]
1531079090467393538,2022-06-05 07:34:02,1492272948761309187,[<ReferencedTweet id=1531102999136899072 type=replied_to]
1531261985152815106,2022-06-05 03:04:06,1347209067287228418,[<ReferencedTweet id=1531261985152815106 type=replied_to]
1531349867121020934,2022-06-06 04:14:14,599551966,[<ReferencedTweet id=1531349867121020934 type=replied_to]
1531541743811821573,2022-06-05 09:46:50,719077346452578304,[<ReferencedTweet id=1533068814312783872 type=replied_to]
1531636212200521729,2022-06-05 02:04:13,1461849991308365833,[<ReferencedTweet id=1531636212200521729 type=replied_to]
1531658095541243904,2022-06-05 03:30:33,1487083163964878850,[<ReferencedTweet id=1531658095541243904 type=replied_to]
1531746735206301701,2022-06-06 21:50:42,1491408070743924736,[<ReferencedTweet id=1531746735206301701 type=replied_to]
1531763863737315331,2022-06-06 23:10:22,1477142820884463617,[<ReferencedTweet id=1531763863737315331 type=replied_to]
1531773708867620864,2022-06-03 05:35:51,1425218479129563145,[<ReferencedTweet id=1532595186727112704 type=replied_to]
1531811203521171457,2022-06-03 13:29:33,2170334304,[<ReferencedTweet id=1532705293607522305 type=replied_to]
1531819468992700418,2022-06-06 23:53:18,79485340,[<ReferencedTweet id=1531819468992700418 type=replied_to]
