conversation_id,Created_at_convert,author_id,referenced_tweets
1520055054639763457,2022-06-06 21:27:02,1393029801963835401,[<ReferencedTweet id=1520055054639763457 type=replied_to]
1529943917537509429,2022-06-06 15:19:18,65457986,[<ReferencedTweet id=1529943917537509429 type=replied_to]
1530933262838800387,2022-06-06 21:28:54,1038940302415982593,[<ReferencedTweet id=1530933262838800387 type=replied_to]
1531660854034325504,2022-06-06 21:25:20,1038940302415982593,[<ReferencedTweet id=1531660854034325504 type=replied_to]
1531785733035401216,2022-06-06 21:28:07,1038940302415982593,[<ReferencedTweet id=1531785733035401216 type=replied_to]
1531833001667182593,2022-06-06 21:29:27,291109145,[<ReferencedTweet id=1531833001667182593 type=replied_to]
1532347239984730112,2022-06-06 21:44:01,40276078,[<ReferencedTweet id=1532347239984730112 type=replied_to]
1533030187495043073,2022-06-06 01:16:43,1431038042698129412,[<ReferencedTweet id=1533030187495043073 type=replied_to]
1533049740950220800,2022-06-06 12:03:24,2563624459,[<ReferencedTweet id=1533049740950220800 type=replied_to]
1533137399789895681,2022-06-06 15:53:16,1250955079315841027,[<ReferencedTweet id=1533137399789895681 type=replied_to]
1533139212450598912,2022-06-06 21:57:06,1042617359507312640,[<ReferencedTweet id=1533139212450598912 type=replied_to]
1533191863351517189,2022-06-06 21:23:16,249002632,[<ReferencedTweet id=1533191863351517189 type=replied_to]
1533207353444687875,2022-06-06 17:33:58,1396280460217569280,[<ReferencedTweet id=1533207353444687875 type=replied_to]
1533254262293143552,2022-06-06 21:51:28,1470553962201980928,[<ReferencedTweet id=1533844208485912578 type=replied_to]
1533321435933990914,2022-06-06 00:27:46,1338056417786343424,[<ReferencedTweet id=1533321435933990914 type=replied_to]
1533431512510746624,2022-06-06 21:09:39,3420279099,[<ReferencedTweet id=1533851708878626816 type=replied_to]
1533440142496649217,2022-06-06 21:10:50,91164557,[<ReferencedTweet id=1533440142496649217 type=replied_to]
1533464661428936704,2022-06-06 22:07:01,61082928,[<ReferencedTweet id=1533464661428936704 type=replied_to]
1533469675597836292,2022-06-06 22:08:16,330168759,[<ReferencedTweet id=1533933508875505674 type=replied_to]
1533529626479321088,2022-06-06 18:34:29,1577795838,[<ReferencedTweet id=1533878551996407809 type=replied_to]
1533536241710518272,2022-06-06 21:35:50,117487249,[<ReferencedTweet id=1533536241710518272 type=replied_to]
1533542654620876800,2022-06-06 13:45:03,1338056417786343424,[<ReferencedTweet id=1533774498759163906 type=replied_to]
1533555099846553600,2022-06-06 20:50:14,493322265,[<ReferencedTweet id=1533655422703476737 type=replied_to]
1533560934974869514,2022-06-06 02:16:52,86775855,[<ReferencedTweet id=1533560934974869514 type=replied_to]
1533561852063584257,2022-06-06 21:58:20,1496845463454162945,[<ReferencedTweet id=1533561852063584257 type=replied_to]
1533562228456177665,2022-06-06 21:26:31,250359930,[<ReferencedTweet id=1533562228456177665 type=replied_to]
1533562382684913665,2022-06-06 21:34:03,247156882,[<ReferencedTweet id=1533562382684913665 type=replied_to]
1533562420739952642,2022-06-05 21:32:27,1195029217458761730,[<ReferencedTweet id=1533561852063584257 type=quoted]
1533563857385422848,2022-06-05 21:38:10,1338056417786343424,[<ReferencedTweet id=1533561852063584257 type=quoted]
1533564189574299654,2022-06-05 21:39:29,1002316253980254210,[<ReferencedTweet id=1533561852063584257 type=quoted]
1533564596514086919,2022-06-06 18:37:25,1471212777666662413,[<ReferencedTweet id=1533564596514086919 type=replied_to]
1533564625811390464,2022-06-06 22:09:03,1276327836912140288,[<ReferencedTweet id=1533611994695319554 type=replied_to]
1533564752210935808,2022-06-05 21:41:43,1278389273444659205,[<ReferencedTweet id=1533561852063584257 type=quoted]
1533565289052479504,2022-06-05 21:43:51,3351128879,[<ReferencedTweet id=1533564625811390464 type=quoted]
1533565808152027138,2022-06-05 21:45:55,41239973,[<ReferencedTweet id=1533561852063584257 type=quoted]
1533566484466880513,2022-06-06 15:51:42,1250955079315841027,[<ReferencedTweet id=1533566484466880513 type=replied_to]
1533566886390136834,2022-06-05 21:50:12,1367914121962881028,[<ReferencedTweet id=1533561852063584257 type=quoted]
1533567245674237955,2022-06-05 21:51:38,1172451970189279232,[<ReferencedTweet id=1533561852063584257 type=quoted]
1533567340742328324,2022-06-05 21:52:00,1461937822429073408,[<ReferencedTweet id=1533567245674237955 type=retweeted]
1533567732658196484,2022-06-05 21:53:34,1048580936747634689,[<ReferencedTweet id=1533567184772947969 type=retweeted]
1533567849356312579,2022-06-05 21:54:02,1507575380596727810,[<ReferencedTweet id=1533567184772947969 type=retweeted]
1533568008677134336,2022-06-05 21:54:40,1416534767265329157,[<ReferencedTweet id=1533561852063584257 type=quoted]
1533568017145245697,2022-06-05 21:54:42,52920768,[<ReferencedTweet id=1533562228456177665 type=quoted]
1533568278509109251,2022-06-05 21:55:44,931226931068063744,
1533568288952811520,2022-06-05 21:55:47,1240636661534543872,[<ReferencedTweet id=1533567969556676610 type=quoted]
1533568430535737345,2022-06-05 21:56:20,1402368962378317829,[<ReferencedTweet id=1533568278509109251 type=retweeted]
1533568497573367808,2022-06-05 21:56:36,1449179670927351816,
1533568651328102401,2022-06-05 21:57:13,137934094,[<ReferencedTweet id=1533568278509109251 type=retweeted]
1533569458983288835,2022-06-05 22:00:26,1375999345984741385,[<ReferencedTweet id=1533568278509109251 type=retweeted]
1533569475181674496,2022-06-06 21:36:28,1042043021724999680,[<ReferencedTweet id=1533569475181674496 type=replied_to]
1533569504139165698,2022-06-05 22:00:36,1047589052323692553,[<ReferencedTweet id=1533562228456177665 type=quoted]
1533569512506810371,2022-06-05 22:00:38,1027647470933819392,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533569624708730882,2022-06-05 22:01:05,1402368962378317829,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533569747022929923,2022-06-05 22:01:34,1264204287502159872,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533569825993285635,2022-06-05 22:01:53,8888872,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533569833383739393,2022-06-05 22:01:55,1491613726251929602,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533569839402459136,2022-06-05 22:01:56,1412220568649220097,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533569853507919873,2022-06-05 22:02:00,1402368962378317829,[<ReferencedTweet id=1533569504139165698 type=retweeted]
1533569858738200576,2022-06-05 22:02:01,1147974867377172480,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533569981044105219,2022-06-05 22:02:30,1375999345984741385,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533570174254710784,2022-06-05 22:03:16,4203542859,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533570331901820928,2022-06-05 22:03:54,879918681538605056,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533570376508243977,2022-06-05 22:04:04,65457986,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533570661544763396,2022-06-05 22:05:12,1449478731366649858,[<ReferencedTweet id=1533569475181674496 type=retweeted]
1533570844848431110,2022-06-05 22:05:56,1047589052323692553,[<ReferencedTweet id=1533521235317071874 type=quoted]
