conversation_id,Created_at_convert,author_id,referenced_tweets
1539971455600889857,2022-06-27 23:37:38-03:00,55735310,[<ReferencedTweet id=1539971455600889857 type=replied_to]
1541144532422647808,2022-06-28 00:02:11-03:00,1519022866280423425,[<ReferencedTweet id=1541144532422647808 type=replied_to]
1541209901032247297,2022-06-26 21:00:49-03:00,868083003150540801,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541210087452286976,2022-06-26 21:01:33-03:00,2147621653,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541210240955387904,2022-06-26 21:02:10-03:00,1055683111353245697,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541210250006650882,2022-06-26 21:02:12-03:00,162903666,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541210354830696448,2022-06-26 21:02:37-03:00,1219207242848915458,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541210797765951490,2022-06-26 21:04:23-03:00,68286283,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541210971871518720,2022-06-26 21:05:04-03:00,1099832281009717248,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541211332153954308,2022-06-26 21:06:30-03:00,1355492340715163648,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541211399346610178,2022-06-26 21:06:46-03:00,2362606830,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541211467776757767,2022-06-26 21:07:02-03:00,1241518025813229569,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541211547787317249,2022-06-26 21:07:21-03:00,513363318,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541211612375293952,2022-06-26 21:07:37-03:00,1518740623586693123,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541211959504343041,2022-06-26 21:09:00-03:00,1522913602608541696,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541211984682778630,2022-06-26 21:09:06-03:00,2839807197,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541212007734689796,2022-06-26 21:09:11-03:00,1043947398089887746,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541212220230713344,2022-06-26 21:10:02-03:00,1241721852298485760,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541212404155023362,2022-06-26 21:10:46-03:00,1529114401621561344,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541212605431283724,2022-06-26 21:11:34-03:00,1097911007912038400,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541212639279386626,2022-06-26 21:11:42-03:00,1467647936230211590,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541212750726176768,2022-06-26 21:12:08-03:00,274623585,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541212834264121344,2022-06-26 21:12:28-03:00,973641638454157312,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541212905949040640,2022-06-26 21:12:45-03:00,3084907797,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541213132567224320,2022-06-26 21:13:39-03:00,258132637,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541213193518866432,2022-06-26 21:13:54-03:00,12470922,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541213420711706627,2022-06-26 21:14:48-03:00,334378754,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541213517499482113,2022-06-26 21:15:11-03:00,1138849395317903366,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541213638517788672,2022-06-26 21:15:40-03:00,975355831406473216,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541213847591309313,2022-06-26 21:16:30-03:00,104247622,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541213874812338177,2022-06-26 21:16:36-03:00,242984778,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541214179964715010,2022-06-26 21:17:49-03:00,1520373251205218304,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541214431035756544,2022-06-26 21:18:49-03:00,1437731216753582083,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541214687123079170,2022-06-26 21:19:50-03:00,18391714,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541215038933028864,2022-06-26 21:21:14-03:00,1520156800611459072,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541215124211613696,2022-06-26 21:21:34-03:00,310550036,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541215310979780608,2022-06-26 21:22:19-03:00,1131205053849788416,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541215425190658048,2022-06-26 21:22:46-03:00,1220364282220642304,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541215522427125762,2022-06-26 21:23:09-03:00,1367450795898208257,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541215987013484544,2022-06-26 21:25:00-03:00,32385166,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541216422759735302,2022-06-26 21:26:44-03:00,2426938871,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541216633779363842,2022-06-26 21:27:34-03:00,1500265842654822401,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541216702448402432,2022-06-26 21:27:50-03:00,230711824,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541216793251151872,2022-06-26 21:28:12-03:00,1477369466753269760,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541216891141857281,2022-06-26 21:28:35-03:00,1276582349799555075,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541216906719510528,2022-06-26 21:28:39-03:00,33371124,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541217184466313216,2022-06-26 21:29:45-03:00,350366560,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541217565988487168,2022-06-26 21:31:16-03:00,1054843747995975680,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541218090083651585,2022-06-26 21:33:21-03:00,1480223644454473738,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541218320279605248,2022-06-26 21:34:16-03:00,121580514,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541218504002748416,2022-06-26 21:35:00-03:00,61864647,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541218615101460481,2022-06-26 21:35:26-03:00,1058474795942191109,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541218818890108928,2022-06-26 21:36:15-03:00,542073489,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541218861122572292,2022-06-26 21:36:25-03:00,1059930821530972160,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541218876775604226,2022-06-26 21:36:29-03:00,1352689719189123072,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541219464489963521,2022-06-26 21:38:49-03:00,1381290213813727233,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541220288003710976,2022-06-26 21:42:05-03:00,99750380,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541220368802775040,2022-06-26 21:42:25-03:00,310454314,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541220890037338113,2022-06-26 21:44:29-03:00,1333403645145210883,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541221044056383490,2022-06-26 21:45:06-03:00,1080956994125811713,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541221045633486849,2022-06-26 21:45:06-03:00,1042801451637133312,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541221145197813761,2022-06-26 21:45:30-03:00,969623612012548097,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541221245072691200,2022-06-26 21:45:53-03:00,1243597919925735429,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541221596576243714,2022-06-26 21:47:17-03:00,1251221258169192449,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541221737706229766,2022-06-26 21:47:51-03:00,165871718,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541222050928513025,2022-06-26 21:49:06-03:00,283578001,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541222096080179202,2022-06-26 21:49:16-03:00,3234216627,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541222534821167112,2022-06-26 21:51:01-03:00,1027737901466116099,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541222564348968963,2022-06-26 21:51:08-03:00,900406272,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541222588910796803,2022-06-26 21:51:14-03:00,1354822465843695623,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541222753075855361,2022-06-26 21:54:33-03:00,14840606,[<ReferencedTweet id=1541223343482966016 type=replied_to]
1541222780515094529,2022-06-26 21:52:00-03:00,1503741986074935307,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541223177992421378,2022-06-26 21:53:34-03:00,1901615034,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541223392237559810,2022-06-26 21:54:25-03:00,2221602827,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541223410667249666,2022-06-26 21:54:30-03:00,1031972622781833217,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541223538073686016,2022-06-26 21:55:00-03:00,282794029,
1541223600006598658,2022-06-26 21:57:25-03:00,14306125,[<ReferencedTweet id=1541224068128579585 type=replied_to]
1541223913224536069,2022-06-26 21:56:30-03:00,522540403,[<ReferencedTweet id=1541223600006598658 type=retweeted]
1541224134989971457,2022-06-26 21:57:22-03:00,1059884429932462081,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541224396530110464,2022-06-26 21:58:25-03:00,988130224721268739,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541224490797043712,2022-06-26 21:58:47-03:00,1618841198,[<ReferencedTweet id=1541144532422647808 type=retweeted]
1541224905110339585,2022-06-26 22:00:26-03:00,345323950,[<ReferencedTweet id=1541144532422647808 type=retweeted]
