conversation_id,Created_at_convert,author_id,referenced_tweets
1295450372086157313,2022-06-21 10:42:32-03:00,3243713163,[<ReferencedTweet id=1295450372086157313 type=replied_to]
1296190422432337920,2022-06-21 10:49:46-03:00,1349486164084981762,[<ReferencedTweet id=1296190422432337920 type=replied_to]
1440417830806044679,2022-06-21 12:57:32-03:00,1427328068906070030,[<ReferencedTweet id=1440417830806044679 type=replied_to]
1534629269879795712,2022-06-21 06:24:32-03:00,103873707,[<ReferencedTweet id=1534629269879795712 type=replied_to]
1538846813993807872,2022-06-21 12:50:20-03:00,90981993,[<ReferencedTweet id=1538846813993807872 type=replied_to]
1538851585396178946,2022-06-21 12:13:33-03:00,101812260,[<ReferencedTweet id=1538851585396178946 type=replied_to]
1538856514756165632,2022-06-21 11:31:06-03:00,246930074,"[<ReferencedTweet id=1539252338958946311 type=quoted, <ReferencedTweet id=1538856514756165632 type=replied_to]"
1538857714226454530,2022-06-21 01:25:05-03:00,1235069000830373888,[<ReferencedTweet id=1538857714226454530 type=replied_to]
1538858559236104192,2022-06-21 10:23:53-03:00,67002637,[<ReferencedTweet id=1538858559236104192 type=replied_to]
1538870570082762753,2022-06-21 00:02:47-03:00,1235069000830373888,[<ReferencedTweet id=1538870570082762753 type=replied_to]
1538874075161972736,2022-06-21 08:56:51-03:00,84672407,[<ReferencedTweet id=1538874076890005506 type=replied_to]
1538875262183538690,2022-06-21 09:03:24-03:00,84672407,[<ReferencedTweet id=1538875262183538690 type=replied_to]
1538875316738961408,2022-06-21 12:13:48-03:00,101812260,[<ReferencedTweet id=1538875316738961408 type=replied_to]
1538878767015284738,2022-06-20 20:21:26-03:00,721727021517291520,[<ReferencedTweet id=1538878767015284738 type=replied_to]
1538881631783636992,2022-06-21 12:13:03-03:00,101812260,[<ReferencedTweet id=1538881631783636992 type=replied_to]
1538882279686258691,2022-06-20 20:13:55-03:00,721727021517291520,[<ReferencedTweet id=1538882279686258691 type=replied_to]
1538892138469109761,2022-06-21 10:44:13-03:00,1052958342182780928,[<ReferencedTweet id=1538892138469109761 type=replied_to]
1538904340311728129,2022-06-21 12:01:41-03:00,1505193844501057539,[<ReferencedTweet id=1539238357313667072 type=replied_to]
1538905976887197696,2022-06-21 13:24:22-03:00,246930074,[<ReferencedTweet id=1538905976887197696 type=replied_to]
1538907059562991619,2022-06-20 20:53:28-03:00,2516795288,[<ReferencedTweet id=1538907059562991619 type=replied_to]
1538910002903142405,2022-06-21 11:42:50-03:00,1177308885822164992,[<ReferencedTweet id=1538910002903142405 type=replied_to]
1538921384197382145,2022-06-21 09:25:24-03:00,84672407,[<ReferencedTweet id=1538921384197382145 type=replied_to]
1538921451297902592,2022-06-21 13:22:28-03:00,1477718313006424067,[<ReferencedTweet id=1538921451297902592 type=replied_to]
1538921880580669440,2022-06-21 09:23:44-03:00,84672407,[<ReferencedTweet id=1538921880580669440 type=replied_to]
1538922015599517698,2022-06-20 23:56:16-03:00,1483474095803097090,[<ReferencedTweet id=1538922015599517698 type=replied_to]
1538922570824798209,2022-06-21 10:04:23-03:00,1539224780888489984,[<ReferencedTweet id=1538922570824798209 type=replied_to]
1538923016595378182,2022-06-21 12:08:44-03:00,101812260,[<ReferencedTweet id=1538923016595378182 type=replied_to]
1538923127245348871,2022-06-20 23:53:13-03:00,1241459290566770701,[<ReferencedTweet id=1538923127245348871 type=replied_to]
1538923655379525633,2022-06-21 10:51:52-03:00,1413481142976532480,[<ReferencedTweet id=1538923655379525633 type=replied_to]
1538927584196579328,2022-06-21 10:31:32-03:00,36518651,[<ReferencedTweet id=1538927584196579328 type=replied_to]
1538931716437463042,2022-06-21 13:03:24-03:00,818558989,[<ReferencedTweet id=1538931716437463042 type=replied_to]
1538932679214866432,2022-06-21 13:29:41-03:00,22367403,[<ReferencedTweet id=1538932679214866432 type=replied_to]
1538932773070770177,2022-06-21 12:42:10-03:00,3082511282,[<ReferencedTweet id=1538932773070770177 type=replied_to]
1538933749613838337,2022-06-21 12:47:58-03:00,214105085,[<ReferencedTweet id=1538933749613838337 type=replied_to]
1538934454244331524,2022-06-21 10:20:45-03:00,794004440860753921,[<ReferencedTweet id=1538936175557238784 type=replied_to]
1538937009770844161,2022-06-21 12:46:56-03:00,214105085,[<ReferencedTweet id=1538937009770844161 type=replied_to]
1538942104470179841,2022-06-20 21:33:29-03:00,1320902364614873088,[<ReferencedTweet id=1538942104470179841 type=replied_to]
1538942340773171200,2022-06-21 10:32:56-03:00,822499036158709760,[<ReferencedTweet id=1538942340773171200 type=replied_to]
