conversation_id,Created_at_convert,author_id,referenced_tweets
1370421847284711426,2022-06-20 14:03:30-03:00,45230487,[<ReferencedTweet id=1446179179041640449 type=replied_to]
1468218740428836866,2022-06-19 23:06:48-03:00,1488955247183732742,[<ReferencedTweet id=1468218740428836866 type=replied_to]
1535643705381634050,2022-06-20 15:30:46-03:00,1432424659740499971,[<ReferencedTweet id=1535681643238764544 type=replied_to]
1536747926881333248,2022-06-20 15:30:29-03:00,1432424659740499971,[<ReferencedTweet id=1536747926881333248 type=replied_to]
1536860109921452032,2022-06-20 12:36:32-03:00,1110545028777209861,[<ReferencedTweet id=1536860109921452032 type=replied_to]
1538182777618812928,2022-06-20 15:30:03-03:00,1432424659740499971,[<ReferencedTweet id=1538182777618812928 type=replied_to]
1538197759542677506,2022-06-20 15:24:46-03:00,1323008087188451330,[<ReferencedTweet id=1538197759542677506 type=replied_to]
1538275049160990728,2022-06-19 21:03:15-03:00,60175365,[<ReferencedTweet id=1538342625509576704 type=replied_to]
1538291310276255745,2022-06-20 06:21:43-03:00,1465721956288929793,[<ReferencedTweet id=1538700682160652290 type=replied_to]
1538308291100549122,2022-06-19 21:44:16-03:00,2355336907,[<ReferencedTweet id=1538308291100549122 type=replied_to]
1538324471320281103,2022-06-20 13:42:31-03:00,1424938047544733701,[<ReferencedTweet id=1538324471320281103 type=replied_to]
1538331149377888256,2022-06-19 21:02:01-03:00,72935069,[<ReferencedTweet id=1538672838533685248 type=replied_to]
1538378920290025472,2022-06-19 23:02:17-03:00,1174435602051338240,[<ReferencedTweet id=1538378920290025472 type=replied_to]
1538484236218294272,2022-06-19 22:47:33-03:00,1410232543820005381,[<ReferencedTweet id=1538484236218294272 type=replied_to]
1538499864279015424,2022-06-20 11:47:16-03:00,1507685708793798656,[<ReferencedTweet id=1538895921727021060 type=replied_to]
1538508120036675587,2022-06-20 11:48:13-03:00,2569126734,[<ReferencedTweet id=1538508120036675587 type=replied_to]
1538513635772968960,2022-06-20 15:29:48-03:00,1432424659740499971,[<ReferencedTweet id=1538513635772968960 type=replied_to]
