conversation_id,Created_at_convert,author_id,referenced_tweets
951806519686901760,2022-05-28 22:57:19,735869233943465984,[<ReferencedTweet id=951806519686901760 type=replied_to]
1419577807739424768,2022-05-30 17:29:56,183482869,[<ReferencedTweet id=1531326548858519554 type=replied_to]
1487570563312889861,2022-05-29 01:43:44,1447087823585169412,[<ReferencedTweet id=1487570563312889861 type=replied_to]
1493710438588112898,2022-05-30 05:15:00,1412935366911406085,[<ReferencedTweet id=1493772647158542338 type=replied_to]
1512915062071119878,2022-05-30 21:28:20,1130655557847851008,[<ReferencedTweet id=1531353607739785216 type=replied_to]
1514705015545470981,2022-05-30 00:46:31,534895443,[<ReferencedTweet id=1514705015545470981 type=replied_to]
1518404672738009089,2022-05-29 04:23:26,897631898616430592,[<ReferencedTweet id=1518654314478194688 type=replied_to]
1518705078173110277,2022-05-30 11:09:30,967515609029337090,[<ReferencedTweet id=1518705078173110277 type=replied_to]
1520169573366046720,2022-05-29 23:45:37,15376696,[<ReferencedTweet id=1520169573366046720 type=replied_to]
1522027053196926976,2022-05-28 17:34:00,1170715757866553349,[<ReferencedTweet id=1522268785713065985 type=replied_to]
1522148163779538944,2022-05-27 14:01:26,2799011751,[<ReferencedTweet id=1522148163779538944 type=replied_to]
1523027119743270912,2022-05-30 01:29:40,534895443,[<ReferencedTweet id=1523027119743270912 type=replied_to]
1523100416099360768,2022-05-28 23:41:37,108606340,[<ReferencedTweet id=1523100416099360768 type=replied_to]
1525118251570712576,2022-05-29 08:01:29,1495839637855780869,[<ReferencedTweet id=1525412345283072000 type=replied_to]
1525504031065513984,2022-05-30 19:55:32,59629763,[<ReferencedTweet id=1525504031065513984 type=replied_to]
1525547505949327360,2022-05-27 15:24:54,39921186,[<ReferencedTweet id=1530207903604477957 type=replied_to]
1526170297820405762,2022-05-30 17:22:39,1347441,"[<ReferencedTweet id=1531224544702242816 type=quoted, <ReferencedTweet id=1529575344793128961 type=replied_to]"
1526287260504793090,2022-05-30 20:52:07,1266197054709215232,[<ReferencedTweet id=1526287260504793090 type=replied_to]
1526610854594154497,2022-05-30 20:16:00,1252018257034444801,[<ReferencedTweet id=1531368523603353601 type=replied_to]
1527674481732644864,2022-05-28 00:52:51,2361292483,[<ReferencedTweet id=1527729510224998400 type=replied_to]
1527814839237849090,2022-05-27 14:03:51,1478053030830477317,[<ReferencedTweet id=1528021179478458372 type=replied_to]
1528080362336927746,2022-05-27 14:39:52,1519697682410975234,[<ReferencedTweet id=1528080362336927746 type=replied_to]
