conversation_id,Created_at_convert,author_id,referenced_tweets
7.9325031211926e+17,2022-05-20 19:32:58,137363075.0,[<ReferencedTweet id=1527720691264520192 type=replied_to]
1.5066369628782e+18,2022-05-20 19:09:37,181685584.0,[<ReferencedTweet id=1506636962878218243 type=replied_to]
1.5138565437327e+18,2022-05-20 18:49:37,1.4448246134402e+18,[<ReferencedTweet id=1513856543732678661 type=replied_to]
1.5175018702014e+18,2022-05-20 18:50:03,1.4448246134402e+18,[<ReferencedTweet id=1517501870201360385 type=replied_to]
1.5175186158594e+18,2022-05-20 18:50:24,1.4448246134402e+18,[<ReferencedTweet id=1517518615859408897 type=replied_to]
1.5185830562228e+18,2022-05-20 18:50:47,1.4448246134402e+18,[<ReferencedTweet id=1518583056222806017 type=replied_to]
1.5212586938447e+18,2022-05-20 19:08:30,182884015.0,[<ReferencedTweet id=1521258693844742147 type=replied_to]
1.5223721433712e+18,2022-05-20 18:52:02,76106126.0,[<ReferencedTweet id=1522372143371243531 type=replied_to]
1.5223956387381e+18,2022-05-20 18:51:37,76106126.0,[<ReferencedTweet id=1522395638738083840 type=replied_to]
1.5245460855906e+18,2022-05-20 19:24:17,1.3954893279966e+18,[<ReferencedTweet id=1524546085590646786 type=replied_to]
1.5247628710869e+18,2022-05-20 19:07:50,1.0674123668901e+18,[<ReferencedTweet id=1524762871086862337 type=replied_to]
1.5248193884777e+18,2022-05-20 18:46:55,64797959.0,[<ReferencedTweet id=1524838066917101576 type=replied_to]
1.5254722753608e+18,2022-05-20 19:39:20,318640644.0,[<ReferencedTweet id=1525472275360784384 type=replied_to]
1.5255128553401e+18,2022-05-20 18:56:05,1.409158219315e+18,[<ReferencedTweet id=1525512855340072963 type=replied_to]
1.5258169701381e+18,2022-05-20 18:46:27,1.3487576472318e+18,[<ReferencedTweet id=1525816970138071045 type=replied_to]
1.5260977421873e+18,2022-05-20 19:18:39,1.5186786363412e+18,[<ReferencedTweet id=1526097742187339776 type=replied_to]
1.5265653189105e+18,2022-05-20 18:51:14,1.4448246134402e+18,[<ReferencedTweet id=1526565318910521351 type=replied_to]
1.5265654843631e+18,2022-05-20 18:52:12,1.4448246134402e+18,[<ReferencedTweet id=1526565484363128833 type=replied_to]
1.5266011415718e+18,2022-05-20 19:34:09,1.129548171129e+18,[<ReferencedTweet id=1526601141571792897 type=replied_to]
1.5266190706024e+18,2022-05-20 18:39:21,1.2328815018236e+18,[<ReferencedTweet id=1527249951079772162 type=replied_to]
1.5266614668747e+18,2022-05-20 18:45:52,9.1755658740071e+17,[<ReferencedTweet id=1526661466874691585 type=replied_to]
1.5269580035299e+18,2022-05-20 19:45:20,1.130992353463e+18,[<ReferencedTweet id=1526958003529949184 type=replied_to]
1.5269614705625e+18,2022-05-20 18:46:41,1.5191191398136e+18,[<ReferencedTweet id=1526961470562508802 type=replied_to]
1.5270287455756e+18,2022-05-20 19:46:32,8.3301382723509e+17,[<ReferencedTweet id=1527028745575571457 type=replied_to]
1.5270633884504e+18,2022-05-20 19:47:57,8.3301382723509e+17,[<ReferencedTweet id=1527063388450435074 type=replied_to]
1.5270743619785e+18,2022-05-20 19:14:44,1.5016081521183e+18,[<ReferencedTweet id=1527074361978540032 type=replied_to]
1.5270809911182e+18,2022-05-20 18:45:05,1.4327184528512e+18,[<ReferencedTweet id=1527080991118229504 type=replied_to]
1.5271237475007e+18,2022-05-20 19:19:00,1.4360445357973e+18,[<ReferencedTweet id=1527123747500699648 type=replied_to]
1.5271249660969e+18,2022-05-20 19:02:22,3330483069.0,[<ReferencedTweet id=1527124966096896007 type=replied_to]
1.5272184500279e+18,2022-05-20 19:02:49,1.5194022646241e+18,[<ReferencedTweet id=1527218450027913218 type=replied_to]
1.5272199215408e+18,2022-05-20 19:04:41,1.5228883756106e+18,[<ReferencedTweet id=1527219921540767745 type=replied_to]
1.5272283867032e+18,2022-05-20 18:56:57,1.5194022646241e+18,[<ReferencedTweet id=1527228386703200256 type=replied_to]
