conversation_id,Created_at_convert,author_id,referenced_tweets
1294240545217314818,2022-05-26 22:00:20,271135840,[<ReferencedTweet id=1294240545217314818 type=replied_to]
1294327049847529473,2022-05-25 17:09:12,1062058905067499520,[<ReferencedTweet id=1294327049847529473 type=replied_to]
1362905150432698368,2022-05-26 21:27:18,1489005030799777792,[<ReferencedTweet id=1529932926502191106 type=replied_to]
1419577807739424768,2022-05-26 22:20:04,1122982920,[<ReferencedTweet id=1529945243969372183 type=replied_to]
1430352413270102025,2022-05-26 21:48:09,1487279917612032003,[<ReferencedTweet id=1430352413270102025 type=replied_to]
1440461852870201365,2022-05-26 22:20:51,1251625471659425792,[<ReferencedTweet id=1529950695201423366 type=replied_to]
1460329868399419393,2022-05-26 22:19:48,159934266,[<ReferencedTweet id=1460329868399419393 type=replied_to]
1471585832373006336,2022-05-26 21:47:23,67717560,[<ReferencedTweet id=1471585832373006336 type=replied_to]
1471612183075340297,2022-05-26 22:14:53,1383745855564378113,[<ReferencedTweet id=1529943796997406729 type=replied_to]
1515083542103040004,2022-05-26 22:13:15,1105966986192961538,[<ReferencedTweet id=1529947347924533266 type=replied_to]
1520906094746509312,2022-05-26 21:15:29,1524948891765981186,[<ReferencedTweet id=1520906094746509312 type=replied_to]
1523072435721052160,2022-05-26 21:26:51,798235615745769472,[<ReferencedTweet id=1523072435721052160 type=replied_to]
1523633804945940480,2022-05-26 21:26:27,798235615745769472,[<ReferencedTweet id=1523633804945940480 type=replied_to]
1525301040828006400,2022-05-26 21:25:00,798235615745769472,[<ReferencedTweet id=1525301064253186048 type=replied_to]
1526287260504793090,2022-05-26 21:50:17,784455382093688833,[<ReferencedTweet id=1526287260504793090 type=replied_to]
1527078004907724802,2022-05-26 17:33:45,1060877358356463617,[<ReferencedTweet id=1529826606570561538 type=replied_to]
1527452698953633792,2022-05-26 21:51:46,784455382093688833,[<ReferencedTweet id=1527452698953633792 type=replied_to]
1527654131392991232,2022-05-26 21:51:13,784455382093688833,[<ReferencedTweet id=1527654131392991232 type=replied_to]
1527733879674642434,2022-05-26 21:24:30,798235615745769472,[<ReferencedTweet id=1527733879674642434 type=replied_to]
1528039794370027522,2022-05-26 21:38:54,1344413808396300290,[<ReferencedTweet id=1529939883200069682 type=replied_to]
1528057708838113281,2022-05-26 21:56:40,3002444397,[<ReferencedTweet id=1529432211212099585 type=replied_to]
1528118435934113792,2022-05-26 21:18:01,1344413808396300290,[<ReferencedTweet id=1528351144677974018 type=replied_to]
1528167881795588101,2022-05-26 21:58:20,1022476226756313095,[<ReferencedTweet id=1528167881795588101 type=replied_to]
1528358611000479746,2022-05-25 20:01:42,3402166025,[<ReferencedTweet id=1528358611000479746 type=replied_to]
1528377823026626562,2022-05-25 08:09:38,1505467820582264834,[<ReferencedTweet id=1528420971723558913 type=replied_to]
1528455663562670082,2022-05-26 22:11:37,55004503,[<ReferencedTweet id=1528809261064765440 type=replied_to]
1528703675585150981,2022-05-25 01:10:24,885466737260605442,[<ReferencedTweet id=1529017465073721344 type=replied_to]
1528712484508553217,2022-05-25 22:31:41,1669104673,[<ReferencedTweet id=1529411659013431296 type=replied_to]
1528746811061587969,2022-05-25 19:58:48,1489273846133923840,[<ReferencedTweet id=1528746811061587969 type=replied_to]
1528778397178028032,2022-05-26 21:30:31,1594965372,[<ReferencedTweet id=1529937511237271563 type=replied_to]
1528801449945309185,2022-05-25 05:13:11,1422743121276850176,[<ReferencedTweet id=1528801706577907712 type=replied_to]
1528832064837017602,2022-05-26 22:17:52,916408685278187521,[<ReferencedTweet id=1529949443490979840 type=replied_to]
1528866839798812673,2022-05-26 21:23:06,1183194814747205632,[<ReferencedTweet id=1529933446642016256 type=replied_to]
1529063787558486018,2022-05-26 21:38:36,1149699189993025537,[<ReferencedTweet id=1529063787558486018 type=replied_to]
1529096179774021632,2022-05-25 13:56:08,1204697208,[<ReferencedTweet id=1529457583773433857 type=replied_to]
1529102595347951617,2022-05-25 00:37:41,1484566384826802189,[<ReferencedTweet id=1529102595347951617 type=replied_to]
1529109982720958468,2022-05-26 22:03:48,1358074207150743554,[<ReferencedTweet id=1529109982720958468 type=replied_to]
1529119799514628098,2022-05-26 21:49:51,258296279,[<ReferencedTweet id=1529899236883570689 type=replied_to]
1529120154172399616,2022-05-25 15:57:01,273584569,[<ReferencedTweet id=1529120154172399616 type=replied_to]
1529138051485679617,2022-05-25 01:36:01,1301338704,[<ReferencedTweet id=1529266683503837187 type=replied_to]
1529151241036652545,2022-05-26 00:53:52,789706897,[<ReferencedTweet id=1529151241036652545 type=replied_to]
1529157528457715713,2022-05-26 21:46:13,981255311775367169,[<ReferencedTweet id=1529157528457715713 type=replied_to]
1529159061358395392,2022-05-25 05:29:43,1421631293121601540,[<ReferencedTweet id=1529159061358395392 type=replied_to]
1529162204070780929,2022-05-25 17:29:36,1518986393124577280,[<ReferencedTweet id=1529162204070780929 type=replied_to]
1529188437630263296,2022-05-25 17:05:12,777861320699940866,[<ReferencedTweet id=1529188437630263296 type=replied_to]
1529191621752983557,2022-05-25 02:19:37,1511748725852585985,[<ReferencedTweet id=1529191621752983557 type=replied_to]
