conversation_id,Created_at_convert,author_id,referenced_tweets
1509268004239986688,2022-04-27 17:36:26,16373800,[<ReferencedTweet id=1509268004239986692 type=replied_to]
1509506296835452928,2022-04-27 12:10:31,1491185722245722112,[<ReferencedTweet id=1519287851573293057 type=replied_to]
1517251414417985536,2022-04-27 15:37:10,1455267277004320768,[<ReferencedTweet id=1517278851197505537 type=replied_to]
1517809771843362816,2022-04-27 16:50:15,1233171892103712768,[<ReferencedTweet id=1517809771843362816 type=replied_to]
1517914921224318976,2022-04-27 16:50:11,1233171892103712768,[<ReferencedTweet id=1517914921224318976 type=replied_to]
1518162017852571648,2022-04-27 16:50:04,1233171892103712768,[<ReferencedTweet id=1518257506929332224 type=replied_to]
1518167625834061824,2022-04-27 17:37:08,16373800,[<ReferencedTweet id=1518167625834061826 type=replied_to]
1518200420979687424,2022-04-27 17:24:22,320796311,[<ReferencedTweet id=1519364012055670785 type=replied_to]
1518435934223618048,2022-04-27 17:35:57,16373800,[<ReferencedTweet id=1519369598012956673 type=replied_to]
1518528274007265280,2022-04-27 16:49:57,1233171892103712768,[<ReferencedTweet id=1518528278725812224 type=replied_to]
1518578133917741056,2022-04-27 16:49:43,1233171892103712768,[<ReferencedTweet id=1518578133917741056 type=replied_to]
1518623997054918656,2022-04-27 16:49:38,1233171892103712768,[<ReferencedTweet id=1518623997054918657 type=replied_to]
1518628943531843584,2022-04-27 17:36:56,16373800,[<ReferencedTweet id=1518628943531843586 type=replied_to]
1518694799133577216,2022-04-27 16:49:32,1233171892103712768,[<ReferencedTweet id=1518694799133577219 type=replied_to]
1518705350827991040,2022-04-27 11:06:35,1366430076540252160,[<ReferencedTweet id=1518705350827991042 type=replied_to]
1518745358066667520,2022-04-27 16:49:26,1233171892103712768,[<ReferencedTweet id=1518745358066667521 type=replied_to]
1518872358462922752,2022-04-27 14:26:35,1410200058973278208,[<ReferencedTweet id=1518872358462922753 type=replied_to]
1518894126686740480,2022-04-27 16:49:20,1233171892103712768,[<ReferencedTweet id=1518894126686740480 type=replied_to]
1518924350266691584,2022-04-27 13:35:58,1462210131022815232,[<ReferencedTweet id=1518924350266691587 type=replied_to]
1518934539812356096,2022-04-27 11:09:51,1366430076540252160,[<ReferencedTweet id=1518934539812356096 type=replied_to]
1518948178854301696,2022-04-27 11:10:48,1366430076540252160,[<ReferencedTweet id=1518948178854301696 type=replied_to]
1518953487995920384,2022-04-27 11:44:09,866398193197752320,[<ReferencedTweet id=1518953487995920385 type=replied_to]
1518954320452018176,2022-04-27 11:58:00,823629394413551616,[<ReferencedTweet id=1519284687725858817 type=replied_to]
1518956984552370176,2022-04-27 13:00:58,1455267277004320768,[<ReferencedTweet id=1519019454784540673 type=replied_to]
1518967847724228608,2022-04-27 14:24:31,1413757467083821056,[<ReferencedTweet id=1518967847724228608 type=replied_to]
1518970535237070848,2022-04-27 15:04:46,1358390996,[<ReferencedTweet id=1518970535237070848 type=replied_to]
1518987254248710144,2022-04-27 16:49:15,1233171892103712768,[<ReferencedTweet id=1518987254248710145 type=replied_to]
1518997880962535424,2022-04-27 12:09:08,1491185722245722112,[<ReferencedTweet id=1519287491391631363 type=replied_to]
1519002867792814080,2022-04-27 17:36:36,16373800,[<ReferencedTweet id=1519116755431563265 type=replied_to]
1519005739364368384,2022-04-27 14:18:39,3226977436,[<ReferencedTweet id=1519005739364368384 type=replied_to]
1519019359783510016,2022-04-27 17:59:32,398202714,[<ReferencedTweet id=1519019359783510017 type=replied_to]
1519019466184704000,2022-04-27 13:14:23,1209875021499383808,[<ReferencedTweet id=1519019466184704000 type=replied_to]
1519020076065869824,2022-04-27 11:12:51,45371102,[<ReferencedTweet id=1519020076065869824 type=replied_to]
1519020399224410112,2022-04-27 16:51:33,1233171892103712768,[<ReferencedTweet id=1519020399224410113 type=replied_to]
1519024036826787840,2022-04-27 14:51:54,1366430076540252160,[<ReferencedTweet id=1519024036826787840 type=replied_to]
1519052258830340096,2022-04-27 12:42:42,1366430076540252160,[<ReferencedTweet id=1519052258830340100 type=replied_to]
1519052545024532480,2022-04-27 14:16:29,1410200058973278208,[<ReferencedTweet id=1519319330353262592 type=replied_to]
1519054329294069760,2022-04-27 12:17:21,1366430076540252160,[<ReferencedTweet id=1519054329294069762 type=replied_to]
1519055308701810688,2022-04-27 12:17:27,1366430076540252160,[<ReferencedTweet id=1519055308701810690 type=replied_to]
1519060930847555584,2022-04-27 17:17:02,1260281601172410368,[<ReferencedTweet id=1519364492756410368 type=replied_to]
1519071669641428992,2022-04-27 10:59:47,45371102,[<ReferencedTweet id=1519071669641428999 type=replied_to]
1519078434110115840,2022-04-27 11:30:17,1272133146755170304,[<ReferencedTweet id=1519078434110115841 type=replied_to]
1519081813901205504,2022-04-27 11:08:34,1366430076540252160,[<ReferencedTweet id=1519081813901205512 type=replied_to]
1519087026120929280,2022-04-27 17:08:14,1233171892103712768,[<ReferencedTweet id=1519087026120929287 type=replied_to]
1519087943859720192,2022-04-27 11:45:01,1414370161994436608,[<ReferencedTweet id=1519278350086422528 type=replied_to]
1519089735276408832,2022-04-27 11:21:07,1366430076540252160,[<ReferencedTweet id=1519089735276408833 type=replied_to]
1519095422261809152,2022-04-27 16:49:11,1233171892103712768,[<ReferencedTweet id=1519095422261809152 type=replied_to]
1519095968582537216,2022-04-27 18:21:43,1376355772725100544,[<ReferencedTweet id=1519095968582537217 type=replied_to]
1519096580263006208,2022-04-27 11:12:54,1366430076540252160,[<ReferencedTweet id=1519096580263006209 type=replied_to]
