conversation_id,Created_at_convert,author_id,referenced_tweets
1250022049,2022-10-29 14:29:39-03:00,1427460897304363009,[<ReferencedTweet id=1250022049 type=replied_to]
1432651785253105671,2022-10-29 12:28:00-03:00,1547745710761644038,[<ReferencedTweet id=1583811156929646594 type=replied_to]
1444269077489459201,2022-10-29 12:08:47-03:00,1399148766188429318,[<ReferencedTweet id=1586345508980695042 type=replied_to]
1449289011999219712,2022-10-29 12:03:00-03:00,1547745710761644038,[<ReferencedTweet id=1583816190287171585 type=replied_to]
1487611939387756548,2022-10-29 17:53:52-03:00,1306324839477784578,[<ReferencedTweet id=1586460978216304641 type=replied_to]
1510985559375765509,2022-10-29 15:24:26-03:00,222188108,[<ReferencedTweet id=1510985559375765509 type=replied_to]
1537812698867683336,2022-10-29 16:32:18-03:00,1280911987459928066,[<ReferencedTweet id=1537812698867683336 type=replied_to]
1546270325775671296,2022-10-29 15:38:56-03:00,19447156,[<ReferencedTweet id=1546270391898968065 type=replied_to]
1561444169977135104,2022-10-29 17:20:50-03:00,1392955848188628994,[<ReferencedTweet id=1561444169977135104 type=replied_to]
1562639421433712640,2022-10-29 14:51:57-03:00,1566033413777268736,[<ReferencedTweet id=1577888960839393280 type=replied_to]
1562966917417017345,2022-10-29 13:04:57-03:00,1518734670103552002,[<ReferencedTweet id=1562966917417017345 type=replied_to]
1564615104087433218,2022-10-29 16:47:53-03:00,569900651,[<ReferencedTweet id=1586443751420854272 type=replied_to]
1570222838254272513,2022-10-29 12:14:20-03:00,1351598619187699713,[<ReferencedTweet id=1570222838254272513 type=replied_to]
1571855526614507523,2022-10-29 12:13:45-03:00,1351598619187699713,[<ReferencedTweet id=1571855526614507523 type=replied_to]
1573225803751591937,2022-10-29 14:32:44-03:00,1450911426311229448,[<ReferencedTweet id=1586410052998471680 type=replied_to]
1575835152738963456,2022-10-29 14:14:16-03:00,1458541376241557509,[<ReferencedTweet id=1583673126990540801 type=replied_to]
1576731453093715969,2022-10-29 15:23:20-03:00,1506009871438778369,[<ReferencedTweet id=1576731453093715969 type=replied_to]
1576807480536932352,2022-10-29 17:53:25-03:00,1437057894990688259,[<ReferencedTweet id=1584296307895980032 type=replied_to]
1577327458403115010,2022-10-29 13:04:10-03:00,1519737988628025345,[<ReferencedTweet id=1577327458403115010 type=replied_to]
1577781153611784200,2022-10-29 15:12:58-03:00,1208139505804496915,[<ReferencedTweet id=1577781155570524172 type=replied_to]
1578044084769509376,2022-10-29 15:11:18-03:00,1244410165606133760,[<ReferencedTweet id=1578044084769509376 type=replied_to]
1578407302821986305,2022-10-29 12:29:55-03:00,1433859196328480770,[<ReferencedTweet id=1578407302821986305 type=replied_to]
1578482108640952320,2022-10-29 14:57:01-03:00,1566084019984506882,[<ReferencedTweet id=1578482108640952320 type=replied_to]
1580204169734291457,2022-10-29 17:16:30-03:00,1447944557388255238,[<ReferencedTweet id=1580204169734291457 type=replied_to]
1580513679849627649,2022-10-29 15:54:34-03:00,127023326,[<ReferencedTweet id=1580513679849627649 type=replied_to]
1581350431447736321,2022-10-29 15:05:17-03:00,1581627495106990080,[<ReferencedTweet id=1581350431447736321 type=replied_to]
1581973447218892802,2022-10-29 16:29:47-03:00,209926996,[<ReferencedTweet id=1586439469280153600 type=replied_to]
1583266856600686592,2022-10-29 12:18:06-03:00,737728013039771648,[<ReferencedTweet id=1583266895771619328 type=replied_to]
1583475446351478784,2022-10-29 17:57:17-03:00,2553470745,[<ReferencedTweet id=1583790537362255872 type=replied_to]
1583596847129468928,2022-10-29 15:37:10-03:00,1048040963728453632,[<ReferencedTweet id=1585387390960795648 type=replied_to]
1583795946676109314,2022-10-29 12:35:14-03:00,1433859196328480770,[<ReferencedTweet id=1583795946676109314 type=replied_to]
1583862755819675649,2022-10-29 13:17:09-03:00,1265030419122130944,[<ReferencedTweet id=1583862755819675649 type=replied_to]
1583943398192340992,2022-10-29 16:11:06-03:00,866977580955709443,[<ReferencedTweet id=1583943398192340992 type=replied_to]
1583985056078770177,2022-10-29 15:23:54-03:00,1472443789658804228,[<ReferencedTweet id=1586360853540278272 type=replied_to]
1584223233167200256,2022-10-29 17:25:56-03:00,1070024921361891328,[<ReferencedTweet id=1584223235121377281 type=replied_to]
1584256736478666752,2022-10-29 15:23:42-03:00,424177322,[<ReferencedTweet id=1586415469875310592 type=replied_to]
1584306781530230784,2022-10-29 16:57:56-03:00,1579614570280374272,[<ReferencedTweet id=1584306781530230784 type=replied_to]
1584349500659109889,2022-10-29 15:49:41-03:00,1518698981584510978,[<ReferencedTweet id=1586406763037089793 type=replied_to]
1584518661615648768,2022-10-29 16:56:57-03:00,1585097504835735554,[<ReferencedTweet id=1586383419688509440 type=replied_to]
1584579166581952512,2022-10-29 12:40:32-03:00,1433859196328480770,[<ReferencedTweet id=1584579166581952512 type=replied_to]
1584601996341891072,2022-10-29 12:28:48-03:00,1433859196328480770,[<ReferencedTweet id=1584601996341891072 type=replied_to]
1584605583877214208,2022-10-29 14:11:03-03:00,197214976,[<ReferencedTweet id=1584610429359169537 type=replied_to]
1584608849494888448,2022-10-29 13:16:02-03:00,72465186,[<ReferencedTweet id=1586279487397761026 type=replied_to]
1584647775131553793,2022-10-29 13:58:25-03:00,1312921380686647296,[<ReferencedTweet id=1586359934442442752 type=replied_to]
1584977181016748032,2022-10-29 13:37:47-03:00,1585405621314224128,[<ReferencedTweet id=1584977181016748032 type=replied_to]
1584999783520866304,2022-10-29 16:45:33-03:00,1245901819160801283,[<ReferencedTweet id=1584999783520866304 type=replied_to]
1585035275369345024,2022-10-29 14:16:40-03:00,1433859196328480770,[<ReferencedTweet id=1585035275369345024 type=replied_to]
1585060251916648449,2022-10-29 15:20:29-03:00,1464649583712210952,[<ReferencedTweet id=1585060251916648449 type=replied_to]
1585105380509896707,2022-10-29 14:20:16-03:00,841496537142304768,[<ReferencedTweet id=1586371169791332352 type=replied_to]
