conversation_id,Created_at_convert,author_id,referenced_tweets
1565033225801682947,2022-10-23 09:45:05-03:00,1540815738872684544,[<ReferencedTweet id=1565033225801682947 type=replied_to]
1565322211145154564,2022-10-23 09:40:52-03:00,1540815738872684544,[<ReferencedTweet id=1565322211145154564 type=replied_to]
1576807480536932352,2022-10-23 11:12:25-03:00,87082589,[<ReferencedTweet id=1584185108210552833 type=replied_to]
1581362883031863298,2022-10-23 08:38:57-03:00,1242904151710990343,[<ReferencedTweet id=1581466938777096194 type=replied_to]
1583122600472952832,2022-10-23 09:09:32-03:00,1381037362633920513,[<ReferencedTweet id=1583122600472952832 type=replied_to]
1583417531733196800,2022-10-23 08:09:21-03:00,585035476,[<ReferencedTweet id=1583417531733196800 type=replied_to]
1583433167876153345,2022-10-23 11:07:35-03:00,1513547224445337616,[<ReferencedTweet id=1583433167876153345 type=replied_to]
1583604559842512906,2022-10-23 10:37:27-03:00,3037492811,[<ReferencedTweet id=1584170922864676870 type=replied_to]
1583630827216572416,2022-10-23 09:58:21-03:00,15673968,[<ReferencedTweet id=1583630827216572416 type=replied_to]
1583649948737806337,2022-10-23 10:53:46-03:00,710269058030170112,[<ReferencedTweet id=1583649948737806337 type=replied_to]
1583690522082017280,2022-10-23 09:07:57-03:00,56895737,[<ReferencedTweet id=1583690522082017280 type=replied_to]
1583790269060653057,2022-10-23 11:15:33-03:00,1428875463775113218,[<ReferencedTweet id=1583790269060653057 type=replied_to]
1583796006218440706,2022-10-23 09:17:32-03:00,2813356668,[<ReferencedTweet id=1583796006218440706 type=replied_to]
1583799588988760064,2022-10-23 08:39:15-03:00,1049608724673941504,[<ReferencedTweet id=1583799588988760064 type=replied_to]
1583803711578464256,2022-10-23 10:20:47-03:00,1550950008555446278,[<ReferencedTweet id=1583803711578464256 type=replied_to]
1583810601452593152,2022-10-23 11:42:35-03:00,1450242818,[<ReferencedTweet id=1583907621840375808 type=replied_to]
1583815349283487744,2022-10-23 08:41:09-03:00,1049608724673941504,[<ReferencedTweet id=1583815349283487744 type=replied_to]
1583821242511290368,2022-10-23 11:33:47-03:00,1388953257112911878,[<ReferencedTweet id=1583821242511290368 type=replied_to]
