conversation_id,Created_at_convert,author_id,referenced_tweets
1512158347872645120,2022-09-30 09:14:22-03:00,1427329052763955206,[<ReferencedTweet id=1512158347872645120 type=replied_to]
1517656888229474304,2022-09-30 09:12:00-03:00,1427329052763955206,[<ReferencedTweet id=1517656888229474304 type=replied_to]
1528354743810236417,2022-09-30 09:10:55-03:00,1427329052763955206,[<ReferencedTweet id=1528354743810236417 type=replied_to]
1534621053561057282,2022-09-30 09:10:32-03:00,1427329052763955206,[<ReferencedTweet id=1534621053561057282 type=replied_to]
1543934775810990085,2022-09-30 12:32:36-03:00,1312548532214169604,[<ReferencedTweet id=1543934775810990085 type=replied_to]
1544375526336364552,2022-09-30 09:10:01-03:00,1427329052763955206,[<ReferencedTweet id=1544375526336364552 type=replied_to]
1549010029428211715,2022-09-30 14:28:04-03:00,1377279842782220288,[<ReferencedTweet id=1561319336819789826 type=replied_to]
1549485970608820225,2022-09-30 09:09:54-03:00,1427329052763955206,[<ReferencedTweet id=1549485970608820225 type=replied_to]
1549771116377509891,2022-09-30 16:42:35-03:00,1554125388309200896,[<ReferencedTweet id=1549771116377509891 type=replied_to]
1560439353716797440,2022-09-30 03:41:12-03:00,1538894922752868353,[<ReferencedTweet id=1560439353716797440 type=replied_to]
1573206476654612483,2022-09-30 09:53:36-03:00,1538221570501627905,[<ReferencedTweet id=1573206476654612483 type=replied_to]
1573355920482074625,2022-09-30 15:29:41-03:00,86632701,[<ReferencedTweet id=1573355920482074625 type=replied_to]
1573480306719555584,2022-09-30 09:03:14-03:00,1427329052763955206,[<ReferencedTweet id=1573480306719555584 type=replied_to]
1573512481150050308,2022-09-30 09:51:13-03:00,1538221570501627905,[<ReferencedTweet id=1573512481150050308 type=replied_to]
1573645802030989316,2022-09-30 09:57:07-03:00,1538221570501627905,[<ReferencedTweet id=1573645802030989316 type=replied_to]
1573780435502596097,2022-09-30 09:54:03-03:00,1538221570501627905,[<ReferencedTweet id=1573780435502596097 type=replied_to]
1574015538124263425,2022-09-30 09:56:44-03:00,1538221570501627905,[<ReferencedTweet id=1574015538124263425 type=replied_to]
1574155555077296130,2022-09-29 21:49:27-03:00,1011325096621936641,[<ReferencedTweet id=1575648259279757313 type=replied_to]
1574369010933977089,2022-09-30 12:31:23-03:00,1185669885298380800,[<ReferencedTweet id=1574369010933977089 type=replied_to]
1574757798159831042,2022-09-30 12:35:25-03:00,380317688,[<ReferencedTweet id=1574757798159831042 type=replied_to]
1574773417978601472,2022-09-30 09:53:07-03:00,1538221570501627905,[<ReferencedTweet id=1574773417978601472 type=replied_to]
1574779524662837253,2022-09-30 09:51:43-03:00,1538221570501627905,[<ReferencedTweet id=1574779524662837253 type=replied_to]
1574790982314250240,2022-09-30 10:29:57-03:00,991805132,[<ReferencedTweet id=1574790982314250240 type=replied_to]
1574798457151299584,2022-09-29 21:39:20-03:00,1575640944065400832,[<ReferencedTweet id=1574798457151299584 type=replied_to]
1574867017575833621,2022-09-30 13:19:23-03:00,1488936582841344005,[<ReferencedTweet id=1574867017575833621 type=replied_to]
1574935149808037888,2022-09-29 21:56:36-03:00,95495756,[<ReferencedTweet id=1574935149808037888 type=replied_to]
1574965099273408512,2022-09-30 15:59:46-03:00,1356624481767346176,[<ReferencedTweet id=1574965099273408512 type=replied_to]
1575068336047919105,2022-09-30 09:48:04-03:00,1538221570501627905,[<ReferencedTweet id=1575068336047919105 type=replied_to]
1575153812792385536,2022-09-30 13:45:16-03:00,120767310,[<ReferencedTweet id=1575153812792385536 type=replied_to]
1575156434706190336,2022-09-30 06:55:24-03:00,212185190,[<ReferencedTweet id=1575156434706190336 type=replied_to]
