conversation_id,Created_at_convert,author_id,referenced_tweets
1419577807739424768,2022-09-13 22:08:07-03:00,1031944831038357504,[<ReferencedTweet id=1569832144398155780 type=replied_to]
1567163935664623617,2022-09-13 23:33:53-03:00,1537508821572235265,[<ReferencedTweet id=1567163935664623617 type=replied_to]
1568945657561624577,2022-09-13 22:59:57-03:00,66483343,[<ReferencedTweet id=1568945657561624577 type=replied_to]
1569645828431552512,2022-09-13 21:56:55-03:00,1537508821572235265,[<ReferencedTweet id=1569645828431552512 type=replied_to]
1569646442813194240,2022-09-13 23:26:37-03:00,41609235,[<ReferencedTweet id=1569646442813194240 type=replied_to]
1569649592605491201,2022-09-13 18:29:24-03:00,636157686,[<ReferencedTweet id=1569649592605491201 type=replied_to]
1569665619540197379,2022-09-13 22:06:17-03:00,1031944831038357504,[<ReferencedTweet id=1569665619540197379 type=replied_to]
1569681000300527616,2022-09-13 22:13:22-03:00,59262066,[<ReferencedTweet id=1569681000300527616 type=replied_to]
1569682308323475462,2022-09-13 22:31:58-03:00,1031944831038357504,[<ReferencedTweet id=1569682308323475462 type=replied_to]
1569701080220450816,2022-09-13 22:24:58-03:00,1566591369367506944,[<ReferencedTweet id=1569701080220450816 type=replied_to]
1569730027742167040,2022-09-13 23:13:02-03:00,1554271164297580544,[<ReferencedTweet id=1569730027742167040 type=replied_to]
1569747849495330817,2022-09-13 15:00:26-03:00,1425230927853146113,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569749123787530243,2022-09-13 15:05:30-03:00,194644595,
1569751401340747776,2022-09-13 15:14:33-03:00,1566825236443561984,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569752006503325696,2022-09-13 15:16:57-03:00,574466502,
1569752212523618304,2022-09-13 15:17:46-03:00,1041718728528781313,[<ReferencedTweet id=1569385595100864512 type=retweeted]
1569752555156111365,2022-09-13 15:19:08-03:00,1279518064325861376,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569755291943583744,2022-09-13 21:28:34-03:00,908367671225470976,[<ReferencedTweet id=1569755291943583744 type=replied_to]
1569759507919650816,2022-09-13 15:46:46-03:00,2444376402,
1569759520838090752,2022-09-13 15:46:49-03:00,1566450172992929794,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569760507241832451,2022-09-13 15:50:44-03:00,896063578435985409,
1569762188323131393,2022-09-13 15:57:25-03:00,1082337565938798592,[<ReferencedTweet id=1569755291943583744 type=retweeted]
1569762657120710657,2022-09-13 15:59:16-03:00,752130915220877312,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569762679849623552,2022-09-13 15:59:22-03:00,1284975058352513024,[<ReferencedTweet id=1569755291943583744 type=retweeted]
1569763418067898368,2022-09-13 20:20:50-03:00,1057553803837403136,[<ReferencedTweet id=1569763418067898368 type=replied_to]
1569763695575580674,2022-09-13 16:03:24-03:00,1419766307436863488,[<ReferencedTweet id=1569763418067898368 type=retweeted]
1569764545681362946,2022-09-13 16:06:47-03:00,1265096552281972736,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569766245615951875,2022-09-13 16:13:32-03:00,1148926845095751682,[<ReferencedTweet id=1569749123787530243 type=retweeted]
1569768898685198340,2022-09-13 16:24:04-03:00,54880852,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569773869145227265,2022-09-13 16:43:50-03:00,56733955,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569774284280631300,2022-09-13 16:45:29-03:00,14412852,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569775050898685952,2022-09-13 22:22:41-03:00,1031944831038357504,[<ReferencedTweet id=1569775050898685952 type=replied_to]
1569775330830819330,2022-09-13 16:49:38-03:00,72633552,
1569775485415981056,2022-09-13 16:50:33-03:00,72633552,[<ReferencedTweet id=1569775485415981056 type=replied_to]
1569775937184473089,2022-09-13 16:52:03-03:00,715364459099856896,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569776223013797891,2022-09-13 16:53:11-03:00,450939550,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569776305922531338,2022-09-13 22:03:42-03:00,1562895328839598088,[<ReferencedTweet id=1569776305922531338 type=replied_to]
1569776410201399300,2022-09-13 16:53:55-03:00,2769981965,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569776477704540164,2022-09-13 16:54:11-03:00,145769529,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569777442599870465,2022-09-13 16:58:02-03:00,1244302652512534539,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569778372179525632,2022-09-13 17:01:43-03:00,57265826,[<ReferencedTweet id=1569775485415981056 type=quoted]
1569779712557289474,2022-09-13 17:07:03-03:00,55259370,
1569779944997142530,2022-09-13 17:07:58-03:00,55259370,
1569780275151781897,2022-09-13 17:09:17-03:00,55259370,
1569780436901019651,2022-09-13 17:09:55-03:00,55259370,
1569780610452914184,2022-09-13 17:10:37-03:00,55259370,
1569780854981017602,2022-09-13 17:11:35-03:00,1053681848,[<ReferencedTweet id=1569780610452914184 type=retweeted]
1569781008748232709,2022-09-13 17:12:12-03:00,55259370,
1569781278429388801,2022-09-13 17:13:16-03:00,472201542,[<ReferencedTweet id=1569781008748232709 type=retweeted]
1569781619606667270,2022-09-13 17:14:37-03:00,1521991277667319808,[<ReferencedTweet id=1569645828431552512 type=retweeted]
1569781627714142221,2022-09-13 17:14:39-03:00,55259370,
1569781748158046208,2022-09-13 17:15:08-03:00,55259370,
1569781880853069830,2022-09-13 17:15:40-03:00,55259370,
1569781921407815680,2022-09-13 17:15:49-03:00,2376406603,[<ReferencedTweet id=1569780610452914184 type=quoted]
1569782290326196224,2022-09-13 17:17:17-03:00,55259370,
1569782362883457024,2022-09-13 17:17:35-03:00,472201542,[<ReferencedTweet id=1569782290326196224 type=retweeted]
1569782544853356545,2022-09-13 17:18:18-03:00,55259370,
1569783811487010817,2022-09-13 17:23:20-03:00,2444376402,
1569783841669226496,2022-09-13 17:23:27-03:00,132657775,[<ReferencedTweet id=1569782290326196224 type=retweeted]
1569784886260809728,2022-09-13 22:30:26-03:00,1031944831038357504,[<ReferencedTweet id=1569784886260809728 type=replied_to]
1569785489464475648,2022-09-13 17:30:00-03:00,35105584,[<ReferencedTweet id=1569002553458962433 type=quoted]
1569785633677139973,2022-09-13 17:30:34-03:00,35105584,
1569786214873710592,2022-09-13 17:32:53-03:00,35105584,
1569786465579634689,2022-09-13 17:33:53-03:00,35105584,
1569786552359714821,2022-09-13 21:37:24-03:00,908367671225470976,[<ReferencedTweet id=1569786552359714821 type=replied_to]
1569786925816446976,2022-09-13 17:35:43-03:00,35105584,
1569787042233475073,2022-09-13 17:36:10-03:00,35105584,
1569787120406990848,2022-09-13 21:37:24-03:00,908367671225470976,[<ReferencedTweet id=1569787120406990848 type=replied_to]
