conversation_id,Created_at_convert,author_id,referenced_tweets
1406032576092033028,2022-09-29 20:02:43-03:00,770481850733256708,[<ReferencedTweet id=1518309254045786114 type=replied_to]
1574798457151299584,2022-09-29 20:13:38-03:00,1565512866500943872,[<ReferencedTweet id=1574798457151299584 type=replied_to]
1574947395229863941,2022-09-29 22:28:27-03:00,1388892891360153608,[<ReferencedTweet id=1574947395229863941 type=replied_to]
1575153671016308736,2022-09-29 21:38:43-03:00,827588636409528320,[<ReferencedTweet id=1575153686652878850 type=replied_to]
1575253940723191817,2022-09-29 20:18:01-03:00,1565512866500943872,[<ReferencedTweet id=1575253940723191817 type=replied_to]
1575286540598755332,2022-09-29 21:52:22-03:00,59500746,[<ReferencedTweet id=1575286540598755332 type=replied_to]
1575298621771288576,2022-09-29 20:05:36-03:00,1151878821106323456,[<ReferencedTweet id=1575622380344741888 type=replied_to]
1575307946229211141,2022-09-29 22:20:38-03:00,1261089111592574976,[<ReferencedTweet id=1575307946229211141 type=replied_to]
1575308690323918848,2022-09-29 21:56:13-03:00,1539857675814567937,[<ReferencedTweet id=1575308690323918848 type=replied_to]
1575392780310007809,2022-09-29 21:55:05-03:00,59500746,[<ReferencedTweet id=1575392780310007809 type=replied_to]
1575447905800015874,2022-09-29 22:23:45-03:00,1174464752183054336,[<ReferencedTweet id=1575447905800015874 type=replied_to]
1575447931209089026,2022-09-29 21:52:33-03:00,767489170570874885,[<ReferencedTweet id=1575447931209089026 type=replied_to]
1575483447816110080,2022-09-29 22:12:49-03:00,89102491,[<ReferencedTweet id=1575496149925928962 type=replied_to]
1575511768843096064,2022-09-29 22:16:29-03:00,192436651,"[<ReferencedTweet id=1575652421673811968 type=quoted, <ReferencedTweet id=1575516420288421889 type=replied_to]"
1575514865166188544,2022-09-29 22:24:40-03:00,1552517730699460610,[<ReferencedTweet id=1575514865166188544 type=replied_to]
1575529034188201985,2022-09-29 22:06:47-03:00,1356332594498043905,[<ReferencedTweet id=1575529034188201985 type=replied_to]
1575535658986348544,2022-09-29 22:19:01-03:00,779515255,[<ReferencedTweet id=1575535658986348544 type=replied_to]
1575541720443457557,2022-09-29 22:04:56-03:00,10216462,[<ReferencedTweet id=1575652342908669953 type=replied_to]
1575545955645939714,2022-09-29 22:21:18-03:00,1151537985554456576,[<ReferencedTweet id=1575654176277032960 type=replied_to]
1575557577437458433,2022-09-29 22:22:57-03:00,1572293685202616320,[<ReferencedTweet id=1575657112981471232 type=replied_to]
1575566001059479553,2022-09-29 22:16:35-03:00,1253401171861135366,[<ReferencedTweet id=1575566001059479553 type=replied_to]
1575570042313383948,2022-09-29 22:12:51-03:00,715729544213307393,[<ReferencedTweet id=1575653513522446337 type=replied_to]
1575572565484969984,2022-09-29 22:17:53-03:00,89102491,[<ReferencedTweet id=1575572565484969984 type=replied_to]
1575574873409130496,2022-09-29 22:04:03-03:00,1542686884329099264,[<ReferencedTweet id=1575574873409130496 type=replied_to]
1575578923055751168,2022-09-29 21:19:16-03:00,2608142960,[<ReferencedTweet id=1575578923055751168 type=replied_to]
1575579812659613697,2022-09-29 22:21:53-03:00,779515255,[<ReferencedTweet id=1575579812659613697 type=replied_to]
1575580693723160577,2022-09-29 21:40:31-03:00,1568067043278163968,[<ReferencedTweet id=1575580693723160577 type=replied_to]
1575586389164724224,2022-09-29 21:46:26-03:00,1376536218163408907,[<ReferencedTweet id=1575586389164724224 type=replied_to]
1575588764700721153,2022-09-29 22:16:03-03:00,1303401407714820097,[<ReferencedTweet id=1575588764700721153 type=replied_to]
1575589904947367936,2022-09-29 22:29:55-03:00,1174464752183054336,[<ReferencedTweet id=1575589904947367936 type=replied_to]
1575590500324605954,2022-09-29 22:21:25-03:00,779515255,[<ReferencedTweet id=1575590500324605954 type=replied_to]
1575591315571900418,2022-09-29 21:28:17-03:00,1568067043278163968,[<ReferencedTweet id=1575591315571900418 type=replied_to]
1575591513161011200,2022-09-29 22:29:29-03:00,3254435704,[<ReferencedTweet id=1575591513161011200 type=replied_to]
1575592389262966789,2022-09-29 22:17:11-03:00,89102491,[<ReferencedTweet id=1575592389262966789 type=replied_to]
1575592682336190464,2022-09-29 22:28:37-03:00,89102491,[<ReferencedTweet id=1575592682336190464 type=replied_to]
1575596877302878208,2022-09-29 21:47:10-03:00,59500746,"[<ReferencedTweet id=1575639651477487616 type=quoted, <ReferencedTweet id=1575596877302878208 type=replied_to]"
1575598665577549824,2022-09-29 20:23:04-03:00,396286980,[<ReferencedTweet id=1575598665577549824 type=replied_to]
1575599590904320002,2022-09-29 22:23:37-03:00,1356332594498043905,[<ReferencedTweet id=1575599590904320002 type=replied_to]
1575600753040687104,2022-09-29 21:36:08-03:00,630685202,[<ReferencedTweet id=1575600753040687104 type=replied_to]
1575602567325024256,2022-09-29 21:50:25-03:00,1356332594498043905,[<ReferencedTweet id=1575602567325024256 type=replied_to]
1575602923442434048,2022-09-29 20:58:50-03:00,1529882647501148160,[<ReferencedTweet id=1575602923442434048 type=replied_to]
1575606425690439685,2022-09-29 21:03:55-03:00,1565512866500943872,[<ReferencedTweet id=1575606425690439685 type=replied_to]
1575610434073133056,2022-09-29 22:27:18-03:00,67150902,[<ReferencedTweet id=1575658220722753538 type=replied_to]
1575614187635494913,2022-09-29 20:25:16-03:00,1104889844,[<ReferencedTweet id=1575614187635494913 type=replied_to]
1575614338412552220,2022-09-29 20:48:07-03:00,1533833900157542400,[<ReferencedTweet id=1575614338412552220 type=replied_to]
1575614501054910465,2022-09-29 21:39:58-03:00,1375824706520166407,[<ReferencedTweet id=1575614501054910465 type=replied_to]
1575615135925686272,2022-09-29 22:09:59-03:00,1529882647501148160,[<ReferencedTweet id=1575615135925686272 type=replied_to]
1575615494622789634,2022-09-29 22:14:04-03:00,89102491,[<ReferencedTweet id=1575615494622789634 type=replied_to]
1575616974750482432,2022-09-29 20:01:37-03:00,396286980,[<ReferencedTweet id=1575616974750482432 type=replied_to]
1575618004435361792,2022-09-29 21:58:47-03:00,1261089111592574976,[<ReferencedTweet id=1575618004435361792 type=replied_to]
1575618548482723842,2022-09-29 21:56:00-03:00,1542686884329099264,[<ReferencedTweet id=1575618548482723842 type=replied_to]
1575618793350602753,2022-09-29 21:36:17-03:00,798324717170081792,[<ReferencedTweet id=1575633580528521216 type=replied_to]
