conversation_id,Created_at_convert,author_id,referenced_tweets
1047997509967204352,2022-09-21 22:34:57-03:00,282802576,[<ReferencedTweet id=1047997509967204352 type=replied_to]
1051094366901682176,2022-09-20 22:55:48-03:00,1562571895392059392,[<ReferencedTweet id=1051094366901682176 type=replied_to]
1052268215504658432,2022-09-20 22:58:18-03:00,1562571895392059392,[<ReferencedTweet id=1052268215504658432 type=replied_to]
1052907300321681408,2022-09-20 22:55:59-03:00,1562571895392059392,[<ReferencedTweet id=1052907300321681408 type=replied_to]
1053257688438763520,2022-09-20 23:51:05-03:00,329327645,[<ReferencedTweet id=1053268316834414592 type=replied_to]
1054013038595096576,2022-09-21 01:06:49-03:00,1570662608319008769,[<ReferencedTweet id=1054013038595096576 type=replied_to]
1055233789545328640,2022-09-20 22:57:19-03:00,1562571895392059392,[<ReferencedTweet id=1055233789545328640 type=replied_to]
1055539979663917056,2022-09-21 21:04:07-03:00,1139710792700444673,[<ReferencedTweet id=1055540885218357250 type=replied_to]
1055566731358408705,2022-09-21 00:04:19-03:00,1158379810411962370,[<ReferencedTweet id=1055566731358408705 type=replied_to]
1055973277347258368,2022-09-20 22:57:56-03:00,1562571895392059392,[<ReferencedTweet id=1055973277347258368 type=replied_to]
1055980432066527233,2022-09-21 21:31:00-03:00,53193061,[<ReferencedTweet id=1055980432066527233 type=replied_to]
1092050600714530816,2022-09-20 22:15:58-03:00,1561889032564514817,[<ReferencedTweet id=1092131367327055872 type=replied_to]
1153076019500388354,2022-09-21 17:47:21-03:00,1056294648870789121,[<ReferencedTweet id=1153079582863572992 type=replied_to]
1204840012929536001,2022-09-21 01:08:08-03:00,878789477803716609,[<ReferencedTweet id=1204840012929536001 type=replied_to]
1265787922558660609,2022-09-21 16:04:19-03:00,1376573155,[<ReferencedTweet id=1266064732643119106 type=replied_to]
1298055874112622593,2022-09-21 21:32:47-03:00,1532587227120914433,[<ReferencedTweet id=1298055874112622593 type=replied_to]
1298066396597964801,2022-09-21 20:05:54-03:00,1283794088047923202,"[<ReferencedTweet id=1571955103229431808 type=quoted, <ReferencedTweet id=1298066396597964801 type=replied_to]"
1317474730732097538,2022-09-21 15:47:05-03:00,1232804757112225801,[<ReferencedTweet id=1317474730732097538 type=replied_to]
1338916012058619905,2022-09-20 22:05:47-03:00,1450296958971781120,[<ReferencedTweet id=1338916012058619905 type=replied_to]
1379765540105904132,2022-09-21 01:52:41-03:00,1266297287782744065,[<ReferencedTweet id=1572347884196052992 type=replied_to]
1419577807739424768,2022-09-21 19:02:54-03:00,1502409266245816326,[<ReferencedTweet id=1572411345454403585 type=replied_to]
1471612183075340297,2022-09-21 22:15:07-03:00,1571603031074000899,[<ReferencedTweet id=1572752078178750465 type=replied_to]
