conversation_id,Created_at_convert,author_id,referenced_tweets
1570583117676806145,2022-09-21 21:27:46-03:00,1456443506063552558,[<ReferencedTweet id=1570583117676806145 type=replied_to]
1570837307313520640,2022-09-21 05:01:14-03:00,412955057,[<ReferencedTweet id=1571275301711134721 type=replied_to]
1571562849352437761,2022-09-21 17:10:17-03:00,1319423583018455042,[<ReferencedTweet id=1571562849352437761 type=replied_to]
1571592214844686338,2022-09-21 22:14:56-03:00,1568639136948539392,[<ReferencedTweet id=1571592214844686338 type=replied_to]
1571668282389958656,2022-09-21 19:51:42-03:00,1360675283716702213,[<ReferencedTweet id=1571668282389958656 type=replied_to]
1571900927358836737,2022-09-21 16:16:48-03:00,251869534,[<ReferencedTweet id=1571900927358836737 type=replied_to]
1571937518152568835,2022-09-20 21:33:27-03:00,1457399357079265285,[<ReferencedTweet id=1571937518152568835 type=replied_to]
1571947388381859842,2022-09-21 21:07:46-03:00,1428420544895008778,[<ReferencedTweet id=1571947388381859842 type=replied_to]
1571963627254738944,2022-09-21 00:41:59-03:00,60988112,[<ReferencedTweet id=1571963627254738944 type=replied_to]
1571968698063388677,2022-09-21 19:33:05-03:00,1360675283716702213,[<ReferencedTweet id=1571968698063388677 type=replied_to]
1571998939783503872,2022-09-20 22:13:56-03:00,1471318598320898049,[<ReferencedTweet id=1571998939783503872 type=replied_to]
1572003374454943745,2022-09-21 06:01:52-03:00,1490959155066200066,[<ReferencedTweet id=1572003374454943745 type=replied_to]
1572015599806713857,2022-09-21 17:33:15-03:00,173678849,[<ReferencedTweet id=1572015599806713857 type=replied_to]
1572029883789856768,2022-09-21 06:37:45-03:00,1540267039125905408,[<ReferencedTweet id=1572029906384752641 type=replied_to]
1572033431952916485,2022-09-21 13:00:15-03:00,126917411,[<ReferencedTweet id=1572325283386249216 type=replied_to]
1572034355035340800,2022-09-21 00:49:24-03:00,1533522927202836482,[<ReferencedTweet id=1572037186911879169 type=replied_to]
1572053621713371138,2022-09-20 22:46:23-03:00,1406217253,[<ReferencedTweet id=1572053621713371138 type=replied_to]
1572061445134614530,2022-09-21 17:22:59-03:00,873324964023328768,[<ReferencedTweet id=1572061445134614530 type=replied_to]
1572175833393147911,2022-09-21 11:39:34-03:00,1569504853294219264,[<ReferencedTweet id=1572175833393147911 type=replied_to]
1572224092941721601,2022-09-21 18:54:55-03:00,1556174089231933440,[<ReferencedTweet id=1572705415472766978 type=replied_to]
1572240245994684417,2022-09-21 02:14:26-03:00,1452160751418974210,[<ReferencedTweet id=1572240245994684417 type=replied_to]
1572265723141197829,2022-09-21 13:10:24-03:00,2322565039,[<ReferencedTweet id=1572265723141197829 type=replied_to]
1572267593435693056,2022-09-20 22:08:31-03:00,1562906493086998531,[<ReferencedTweet id=1572267593435693056 type=replied_to]
1572291864576794625,2022-09-21 08:23:30-03:00,1238953746325012483,[<ReferencedTweet id=1572291864576794625 type=replied_to]
1572293727657529347,2022-09-21 13:17:34-03:00,1411280418285010944,[<ReferencedTweet id=1572293727657529347 type=replied_to]
1572315439211978755,2022-09-21 10:58:38-03:00,56798913,[<ReferencedTweet id=1572575516317880335 type=replied_to]
1572330081057636352,2022-09-21 07:54:22-03:00,1360675283716702213,[<ReferencedTweet id=1572330081057636352 type=replied_to]
1572335064347705345,2022-09-21 19:53:01-03:00,1360675283716702213,[<ReferencedTweet id=1572335064347705345 type=replied_to]
1572336627883872256,2022-09-20 22:31:32-03:00,131080639,[<ReferencedTweet id=1572336627883872256 type=replied_to]
1572336643394408448,2022-09-20 22:33:08-03:00,131080639,[<ReferencedTweet id=1572336643394408448 type=replied_to]
1572347212063035392,2022-09-20 21:00:53-03:00,16212452,[<ReferencedTweet id=1572374996957151232 type=replied_to]
1572347445438255105,2022-09-21 06:59:00-03:00,1284898569787445253,[<ReferencedTweet id=1572351070084694019 type=replied_to]
1572348398552088576,2022-09-21 18:50:34-03:00,1568639136948539392,[<ReferencedTweet id=1572348398552088576 type=replied_to]
1572348777171648517,2022-09-20 22:07:22-03:00,1562906493086998531,[<ReferencedTweet id=1572390434697256960 type=replied_to]
1572348952636170240,2022-09-21 00:25:47-03:00,1499503385040637953,[<ReferencedTweet id=1572348952636170240 type=replied_to]
1572350101552603136,2022-09-21 18:15:23-03:00,1543950695426101248,[<ReferencedTweet id=1572350101552603136 type=replied_to]
1572355013091168257,2022-09-21 11:00:50-03:00,1507780522344394754,[<ReferencedTweet id=1572355013091168257 type=replied_to]
1572356372318289920,2022-09-21 16:29:46-03:00,1366459764075614215,[<ReferencedTweet id=1572356372318289920 type=replied_to]
1572363107497910274,2022-09-20 23:42:03-03:00,1256631307167293441,[<ReferencedTweet id=1572365335197523968 type=replied_to]
1572367124072472584,2022-09-21 00:26:23-03:00,1515143095737896966,[<ReferencedTweet id=1572367124072472584 type=replied_to]
1572368101676646401,2022-09-20 21:33:53-03:00,1567231034919424005,[<ReferencedTweet id=1572368101676646401 type=replied_to]
1572375050787131392,2022-09-20 21:00:00-03:00,1572149574843736066,[<ReferencedTweet id=1572369710569689089 type=retweeted]
1572375129178640385,2022-09-20 21:00:18-03:00,1572149574843736066,[<ReferencedTweet id=1572369453224169474 type=retweeted]
1572375220857569280,2022-09-20 21:00:40-03:00,1572149574843736066,[<ReferencedTweet id=1572368258413563906 type=retweeted]
1572375320124063744,2022-09-20 21:01:04-03:00,46218803,[<ReferencedTweet id=1572348165591908352 type=retweeted]
1572375341993455621,2022-09-20 21:01:09-03:00,1572149574843736066,[<ReferencedTweet id=1572368012115681281 type=retweeted]
1572375411077840897,2022-09-20 21:01:25-03:00,1572149574843736066,[<ReferencedTweet id=1572367757991084033 type=retweeted]
1572375463615422465,2022-09-20 21:01:38-03:00,1078227810,[<ReferencedTweet id=1572368345932136451 type=retweeted]
1572375464664248323,2022-09-20 21:01:38-03:00,1572149574843736066,[<ReferencedTweet id=1572367610427379712 type=retweeted]
1572375464722989056,2022-09-20 21:01:38-03:00,1568712893964730370,[<ReferencedTweet id=1572361465147043840 type=retweeted]
1572375482854940676,2022-09-20 21:01:43-03:00,1572149574843736066,[<ReferencedTweet id=1572367590022053890 type=retweeted]
1572375510977503233,2022-09-20 21:01:49-03:00,1568712893964730370,[<ReferencedTweet id=1572367649241284610 type=retweeted]
1572375541004771330,2022-09-21 21:55:50-03:00,90425731,[<ReferencedTweet id=1572397346100760578 type=replied_to]
1572375587016130561,2022-09-20 21:02:07-03:00,1568712893964730370,[<ReferencedTweet id=1572361864494841857 type=retweeted]
1572375657576800257,2022-09-20 21:02:24-03:00,1363979744149176324,[<ReferencedTweet id=1571998939783503872 type=retweeted]
1572375700761362435,2022-09-20 21:02:35-03:00,1568712893964730370,[<ReferencedTweet id=1572368012115681281 type=retweeted]
1572375703613472769,2022-09-20 21:02:35-03:00,94207459,
1572375716167307265,2022-09-20 21:02:38-03:00,1568712893964730370,[<ReferencedTweet id=1572368258413563906 type=retweeted]
1572375789550858244,2022-09-20 21:02:56-03:00,88448104,[<ReferencedTweet id=1572348777171648517 type=retweeted]
1572375832135610368,2022-09-20 21:03:06-03:00,1568712893964730370,[<ReferencedTweet id=1572363708281802756 type=retweeted]
1572375925794406400,2022-09-20 21:03:28-03:00,1253807223261859841,[<ReferencedTweet id=1572368345932136451 type=retweeted]
1572375936380829696,2022-09-20 21:03:31-03:00,1067826482351931392,[<ReferencedTweet id=1572361465147043840 type=retweeted]
1572375977312796672,2022-09-20 21:03:40-03:00,1568712893964730370,[<ReferencedTweet id=1572363453418938368 type=retweeted]
1572376058737065984,2022-09-20 21:04:00-03:00,1568712893964730370,[<ReferencedTweet id=1572367590022053890 type=retweeted]
1572376087509729280,2022-09-20 21:04:07-03:00,2946723267,[<ReferencedTweet id=1572350646984097793 type=retweeted]
1572376252928954369,2022-09-20 21:04:46-03:00,1425491754640449538,[<ReferencedTweet id=1572368345932136451 type=retweeted]
1572376310298591232,2022-09-20 21:05:00-03:00,1011683701892222977,[<ReferencedTweet id=1572059052963667968 type=retweeted]
1572376321971437570,2022-09-20 21:05:03-03:00,1464405595168120835,[<ReferencedTweet id=1572363453418938368 type=retweeted]
1572376326257917952,2022-09-20 21:05:04-03:00,720106656986763264,[<ReferencedTweet id=1572351070084694019 type=retweeted]
1572376384705646593,2022-09-20 21:05:18-03:00,1464405595168120835,[<ReferencedTweet id=1572368258413563906 type=retweeted]
1572376508043247617,2022-09-20 21:05:47-03:00,77541154,
1572376604277460992,2022-09-20 21:06:10-03:00,90907585,[<ReferencedTweet id=1572351070084694019 type=retweeted]
1572376668714532864,2022-09-20 21:06:25-03:00,13323622,[<ReferencedTweet id=1572366731275898881 type=retweeted]
1572376820250562561,2022-09-20 21:07:01-03:00,1498288972887379973,[<ReferencedTweet id=1571338578742984705 type=retweeted]
1572376921727541251,2022-09-20 21:07:26-03:00,1568963998082547712,[<ReferencedTweet id=1572059052963667968 type=retweeted]
1572377098400206848,2022-09-20 21:08:08-03:00,1106309410152943616,[<ReferencedTweet id=1572368345932136451 type=retweeted]
1572377354718027776,2022-09-20 21:09:09-03:00,1481281687531180032,[<ReferencedTweet id=1572365924920868866 type=retweeted]
1572377389736280064,2022-09-20 21:09:17-03:00,3311441218,[<ReferencedTweet id=1572348165591908352 type=retweeted]
1572377589838221312,2022-09-20 21:10:05-03:00,1481742021471657984,
1572377641302327296,2022-09-20 21:10:17-03:00,1391617920707534853,[<ReferencedTweet id=1572376508043247617 type=retweeted]
1572377850455654407,2022-09-20 21:11:07-03:00,1511325083654098954,[<ReferencedTweet id=1572036105905504256 type=retweeted]
1572377872517537793,2022-09-20 21:11:12-03:00,1570840996635607040,[<ReferencedTweet id=1572367649241284610 type=retweeted]
1572377883414331396,2022-09-20 21:11:15-03:00,3041826664,
1572377901382733826,2022-09-20 21:11:19-03:00,1570840996635607040,[<ReferencedTweet id=1572361465147043840 type=retweeted]
1572377954629337091,2022-09-20 21:11:32-03:00,1570840996635607040,[<ReferencedTweet id=1572361864494841857 type=retweeted]
1572378067947122688,2022-09-20 21:56:28-03:00,198359444,[<ReferencedTweet id=1572378067947122688 type=replied_to]
1572378162012770305,2022-09-20 21:12:21-03:00,1570840996635607040,[<ReferencedTweet id=1572368012115681281 type=retweeted]
1572378179951550466,2022-09-20 21:12:26-03:00,1570840996635607040,[<ReferencedTweet id=1572368258413563906 type=retweeted]
1572378201116008450,2022-09-20 21:12:31-03:00,1570840996635607040,[<ReferencedTweet id=1572363708281802756 type=retweeted]
