conversation_id,Created_at_convert,author_id,referenced_tweets
1286668382377521154,2022-09-19 16:44:14-03:00,15850902,[<ReferencedTweet id=1286668382377521154 type=replied_to]
1554205498202886146,2022-09-19 14:32:29-03:00,836770830210240513,[<ReferencedTweet id=1554205498202886146 type=replied_to]
1562445538876076033,2022-09-19 14:34:40-03:00,836770830210240513,[<ReferencedTweet id=1562445538876076033 type=replied_to]
1567936135225114632,2022-09-19 13:46:48-03:00,17585295,[<ReferencedTweet id=1568064604047130624 type=replied_to]
1568009303847743488,2022-09-19 19:41:30-03:00,3423154149,[<ReferencedTweet id=1568009303847743488 type=replied_to]
1568902309069062145,2022-09-19 14:40:19-03:00,26381800,[<ReferencedTweet id=1568902309069062145 type=replied_to]
1569313466326093824,2022-09-19 08:51:09-03:00,1353712805485158402,[<ReferencedTweet id=1569313466326093824 type=replied_to]
1569514630208454656,2022-09-19 15:51:21-03:00,1540449819558379520,[<ReferencedTweet id=1569514630208454656 type=replied_to]
1569523766270775297,2022-09-19 15:52:50-03:00,1540449819558379520,[<ReferencedTweet id=1569576230219034624 type=replied_to]
1569649264975814659,2022-09-19 18:06:41-03:00,1454363905023746048,[<ReferencedTweet id=1571968770658430976 type=replied_to]
1569722530105016322,2022-09-19 18:47:01-03:00,1450073599453409280,[<ReferencedTweet id=1571922532197883906 type=replied_to]
1569724678847008770,2022-09-19 16:48:40-03:00,1237698992991068162,[<ReferencedTweet id=1569724678847008770 type=replied_to]
1569727568118689792,2022-09-19 19:16:16-03:00,1310923432331280384,[<ReferencedTweet id=1569727568118689792 type=replied_to]
1569754854263758848,2022-09-19 18:09:00-03:00,1293586952038514688,[<ReferencedTweet id=1569754854263758848 type=replied_to]
1569760802730811392,2022-09-19 19:11:25-03:00,1310923432331280384,[<ReferencedTweet id=1569760802730811392 type=replied_to]
1569771981704159234,2022-09-19 16:28:16-03:00,1336072170930393089,[<ReferencedTweet id=1569771981704159234 type=replied_to]
1569815993039613952,2022-09-19 19:09:34-03:00,3033822838,[<ReferencedTweet id=1569815993039613952 type=replied_to]
1569818014773817344,2022-09-19 19:12:05-03:00,3033822838,[<ReferencedTweet id=1569818014773817344 type=replied_to]
1569822793847431169,2022-09-19 16:32:23-03:00,1336072170930393089,[<ReferencedTweet id=1569822793847431169 type=replied_to]
1569830477019881473,2022-09-19 14:52:57-03:00,1189579005235736576,[<ReferencedTweet id=1569830477019881473 type=replied_to]
1570357156523945985,2022-09-19 16:17:25-03:00,1537111603140771840,[<ReferencedTweet id=1570357156523945985 type=replied_to]
1570382827572826112,2022-09-19 18:16:06-03:00,151586661,[<ReferencedTweet id=1570382827572826112 type=replied_to]
1570388106821664770,2022-09-19 16:17:16-03:00,1537111603140771840,[<ReferencedTweet id=1570388106821664770 type=replied_to]
1570513359015120896,2022-09-19 17:11:53-03:00,80495237,[<ReferencedTweet id=1570513359015120896 type=replied_to]
1570531998506315778,2022-09-19 14:20:22-03:00,1317969463531180033,[<ReferencedTweet id=1570531998506315778 type=replied_to]
1570566658229665792,2022-09-19 16:14:16-03:00,1537111603140771840,[<ReferencedTweet id=1570566658229665792 type=replied_to]
1570581343603654658,2022-09-19 14:04:00-03:00,146462433,[<ReferencedTweet id=1571893918748512259 type=replied_to]
1570590572112650240,2022-09-19 16:13:47-03:00,1537111603140771840,[<ReferencedTweet id=1570590572112650240 type=replied_to]
1570728241148874752,2022-09-19 16:12:36-03:00,1537111603140771840,[<ReferencedTweet id=1570728241148874752 type=replied_to]
1570737891441278977,2022-09-19 11:25:03-03:00,912349210607079424,[<ReferencedTweet id=1571848834967281666 type=replied_to]
1570804396753309698,2022-09-19 14:08:18-03:00,1540093480634130433,[<ReferencedTweet id=1570858272504291329 type=replied_to]
1570862810615402501,2022-09-19 16:11:42-03:00,1537111603140771840,[<ReferencedTweet id=1570862810615402501 type=replied_to]
1571156899873136643,2022-09-19 07:09:09-03:00,1520060328628920320,[<ReferencedTweet id=1571156899873136643 type=replied_to]
1571217718694629376,2022-09-18 21:13:54-03:00,42650837,[<ReferencedTweet id=1571235741992161284 type=replied_to]
1571277248388382721,2022-09-18 21:31:41-03:00,65995852,[<ReferencedTweet id=1571652321469399040 type=replied_to]
1571277449769488384,2022-09-19 13:23:06-03:00,926807382570782720,[<ReferencedTweet id=1571277449769488384 type=replied_to]
1571281448748945408,2022-09-19 16:18:28-03:00,1547295399379144704,[<ReferencedTweet id=1571281448748945408 type=replied_to]
1571283244221358081,2022-09-19 14:33:30-03:00,1453558639248252929,[<ReferencedTweet id=1571811008317882376 type=replied_to]
1571444547892158464,2022-09-18 21:16:11-03:00,1146460661628788736,[<ReferencedTweet id=1571531312707833858 type=replied_to]
1571451841334104065,2022-09-19 14:45:26-03:00,3319833623,[<ReferencedTweet id=1571451841334104065 type=replied_to]
1571527509279129600,2022-09-18 22:05:07-03:00,2584897947,[<ReferencedTweet id=1571527509279129600 type=replied_to]
1571531333175754753,2022-09-18 23:08:34-03:00,1439313774972968962,[<ReferencedTweet id=1571651528674385921 type=replied_to]
1571546095817195523,2022-09-19 15:59:27-03:00,1537111603140771840,[<ReferencedTweet id=1571546095817195523 type=replied_to]
1571550621043507207,2022-09-19 18:11:21-03:00,90187489,[<ReferencedTweet id=1571960930250141697 type=replied_to]
1571565924880207873,2022-09-19 18:52:00-03:00,1032670080537124865,[<ReferencedTweet id=1571565924880207873 type=replied_to]
1571578492340375556,2022-09-19 13:21:20-03:00,926807382570782720,[<ReferencedTweet id=1571578492340375556 type=replied_to]
1571585770120683520,2022-09-19 13:18:21-03:00,926807382570782720,[<ReferencedTweet id=1571585770120683520 type=replied_to]
1571592030350114816,2022-09-19 16:01:50-03:00,1537111603140771840,[<ReferencedTweet id=1571592030350114816 type=replied_to]
1571599550850252803,2022-09-19 16:01:01-03:00,1190316386507210753,[<ReferencedTweet id=1571599550850252803 type=replied_to]
1571603182148624384,2022-09-19 14:29:23-03:00,979322514202595330,[<ReferencedTweet id=1571603182148624384 type=replied_to]
1571618927322755072,2022-09-19 16:21:32-03:00,31559513,[<ReferencedTweet id=1571884932565454856 type=replied_to]
1571619927047503874,2022-09-19 16:00:27-03:00,1190316386507210753,[<ReferencedTweet id=1571619927047503874 type=replied_to]
1571623072448319491,2022-09-19 15:58:33-03:00,1537111603140771840,[<ReferencedTweet id=1571623072448319491 type=replied_to]
1571632207541706752,2022-09-19 16:05:33-03:00,1190316386507210753,[<ReferencedTweet id=1571632207541706752 type=replied_to]
1571643456858034183,2022-09-19 13:19:03-03:00,926807382570782720,[<ReferencedTweet id=1571643456858034183 type=replied_to]
1571651101702627330,2022-09-18 21:03:17-03:00,1356003230774415362,[<ReferencedTweet id=1571393596313452545 type=retweeted]
1571656855520149504,2022-09-18 21:26:08-03:00,805566597943492609,[<ReferencedTweet id=1571636081795244035 type=retweeted]
1571658056718753794,2022-09-18 22:44:38-03:00,729690677311868928,[<ReferencedTweet id=1571658056718753794 type=replied_to]
1571658227720257537,2022-09-18 21:31:36-03:00,1560356888725917701,
1571660948297121793,2022-09-18 21:42:24-03:00,524581270,
1571662463762067458,2022-09-19 15:58:23-03:00,1537111603140771840,[<ReferencedTweet id=1571662463762067458 type=replied_to]
1571667388881580033,2022-09-18 22:08:00-03:00,58316387,[<ReferencedTweet id=1571636081795244035 type=retweeted]
1571668421812551681,2022-09-18 22:12:06-03:00,1404772239464144896,[<ReferencedTweet id=1571658227720257537 type=retweeted]
1571669430643597312,2022-09-18 22:16:07-03:00,731254057,[<ReferencedTweet id=1570583210157047809 type=retweeted]
1571669595991470080,2022-09-19 16:57:20-03:00,1478304341056438273,[<ReferencedTweet id=1571669595991470080 type=replied_to]
1571672076653576193,2022-09-19 18:18:17-03:00,2874406391,[<ReferencedTweet id=1571674499908763649 type=replied_to]
1571673434731454465,2022-09-18 22:32:01-03:00,431515850,
1571674955732983808,2022-09-19 05:53:47-03:00,54619889,[<ReferencedTweet id=1571783166066573321 type=replied_to]
1571679776053542912,2022-09-18 22:57:13-03:00,56105171,[<ReferencedTweet id=1571618927322755072 type=retweeted]
