conversation_id,Created_at_convert,author_id,referenced_tweets
1014360842173911040,2022-09-19 09:44:04-03:00,1397186654398451712,[<ReferencedTweet id=1014360842173911040 type=replied_to]
1476416290973790215,2022-09-19 11:41:26-03:00,1571866916855189505,[<ReferencedTweet id=1476416290973790215 type=replied_to]
1515083542103040004,2022-09-19 11:18:37-03:00,55004503,[<ReferencedTweet id=1571312837922029570 type=replied_to]
1569284090180038657,2022-09-19 11:50:23-03:00,1427329810154590212,[<ReferencedTweet id=1569284090180038657 type=replied_to]
1569306338110349312,2022-09-19 08:57:06-03:00,1564964543280857089,[<ReferencedTweet id=1569306338110349312 type=replied_to]
1569325637537513472,2022-09-19 10:04:07-03:00,46288579,[<ReferencedTweet id=1569325637537513472 type=replied_to]
1570380935392272384,2022-09-19 10:02:28-03:00,14056387,[<ReferencedTweet id=1570800441101029379 type=replied_to]
1570559590248624128,2022-09-19 09:34:53-03:00,1214873881208672261,[<ReferencedTweet id=1571839845479383043 type=replied_to]
1570700274896879616,2022-09-19 09:16:17-03:00,1476596144121827335,[<ReferencedTweet id=1571835056817336324 type=replied_to]
1570861784927727617,2022-09-19 11:18:48-03:00,55004503,[<ReferencedTweet id=1571185290873643008 type=replied_to]
1571216953385127937,2022-09-19 08:17:03-03:00,59848524,[<ReferencedTweet id=1571789601806729218 type=replied_to]
1571223233189265409,2022-09-19 10:10:14-03:00,1160838326255071232,[<ReferencedTweet id=1571223233189265409 type=replied_to]
1571251792356294664,2022-09-19 10:05:18-03:00,1160838326255071232,[<ReferencedTweet id=1571251792356294664 type=replied_to]
1571425815249944579,2022-09-19 10:28:19-03:00,1160838326255071232,[<ReferencedTweet id=1571425815249944579 type=replied_to]
1571444547892158464,2022-09-19 08:36:49-03:00,1656199596,[<ReferencedTweet id=1571444547892158464 type=replied_to]
1571449978127814656,2022-09-19 08:04:02-03:00,1228055061244370969,[<ReferencedTweet id=1571449978127814656 type=replied_to]
1571460405590999042,2022-09-19 08:20:04-03:00,181944810,"[<ReferencedTweet id=1571815905520193537 type=quoted, <ReferencedTweet id=1571460405590999042 type=replied_to]"
1571460743370866688,2022-09-19 10:00:04-03:00,1160838326255071232,[<ReferencedTweet id=1571460743370866688 type=replied_to]
1571470928881635328,2022-09-19 07:07:22-03:00,173566737,[<ReferencedTweet id=1571470928881635328 type=replied_to]
1571471787883433987,2022-09-19 08:40:35-03:00,1130261123540967424,[<ReferencedTweet id=1571471787883433987 type=replied_to]
1571473384189444097,2022-09-19 10:07:48-03:00,1160838326255071232,[<ReferencedTweet id=1571473384189444097 type=replied_to]
1571476022394261504,2022-09-19 09:04:01-03:00,1466531001870520342,[<ReferencedTweet id=1571829880953659394 type=replied_to]
1571493168545136640,2022-09-19 10:08:52-03:00,1160838326255071232,[<ReferencedTweet id=1571493168545136640 type=replied_to]
1571498342684704768,2022-09-19 10:06:25-03:00,1160838326255071232,[<ReferencedTweet id=1571498342684704768 type=replied_to]
1571499647658561544,2022-09-19 10:37:43-03:00,1228055061244370969,[<ReferencedTweet id=1571499647658561544 type=replied_to]
1571512175985922048,2022-09-19 08:03:46-03:00,1228055061244370969,[<ReferencedTweet id=1571512175985922048 type=replied_to]
1571517224367824902,2022-09-19 10:02:05-03:00,1557466242012913664,[<ReferencedTweet id=1571517224367824902 type=replied_to]
1571522552668749826,2022-09-19 09:15:07-03:00,1397186654398451712,[<ReferencedTweet id=1571522552668749826 type=replied_to]
1571526871728246787,2022-09-19 09:30:14-03:00,1228055061244370969,[<ReferencedTweet id=1571526871728246787 type=replied_to]
1571528232348024832,2022-09-19 09:06:10-03:00,1228055061244370969,[<ReferencedTweet id=1571528232348024832 type=replied_to]
1571532679283150848,2022-09-19 09:05:10-03:00,1228055061244370969,[<ReferencedTweet id=1571532679283150848 type=replied_to]
1571545430038560769,2022-09-19 08:29:46-03:00,1656199596,[<ReferencedTweet id=1571545430038560769 type=replied_to]
1571548802422538240,2022-09-19 10:10:52-03:00,809920518107308032,[<ReferencedTweet id=1571548802422538240 type=replied_to]
1571556509930102786,2022-09-19 09:06:07-03:00,1228055061244370969,[<ReferencedTweet id=1571556509930102786 type=replied_to]
1571557508103245827,2022-09-19 08:32:13-03:00,1228055061244370969,[<ReferencedTweet id=1571557508103245827 type=replied_to]
1571557781307641858,2022-09-19 10:18:50-03:00,809920518107308032,[<ReferencedTweet id=1571557781307641858 type=replied_to]
1571559679536275456,2022-09-19 08:31:13-03:00,1656199596,[<ReferencedTweet id=1571559679536275456 type=replied_to]
1571565924880207873,2022-09-19 09:17:33-03:00,1228055061244370969,[<ReferencedTweet id=1571565924880207873 type=replied_to]
1571568540641120258,2022-09-19 08:28:55-03:00,1557466242012913664,[<ReferencedTweet id=1571625028999057409 type=replied_to]
1571568547943391233,2022-09-19 10:02:57-03:00,1160838326255071232,[<ReferencedTweet id=1571568547943391233 type=replied_to]
1571574059921457152,2022-09-19 10:21:47-03:00,809920518107308032,[<ReferencedTweet id=1571574059921457152 type=replied_to]
1571577052393885696,2022-09-19 10:30:51-03:00,1160838326255071232,[<ReferencedTweet id=1571577052393885696 type=replied_to]
1571580338522173440,2022-09-19 10:48:20-03:00,1228055061244370969,[<ReferencedTweet id=1571580338522173440 type=replied_to]
1571582512635183105,2022-09-19 10:27:38-03:00,1160838326255071232,[<ReferencedTweet id=1571582512635183105 type=replied_to]
1571585505841520641,2022-09-19 07:45:42-03:00,1267577887047192577,[<ReferencedTweet id=1571585505841520641 type=replied_to]
1571585770120683520,2022-09-19 09:05:59-03:00,1228055061244370969,[<ReferencedTweet id=1571585770120683520 type=replied_to]
1571588774374608897,2022-09-19 09:57:59-03:00,1160838326255071232,[<ReferencedTweet id=1571588774374608897 type=replied_to]
1571589103111512065,2022-09-19 08:00:21-03:00,1228055061244370969,[<ReferencedTweet id=1571589103111512065 type=replied_to]
1571589882765627399,2022-09-19 09:34:03-03:00,1557466242012913664,[<ReferencedTweet id=1571589882765627399 type=replied_to]
1571590317689929729,2022-09-19 08:05:50-03:00,1228055061244370969,[<ReferencedTweet id=1571590317689929729 type=replied_to]
1571590621605036032,2022-09-19 10:10:42-03:00,1160838326255071232,[<ReferencedTweet id=1571590621605036032 type=replied_to]
1571592030350114816,2022-09-19 11:24:43-03:00,1593661076,[<ReferencedTweet id=1571592030350114816 type=replied_to]
1571599096007348224,2022-09-19 10:01:45-03:00,1160838326255071232,[<ReferencedTweet id=1571599096007348224 type=replied_to]
1571600083354796038,2022-09-19 08:40:51-03:00,1656199596,[<ReferencedTweet id=1571600083354796038 type=replied_to]
1571601680847851520,2022-09-19 09:28:57-03:00,1228055061244370969,[<ReferencedTweet id=1571601680847851520 type=replied_to]
1571607637036519424,2022-09-19 10:08:15-03:00,1160838326255071232,[<ReferencedTweet id=1571607637036519424 type=replied_to]
1571608752033337344,2022-09-19 10:59:37-03:00,1557466242012913664,[<ReferencedTweet id=1571861275063513090 type=replied_to]
1571609268268195841,2022-09-19 10:37:57-03:00,1228055061244370969,[<ReferencedTweet id=1571609268268195841 type=replied_to]
1571610617760591872,2022-09-19 10:39:23-03:00,1228055061244370969,[<ReferencedTweet id=1571610617760591872 type=replied_to]
1571615074942586880,2022-09-19 10:30:07-03:00,1160838326255071232,[<ReferencedTweet id=1571615074942586880 type=replied_to]
1571620188340260864,2022-09-19 10:22:19-03:00,1557466242012913664,[<ReferencedTweet id=1571620188340260864 type=replied_to]
1571621639145537538,2022-09-19 09:33:53-03:00,1557466242012913664,[<ReferencedTweet id=1571621639145537538 type=replied_to]
1571623031096631297,2022-09-19 09:14:38-03:00,1397186654398451712,[<ReferencedTweet id=1571623031096631297 type=replied_to]
1571625836075421696,2022-09-19 10:12:20-03:00,1160838326255071232,[<ReferencedTweet id=1571625836075421696 type=replied_to]
1571626227655483394,2022-09-19 10:57:57-03:00,765658122929184769,[<ReferencedTweet id=1571815650888224768 type=replied_to]
1571628607776120834,2022-09-19 10:33:54-03:00,1228055061244370969,[<ReferencedTweet id=1571628607776120834 type=replied_to]
1571630847110815745,2022-09-19 08:06:18-03:00,1228055061244370969,[<ReferencedTweet id=1571630847110815745 type=replied_to]
1571632140277764097,2022-09-19 10:05:58-03:00,1160838326255071232,[<ReferencedTweet id=1571632140277764097 type=replied_to]
