conversation_id,Created_at_convert,author_id,referenced_tweets
1561503417037496320,2022-09-21 08:22:03-03:00,1530195178870521857,[<ReferencedTweet id=1561503417037496320 type=replied_to]
1562904048772456448,2022-09-21 08:38:21-03:00,83844260,[<ReferencedTweet id=1572549547137847297 type=replied_to]
1569313466326093824,2022-09-21 06:06:31-03:00,743224173049290752,[<ReferencedTweet id=1569313466326093824 type=replied_to]
1569316212542246912,2022-09-21 01:02:00-03:00,311748734,"[<ReferencedTweet id=1572427229493329920 type=quoted, <ReferencedTweet id=1572435367311339522 type=replied_to]"
1570424070667206656,2022-09-21 00:14:29-03:00,902292266815029248,[<ReferencedTweet id=1570424070667206656 type=replied_to]
1571157590284926984,2022-09-21 09:19:43-03:00,796464332729159680,[<ReferencedTweet id=1571157590284926984 type=replied_to]
1571858431535124481,2022-09-21 01:40:05-03:00,1205646504872022017,[<ReferencedTweet id=1571858431535124481 type=replied_to]
1571907469009637377,2022-09-21 00:38:28-03:00,1243331262250725376,"[<ReferencedTweet id=1572427952779923456 type=quoted, <ReferencedTweet id=1572393066828529665 type=replied_to]"
1571924806836125697,2022-09-21 01:48:08-03:00,1141198322218229760,[<ReferencedTweet id=1571924806836125697 type=replied_to]
1571937051154464769,2022-09-21 01:50:20-03:00,1141198322218229760,[<ReferencedTweet id=1571937051154464769 type=replied_to]
1571991100008579072,2022-09-21 01:21:30-03:00,1475239706,[<ReferencedTweet id=1571991100008579072 type=replied_to]
1571997265228664834,2022-09-21 09:36:53-03:00,1375824706520166407,[<ReferencedTweet id=1572554353684410374 type=replied_to]
1572019789861687298,2022-09-21 10:12:27-03:00,1399011110515363845,[<ReferencedTweet id=1572159668763631622 type=replied_to]
1572021183112945667,2022-09-21 11:44:23-03:00,1503236335934521344,[<ReferencedTweet id=1572021183112945667 type=replied_to]
1572021971805667329,2022-09-21 06:18:28-03:00,1553018572812783618,[<ReferencedTweet id=1572022253662912512 type=replied_to]
1572023390319296513,2022-09-21 10:12:27-03:00,34638605,[<ReferencedTweet id=1572023390319296513 type=replied_to]
1572027712629268485,2022-09-21 10:13:22-03:00,34638605,[<ReferencedTweet id=1572027712629268485 type=replied_to]
1572036011991105539,2022-09-21 00:46:30-03:00,752630410656481280,[<ReferencedTweet id=1572036011991105539 type=replied_to]
1572042505134170114,2022-09-21 07:54:00-03:00,1507874080736911363,[<ReferencedTweet id=1572421437763338251 type=replied_to]
1572152116134674433,2022-09-21 09:37:07-03:00,1375824706520166407,[<ReferencedTweet id=1572152116134674433 type=replied_to]
1572152295894224900,2022-09-20 18:48:50-03:00,1221628879066017793,[<ReferencedTweet id=1572152295894224900 type=replied_to]
1572154056696799232,2022-09-20 21:34:53-03:00,228805682,[<ReferencedTweet id=1572154056696799232 type=replied_to]
1572166809146507264,2022-09-20 21:46:54-03:00,1100050848502165504,[<ReferencedTweet id=1572385760120115202 type=replied_to]
1572171210883887104,2022-09-21 01:19:23-03:00,1141198322218229760,[<ReferencedTweet id=1572171210883887104 type=replied_to]
1572176575772205056,2022-09-21 01:11:55-03:00,1141198322218229760,[<ReferencedTweet id=1572176575772205056 type=replied_to]
