conversation_id,created_at,author_id,referenced_tweets
1265044941765566470,2023-01-08 10:13:08+00:00,33437788,[<ReferencedTweet id=1265044941765566470 type=replied_to]
1576760910932193281,2023-01-08 11:52:35+00:00,205756718,[<ReferencedTweet id=1576760910932193281 type=replied_to]
1587236013965025281,2023-01-08 11:44:22+00:00,1598260624261357568,[<ReferencedTweet id=1587236013965025281 type=replied_to]
1605684489887174657,2023-01-08 11:30:39+00:00,1605259536100630530,[<ReferencedTweet id=1605684489887174657 type=replied_to]
1607733117560754178,2023-01-08 11:55:25+00:00,1591921412985470976,[<ReferencedTweet id=1612000358670209025 type=replied_to]
1608805480876630023,2023-01-08 10:04:36+00:00,66128434,[<ReferencedTweet id=1608805480876630023 type=replied_to]
1609558663857074182,2023-01-08 09:46:33+00:00,1435371901136908289,[<ReferencedTweet id=1609560405080440836 type=replied_to]
1609608286768078848,2023-01-08 11:46:54+00:00,1497209302595129348,[<ReferencedTweet id=1609608286768078848 type=replied_to]
1609631774849605634,2023-01-08 11:58:40+00:00,1527774595356434432,[<ReferencedTweet id=1609631774849605634 type=replied_to]
1609748391591903233,2023-01-08 10:32:45+00:00,1554098299954728960,[<ReferencedTweet id=1609748391591903233 type=replied_to]
1609881319227416577,2023-01-08 10:32:51+00:00,1554098299954728960,[<ReferencedTweet id=1609881319227416577 type=replied_to]
1610252400945954825,2023-01-08 11:18:52+00:00,322807334,[<ReferencedTweet id=1611906991328313347 type=replied_to]
1610319236978692101,2023-01-08 10:43:42+00:00,1001263736261312513,[<ReferencedTweet id=1610319236978692101 type=replied_to]
1610591670793560064,2023-01-08 11:00:51+00:00,1560695876200316935,[<ReferencedTweet id=1610591670793560064 type=replied_to]
1610624621459406848,2023-01-08 09:58:53+00:00,1308783177029357568,[<ReferencedTweet id=1610624621459406848 type=replied_to]
1610624850305089540,2023-01-08 11:59:52+00:00,1605204028836777984,[<ReferencedTweet id=1611013422602141698 type=replied_to]
1610653412382605313,2023-01-08 11:36:45+00:00,1586120823080878086,[<ReferencedTweet id=1610661299096018946 type=replied_to]
1610693726820786176,2023-01-08 09:43:52+00:00,1435371901136908289,[<ReferencedTweet id=1610693726820786176 type=replied_to]
1610754057517338631,2023-01-08 10:53:29+00:00,208024284,[<ReferencedTweet id=1610754057517338631 type=replied_to]
1610766274711244800,2023-01-08 10:56:01+00:00,210674785,[<ReferencedTweet id=1610766274711244800 type=replied_to]
1610810966568230913,2023-01-08 11:23:33+00:00,1473252022908596224,[<ReferencedTweet id=1611445158200983552 type=replied_to]
1610826800061419527,2023-01-08 10:23:16+00:00,1518745558571270144,[<ReferencedTweet id=1610826800061419527 type=replied_to]
1611072942787420162,2023-01-08 09:35:02+00:00,1080482763915083776,[<ReferencedTweet id=1611072942787420162 type=replied_to]
1611081797261033472,2023-01-08 09:55:28+00:00,229275510,[<ReferencedTweet id=1611081797261033472 type=replied_to]
1611148420877791234,2023-01-08 11:37:41+00:00,2843475976,[<ReferencedTweet id=1611925341697605633 type=replied_to]
1611175600189997058,2023-01-08 09:32:26+00:00,1519457508733165568,[<ReferencedTweet id=1611849624746164226 type=replied_to]
1611194325009833985,2023-01-08 11:18:30+00:00,1097189443998572547,[<ReferencedTweet id=1611194325009833985 type=replied_to]
1611298252774686721,2023-01-08 10:39:32+00:00,1404542774737780738,[<ReferencedTweet id=1611768063761997826 type=replied_to]
1611318898137366529,2023-01-08 11:20:10+00:00,278082115,[<ReferencedTweet id=1611318898137366529 type=replied_to]
1611325652749242368,2023-01-08 10:02:01+00:00,1611476695072100358,[<ReferencedTweet id=1611326358063570944 type=replied_to]
1611349702439567361,2023-01-08 10:18:01+00:00,1590094056008327169,[<ReferencedTweet id=1611349702439567361 type=replied_to]
1611352963619983360,2023-01-08 11:30:02+00:00,1327029781184081924,[<ReferencedTweet id=1611373696341495809 type=replied_to]
1611357067318542338,2023-01-08 11:46:50+00:00,94183750,[<ReferencedTweet id=1611357067318542338 type=replied_to]
1611386642605940737,2023-01-08 11:35:37+00:00,1432469062697750538,[<ReferencedTweet id=1611386642605940737 type=replied_to]
1611398022516166657,2023-01-08 11:00:33+00:00,1581065814874144768,[<ReferencedTweet id=1611398022516166657 type=replied_to]
1611398296408408067,2023-01-08 11:22:03+00:00,1587948660335280132,[<ReferencedTweet id=1611398296408408067 type=replied_to]
1611400776278052864,2023-01-08 11:34:15+00:00,1587948660335280132,[<ReferencedTweet id=1611400776278052864 type=replied_to]
1611418847277359104,2023-01-08 11:41:16+00:00,1555508883933773825,[<ReferencedTweet id=1611418847277359104 type=replied_to]
1611432260292513799,2023-01-08 10:55:52+00:00,117245454,[<ReferencedTweet id=1611432260292513799 type=replied_to]
1611441120466341888,2023-01-08 11:51:51+00:00,727960322141728773,[<ReferencedTweet id=1611441120466341888 type=replied_to]
1611445457560944645,2023-01-08 09:41:06+00:00,30865421,[<ReferencedTweet id=1611445457560944645 type=replied_to]
1611446271436267532,2023-01-08 09:47:39+00:00,1284554519226077186,[<ReferencedTweet id=1611446271436267532 type=replied_to]
1611451658856177673,2023-01-08 11:54:27+00:00,82199590,[<ReferencedTweet id=1611451658856177673 type=replied_to]
1611460053919305729,2023-01-08 10:26:43+00:00,1404911900870205456,[<ReferencedTweet id=1611460053919305729 type=replied_to]
1611470492644397057,2023-01-08 11:54:36+00:00,1587416054925598720,[<ReferencedTweet id=1611470492644397057 type=replied_to]
1611470539104702481,2023-01-08 09:42:48+00:00,943451984782413824,[<ReferencedTweet id=1611470539104702481 type=replied_to]
1611480943839088640,2023-01-08 10:47:38+00:00,1063459732218880001,[<ReferencedTweet id=1611480943839088640 type=replied_to]
1611483053226102785,2023-01-08 09:31:23+00:00,195010547,[<ReferencedTweet id=1611912710526210048 type=replied_to]
1611483067369115651,2023-01-08 09:26:36+00:00,1288264329448562688,[<ReferencedTweet id=1611483067369115651 type=replied_to]
1611490293253120001,2023-01-08 10:24:04+00:00,1590367707521851394,[<ReferencedTweet id=1611490293253120001 type=replied_to]
1611507522568945665,2023-01-08 10:33:00+00:00,1589974082824593409,[<ReferencedTweet id=1611507522568945665 type=replied_to]
1611508191451570176,2023-01-08 10:35:15+00:00,341114309,[<ReferencedTweet id=1611508191451570176 type=replied_to]
1611514321057595393,2023-01-08 09:34:16+00:00,970822626011688960,[<ReferencedTweet id=1611514321057595393 type=replied_to]
1611517024290619393,2023-01-08 09:54:27+00:00,1308783177029357568,[<ReferencedTweet id=1611517024290619393 type=replied_to]
1611524517385338880,2023-01-08 09:50:22+00:00,1091871729234907137,[<ReferencedTweet id=1611524517385338880 type=replied_to]
1611529976548937732,2023-01-08 09:24:14+00:00,979159775157084161,[<ReferencedTweet id=1611529976548937732 type=replied_to]
1611534072911912960,2023-01-08 11:49:50+00:00,190230314,[<ReferencedTweet id=1611534072911912960 type=replied_to]
1611538420194484226,2023-01-08 10:33:56+00:00,1177704645646524417,[<ReferencedTweet id=1611538420194484226 type=replied_to]
1611538883006681088,2023-01-08 11:50:30+00:00,711234159029698561,[<ReferencedTweet id=1611538883006681088 type=replied_to]
1611539520129835009,2023-01-08 11:21:39+00:00,1518678079983566855,[<ReferencedTweet id=1611762139689291776 type=replied_to]
1611540179847725058,2023-01-08 11:00:08+00:00,553804576,[<ReferencedTweet id=1611900886493667328 type=replied_to]
1611551320728649737,2023-01-08 10:17:40+00:00,1591934433791180801,[<ReferencedTweet id=1611551320728649737 type=replied_to]
1611554390661275649,2023-01-08 11:39:49+00:00,1609185835844308992,[<ReferencedTweet id=1611693019148730369 type=replied_to]
1611555348006961152,2023-01-08 11:43:46+00:00,36214592,[<ReferencedTweet id=1611760874292711424 type=replied_to]
1611558382002896896,2023-01-08 11:23:33+00:00,1468321188258758661,[<ReferencedTweet id=1611558382002896896 type=replied_to]
1611591614224551939,2023-01-08 11:27:24+00:00,24683487,[<ReferencedTweet id=1611726005508472835 type=replied_to]
1611593754388881408,2023-01-08 09:59:07+00:00,1595845878517989377,[<ReferencedTweet id=1611775941167939584 type=replied_to]
1611654018626998272,2023-01-08 09:38:13+00:00,1511433181970538504,[<ReferencedTweet id=1612019634689183744 type=replied_to]
1611654323221438464,2023-01-08 11:32:33+00:00,1587948660335280132,[<ReferencedTweet id=1611654323221438464 type=replied_to]
1611663634391875584,2023-01-08 10:02:00+00:00,1559384684140036096,[<ReferencedTweet id=1611678347087720448 type=replied_to]
1611665215099133952,2023-01-08 09:23:31+00:00,1154129129421365248,[<ReferencedTweet id=1611665215099133952 type=replied_to]
1611669682448175104,2023-01-08 11:56:36+00:00,1594696251689287681,[<ReferencedTweet id=1611755936321863680 type=replied_to]
1611674250376630272,2023-01-08 10:55:03+00:00,69339865,[<ReferencedTweet id=1611739090940211202 type=replied_to]
1611681077571063811,2023-01-08 11:57:58+00:00,199440408,[<ReferencedTweet id=1611681077571063811 type=replied_to]
1611683852707151872,2023-01-08 11:19:13+00:00,1587948660335280132,[<ReferencedTweet id=1611683852707151872 type=replied_to]
1611686116179984384,2023-01-08 10:50:48+00:00,4464286643,[<ReferencedTweet id=1611686116179984384 type=replied_to]
1611690696670420992,2023-01-08 11:22:13+00:00,2432214351,[<ReferencedTweet id=1611690696670420992 type=replied_to]
1611701574958735361,2023-01-08 11:01:57+00:00,1568792166754926592,[<ReferencedTweet id=1611701574958735361 type=replied_to]
1611701916509110273,2023-01-08 09:25:11+00:00,1578336650454831105,[<ReferencedTweet id=1611701916509110273 type=replied_to]
1611703200846856192,2023-01-08 11:34:58+00:00,295245094,[<ReferencedTweet id=1611703200846856192 type=replied_to]
1611703320271360000,2023-01-08 11:10:26+00:00,1592501445231788032,[<ReferencedTweet id=1611703320271360000 type=replied_to]
1611708851015020544,2023-01-08 11:28:59+00:00,956099144791281664,[<ReferencedTweet id=1611724262246604800 type=replied_to]
1611709367253962752,2023-01-08 11:41:35+00:00,203315521,[<ReferencedTweet id=1611709367253962752 type=replied_to]
