conversation_id,created_at,author_id,referenced_tweets
1296195668021714944,2023-01-08 14:27:22+00:00,1469268321505841153,[<ReferencedTweet id=1296195668021714944 type=replied_to]
1457471197130731520,2023-01-08 12:42:58+00:00,1527367803740663816,[<ReferencedTweet id=1457471197130731520 type=replied_to]
1559477059948318720,2023-01-08 14:23:43+00:00,1115054369962110976,[<ReferencedTweet id=1559477059948318720 type=replied_to]
1563075979349983233,2023-01-08 12:40:13+00:00,1527367803740663816,[<ReferencedTweet id=1563075979349983233 type=replied_to]
1576760910932193281,2023-01-08 12:47:23+00:00,229275510,[<ReferencedTweet id=1576760910932193281 type=replied_to]
1592030747812139009,2023-01-08 12:21:07+00:00,1611334307129221121,[<ReferencedTweet id=1592030747812139009 type=replied_to]
1594656705388085250,2023-01-08 13:20:54+00:00,1611334307129221121,[<ReferencedTweet id=1594656705388085250 type=replied_to]
1600976588102946827,2023-01-08 13:50:24+00:00,1048347033281679360,[<ReferencedTweet id=1600976588102946827 type=replied_to]
1601697293517799424,2023-01-08 12:52:13+00:00,229275510,[<ReferencedTweet id=1601697293517799424 type=replied_to]
1605082636455649280,2023-01-08 13:21:48+00:00,229279799,[<ReferencedTweet id=1612073887348424704 type=replied_to]
1606749051524993027,2023-01-08 14:03:12+00:00,1598283925150892032,[<ReferencedTweet id=1606749051524993027 type=replied_to]
1608667474702258176,2023-01-08 13:43:08+00:00,1048347033281679360,[<ReferencedTweet id=1608667474702258176 type=replied_to]
1608982383688298497,2023-01-08 12:00:30+00:00,77324813,[<ReferencedTweet id=1608982383688298497 type=replied_to]
1609384819800289281,2023-01-08 13:38:57+00:00,1104889844,[<ReferencedTweet id=1609541129707425792 type=replied_to]
1609385099564384257,2023-01-08 12:49:13+00:00,1595163535692144640,[<ReferencedTweet id=1609385099564384257 type=replied_to]
1609584154902937600,2023-01-08 13:41:04+00:00,1590427407680503809,[<ReferencedTweet id=1609584156840984576 type=replied_to]
1609631774849605634,2023-01-08 14:15:35+00:00,172336347,[<ReferencedTweet id=1609631774849605634 type=replied_to]
1610384165039489025,2023-01-08 13:46:26+00:00,1332577915096211457,[<ReferencedTweet id=1610384165039489025 type=replied_to]
1610426887506886656,2023-01-08 12:36:55+00:00,788609512882184192,[<ReferencedTweet id=1610426887506886656 type=replied_to]
1610591845930639361,2023-01-08 14:55:56+00:00,1603042731785428995,[<ReferencedTweet id=1610591845930639361 type=replied_to]
1610658471296344069,2023-01-08 14:02:19+00:00,1602319918908821504,[<ReferencedTweet id=1610658471296344069 type=replied_to]
1610735992557666335,2023-01-08 14:15:17+00:00,2158276947,[<ReferencedTweet id=1612084094795497472 type=replied_to]
1610749287264325632,2023-01-08 13:13:40+00:00,1566109611840659462,[<ReferencedTweet id=1611646983441371137 type=replied_to]
1610826356220125185,2023-01-08 14:56:10+00:00,1603042731785428995,[<ReferencedTweet id=1610826356220125185 type=replied_to]
1610836257000546305,2023-01-08 13:20:51+00:00,1252453578,[<ReferencedTweet id=1610837874601267200 type=replied_to]
1610959196706463747,2023-01-08 12:06:26+00:00,1589390558170054659,[<ReferencedTweet id=1610959196706463747 type=replied_to]
1610959346883600384,2023-01-08 12:51:36+00:00,229275510,[<ReferencedTweet id=1610959346883600384 type=replied_to]
1610992051759218688,2023-01-08 14:10:41+00:00,1600248571277762610,[<ReferencedTweet id=1612070393375768576 type=replied_to]
